id,source,sourceId,method,distanceM,nameScore
abbigere-kere,atree,247,outline,,
abbigere-kere,bbmp_custody,100-0,survey,,
abbigere-kere,bbmp_custody,100-1,survey,,
abbigere-kere,bbmp_lms,36,near,82,1.0
abbigere-kere,empri2018,BUBNYPabg_kr1-78,near,12,1.0
abbigere-kere,kgis_tanks,1136,outline,,0.88
abbigere-kere,kspcb,4506,inside,0,1.0
abbigere-kere,landrecords_digital,1926993,survey,,
abbigere-kere,osm,way/41667654,outline,,0.97
abbigere-kere,wbc2018,2/12/002/276600/1303150/001,near,72,
abbigere-kere,wq_historic,nwmp-2021:4506,station-code,,
abbigere-kunte1,empri2018,BUBNYPabg_ku2-79,unpaired,,
abbigere-kunte1,ktcda,172-BBMP,ward-name,,1.0
acchanakere,atree,144,outline,,
acchanakere,bbmp_lms,204,inside,0,1.0
acchanakere,empri2018,BUBEVRmnk_kr1-601,near,20,1.0
acchanakere,kgis_tanks,646,outline,,0.99
acchanakere,kgis_wetlands,3184,outline,,0.68
acchanakere,kspcb,5561,inside,0,1.0
acchanakere,osm,relation/18077306,outline,,0.96
acchanakere,wbc2018,2/12/002/253189/026434/001,near,47,
achanakere,atree,118,outline,,
achanakere,bbmp_lms,205,inside,0,1.0
achanakere,empri2018,BUBEKRmvp_kr1-732,near,65,1.0
achanakere,kgis_tanks,671,outline,,1.0
achanakere,kspcb,4518,inside,0,1.0
achanakere,landrecords_survey,1905731,survey,,
achanakere,landrecords_survey,1919631,survey,,
achanakere,osm,way/95639129,outline,,0.95
achanakere,wbc2018,2/12/002/253189/026053/001,near,23,
achanakere,wq_historic,nwmp-2021:4518,station-code,,
adarang-lake,atree,1180,outline,,
adarang-lake,osm,way/424173747,outline,,0.51
adde-lake,atree,766,outline,,
adde-lake,kgis_tanks,475,outline,,0.95
adde-lake,osm,way/1175521514,outline,,0.98
addevishwanathapura-lake,atree,800,outline,,
addevishwanathapura-lake,kgis_tanks,875,outline,,0.91
addevishwanathapura-lake,mi_tanks,KA20050026,unique-name,,
addevishwanathapura-lake,osm,way/1303226404,outline,,0.99
addevishwanathapura-lake,wbc2018,1/12/002/000002/000040/001,inside,0,
addiganahalli-lake,atree,801,outline,,
addiganahalli-lake,empri2018,BUBNHGadg_gk1-372,inside,0,0.38
addiganahalli-lake,kgis_tanks,882,outline,,0.92
addiganahalli-lake,landrecords_survey,1937072,survey,,
addiganahalli-lake,osm,way/1458683140,outline,,0.92
addigenakere,atree,245,outline,,
addigenakere,empri2018,BUAKJGmtp_kr4-1098,near,3,1.0
addigenakere,kgis_tanks,1075,outline,,0.92
addigenakere,kgis_wetlands,2478,outline,,0.92
addigenakere,landrecords_survey,1891026,survey,,
addigenakere,osm,way/413020103,outline,,0.95
addigenakere,wbc2018,1/12/002/000001/000012/002,near,29,
adesonatti-lake,atree,898,outline,,
adesonatti-lake,kgis_tanks,258,outline,,0.61
adesonatti-lake,osm,way/1422346103,outline,,0.53
adesonatti-lake,wbc2018,1/12/002/000001/000186/001,inside,0,
adiganahalli-kunte,empri2018,BUBNHGadg_ku2-373,unpaired,,
adiganahalli-kunte,landrecords_survey,1937055,survey,,
adigondanahalli-kere,atree,753,outline,,
adigondanahalli-kere,kgis_tanks,385,outline,,0.95
adigondanahalli-kere,kgis_wetlands,2512,outline,,0.6
adigondanahalli-kere,osm,way/1077022622,outline,,0.91
adigondanahalli-kere,wbc2018,1/12/002/000001/000093/001,near,34,
adikamaranahalli-kunte,empri2018,BUBNDPakm_gk1-454,unpaired,,
adikamaranahalli-kunte,landrecords_survey,1853799,survey,,
adikamaranahalli-kunte,wbc2018,1/12/002/000002/000157/001,near,38,
adikelallanapalya-kere,atree,739,outline,,
adikelallanapalya-kere,osm,way/1348508019,outline,,0.9
adkepalya-lake,atree,1223,outline,,
adugodi-kunte1,empri2018,BUBSBGadu_ku1-1392,unpaired,,
adugodi-kunte2,empri2018,BUBSBGadu_ku2-1393,unpaired,,
aduru-kunte1,empri2018,BUBEBDadu_ku1-789,unpaired,,
aduru-kunte2,empri2018,BUBEBDadu_ku2-790,unpaired,,
aduru-kunte3,empri2018,BUBEBDadu_ku3-791,unpaired,,
aduru-kunte4,empri2018,BUBEBDadu_ku4-792,unpaired,,
aduru-lake,atree,1116,outline,,
aduru-lake,kgis_tanks,182,outline,,1.0
adurupalya-lake,atree,1115,outline,,
adurupalya-lake,kgis_tanks,178,outline,,1.0
agara-kere,atree,341,outline,,
agara-kere,empri2018,BUBSKGbvk_kr9-1167,inside,0,1.0
agara-kere,kgis_tanks,1172,outline,,0.98
agara-kere,kgis_wetlands,2595,outline,,0.72
agara-kere,osm,way/124797587,outline,,0.94
agara-kunte-2,empri2018,BUBSBGagr_ku2-1396,unpaired,,
agara-kunte-3,empri2018,BUBSBGagr_ku3-1397,unpaired,,
agara-kunte-3,kgis_wetlands,11007,outline,,1.0
agara-kunte-4,empri2018,BUBSKGagr_ku5-1154,unpaired,,
agara-kunte-4-2,empri2018,BUBSBGagr_ku4-1398,unpaired,,
agara-kunte-5,empri2018,BUBSKGagr_ku6-1155,unpaired,,
agara-kunte-6,empri2018,BUBSKGagr_gk8-1157,unpaired,,
agara-kunte-7,empri2018,BUBSKGagr_ku9-1158,unpaired,,
agara-kunte-8,empri2018,BUBSKGagr_ku10-1159,unpaired,,
agara-kunte1,empri2018,BUBSKGagr_gk1-1150,unpaired,,
agara-kunte1-2,empri2018,BUBSBGagr_ku1-1395,unpaired,,
agara-kunte1-2,landrecords_survey,186756,survey,,
agara-kunte2,empri2018,BUBSKGagr_ku2-1151,unpaired,,
agara-kunte3,empri2018,BUBSKGagr_ku3-1152,unpaired,,
agara-lake,atree,92,outline,,
agara-lake,bbmp_lms,86,inside,0,1.0
agara-lake,empri2018,BUBSBGvkk_kr1-1507,inside,0,1.0
agara-lake,kgis_tanks,952,outline,,0.96
agara-lake,kgis_wetlands,3096,outline,,1.0
agara-lake,kspcb,3612,inside,0,0.91
agara-lake,osm,relation/8469370,outline,,0.94
agara-lake,wikidata,Q28824239,inside,0,1.0
agara-lake,wq_historic,nwmp-2021:3612,station-code,,
agrahara-kere,empri2018,BUBNYPagh_kr1-80,unpaired,,
agrahara-kere,ktcda,196-BBMP,ward-name,,0.73
agrahara-kere,wbc2018,2/12/002/276600/1302777/001,inside,0,
agrahara-lake,atree,26,outline,,
agrahara-lake,bbmp_lms,67,inside,0,1.0
agrahara-lake,empri2018,BUBNYHagh_kr1-235,near,6,1.0
agrahara-lake,kgis_tanks,825,outline,,1.0
agrahara-lake,kgis_wetlands,4027,outline,,0.68
agrahara-lake,ktcda,156-BBMP,ward-name,,1.0
agrahara-lake,osm,relation/15989383,outline,,0.99
agrahara-lake,wbc2018,2/12/002/253189/025976/004,inside,0,
aiyanapalya-lake,atree,1099,outline,,
aiyanapalya-lake,kgis_tanks,173,outline,,1.0
aiyanapalya-lake,osm,way/1336244759,outline,,0.99
ajjanahalli-kere,atree,356,outline,,
ajjanahalli-kere,kgis_tanks,77,outline,,0.94
ajjanahalli-kere,osm,way/1490036085,outline,,0.95
