_id,Name,Capacity in MLD,Location near to,Type of process of treating sewage,Inflow,Drainage Zone
1,K&C valley,218,BelurNagasandra (near Challaghatta),Activated Sludge Process (ASP),153.66,Challaghatta valley
2,K&C valley,30,BelurNagasandra (near Challaghatta),Activated Sludge Process (ASP),31.41,
3,K&C Valley,60,BelurNagasandra (near Challaghatta),ASP with power generation,59.98,
4,K&C Valley,150,B.Nagasandra,Secondary -Activated Sludge Process (ASP),148.2,
5,Lalbagh,1.5,Lalbaghkere,Activated aeration + plate settlers + UV disinfection,1.23,
6,Cubbon Park,4,Cubbon Park(upgraded),Membrane Bio Reactor,2.5,
7,K.R.Puram,20,Tambuchettipalya Road,Sequential Batch Reactor,19.81,
8,K.R.PuramPh-I,20,Tambuchetti playa road,UASB + Extended Aeration,14.7,
9,Yelemallappa Chettikere,15,YelemallappaChettikere,Sequential Batch Reactor,13.63,
10,Bellandur Amani kere,90,Varturkere,Activated Sludge Process (ASP),88.2,Koramangala valley
11,Kadabeesanahalli Ph-I,50,Marathalli Outer Ring Road,Extended Aeration,31.5,
12,Kadugodi,6,Kadugodi,Sequential Batch Reactor,5.22,
13,Halasuru,2,Halasuru Lake,Sequential Batch Reactor,1.93,
14,Sarakki,5,Sarakkikere,Sequential Batch Reactor,4.77,
15,Agaram,35,Agara Ring Road,Sequential Batch Reactor,34.51,
16,Hulimavu,10,Hulimavukere,Sequential Batch Reactor,8,
17,Chikkabegur,5,Near Chikkabegurukere,Sequential Batch Reactor,4.24,
18,Madivala,4,Madivala lake,Sequential Batch Reactor,2.08,
19,Rajacanal - Ph-I,40,Geddalahalli near Hebbal,Extended Aeration,40.51,Hebbal
20,Hebbal,100,Nagavarakere,Sequential Batch Reactor,86.54,
21,Jakkur,15,Jakkurkere,Upflow Aerobic Sludge Blanket (UASB) + Extended Aeration,14.98,
22,YelahankaPh-I,10,Allalasandrakere,Activated sludge Process (ASP) + filtration + Chlorination,9.97,
23,Hennur,1,Hennur lake,Soil Bio Technology,0.54,
24,Rajacanal,40,Geddalahalli near Hebbal,Sequential Batch Reactor,32.68,
25,Horamavu Agara,20,In between Kalkere and HoramavuAgarakere,Sequential Batch Reactor,16.57,
26,Nagasandra Ph-I,20,Near Madavarakere (near Tumkur Road),Extended Aeration,14.57,
27,Nagasandra,20,Near Madavarakere (near Tumkur Road),Sequential Batch Reactor,16.5,
28,Chikkabanavara,5,Chikkabanavarakere,Sequential Batch Reactor,4.88,
29,Puttenahalli,7,Puttenahalli lake,Sequential Batch Reactor,5.08,Vrishabhavathy
30,Mailasandra Ph-I,75,Mailasandra,Extended Aeration,80.03,
31,Doddabele,20,Doddabele,Sequential Batch Reactor,28.66,
32,Kengeri,60,Near Kengeri bus stand,Secondary-Activated Sludge Process,58.3,
33,Doddabele,40,Doddabele,Sequential Batch Reactor,39.95,
34,V.Valley,150,Mysore Road,Activated Sludge Process (ASP),137.38,
35,Total,1348.5,,,1212.71,
