Name,Capacity in MLD,Location near to,Type of process of treating sewage,Inflow,Drainage Zone
K&C valley,218,BelurNagasandra (near Challaghatta),Activated Sludge Process (ASP),107.22,Challaghatta valley
K&C valley,30,BelurNagasandra (near Challaghatta),Activated Sludge Process (ASP),32.07,
K&C Valley,60,BelurNagasandra (near Challaghatta),ASP with power generation,61.64,
K&C Valley,150,B.Nagasandra,Secondary -Activated Sludge Process (ASP),151.03,
Lalbagh,1.5,Lalbaghkere,Activated aeration + plate settlers + UV disinfection,1.481,
Cubbon Park,4,Cubbon Park(upgraded),Membrane Bio Reactor,3.913,
K.R.Puram,20,Tambuchettipalya Road,Sequential Batch Reactor,20.79,
K.R.PuramPh-I,20,Tambuchetti playa road,UASB + Extended Aeration,18.545,
Yelemallappa Chettikere,15,YelemallappaChettikere,Sequential Batch Reactor,15.61,
Bellandur Amani kere,90,Varturkere,Activated Sludge Process (ASP),92.85,Koramangala valley
Kadabeesanahalli Ph-I,50,Marathalli Outer Ring Road,Extended Aeration,48.84,
Kadugodi,6,Kadugodi,Sequential Batch Reactor,5.84,
Halasuru,2,Halasuru Lake,Sequential Batch Reactor,2.04,
Sarakki,5,Sarakkikere,Sequential Batch Reactor,5.03,
Agaram,35,Agara Ring Road,Sequential Batch Reactor,30.01,
Hulimavu,10,Hulimavukere,Sequential Batch Reactor,10.16,
Chikkabegur,5,Near Chikkabegurukere,Sequential Batch Reactor,3.04,
Madivala,4,Madivala lake,Sequential Batch Reactor,3.18,
Rajacanal - Ph-I,40,Geddalahalli near Hebbal,Extended Aeration,34.54,Hebbal
Hebbal,100,Nagavarakere,Sequential Batch Reactor,78.88,
Jakkur,15,Jakkurkere,Upflow Aerobic Sludge Blanket (UASB) + Extended Aeration,16.42,
YelahankaPh-I,10,Allalasandrakere,Activated sludge Process (ASP) + filtration + Chlorination,7.04,
Hennur,1,Hennur lake,Soil Bio Technology,0.98,
Rajacanal,40,Geddalahalli near Hebbal,Sequential Batch Reactor,41.31,
Horamavu Agara,20,In between Kalkere and HoramavuAgarakere,Sequential Batch Reactor,20.81,
Nagasandra Ph-I,20,Near Madavarakere (near Tumkur Road),Extended Aeration,11.75,
Nagasandra,20,Near Madavarakere (near Tumkur Road),Sequential Batch Reactor,17.99,
Chikkabanavara,5,Chikkabanavarakere,Sequential Batch Reactor,4.18,
Puttenahalli,7,Puttenahalli lake,Sequential Batch Reactor,4.85,Vrishabhavathy
Mailasandra Ph-I,75,Mailasandra,Extended Aeration,74.09,
Doddabele,20,Doddabele,Sequential Batch Reactor,18.58,
Kengeri,60,Near Kengeri bus stand,Secondary-Activated Sludge Process,58.5,
Doddabele,40,Doddabele,Sequential Batch Reactor,31.8,
V.Valley,150,Mysore Road,Activated Sludge Process (ASP),120.75,
Total,1348.5,,,1062.9,
