Tank ID,Tank Name,Tank Owner,District,Taluk,GPName,VillageName,Command Area (Ha),Tank Spread Area (Ha),Storage Capacity (MCFT),Designed Water Utilization (MCFT),Embankment Type,Embankment Height (m),Embankment Top Width (m),Embankment Length (m),Waste Weir Type,Kodi Length Details,Waste Weir Flow (cumecs)
KA07020032,Mangalore Tank,Minor Irrigation Department,Bagalkot,Badami,Mangalur,Mangalura,328,33.1,45.5,45.5,Zonal,16.38,2.44,124,Clear Overfall,30.47,103.85
KA02040004,Kulageri,Minor Irrigation Department,Bagalkot,Badami,Kulageri Cross,Kulageri,,,,, ,,,, ,,
KA02040042, ,Minor Irrigation Department,Bagalkot,Badami,Nandikeshwar,Govanaki,41,20.25,20,20,Zonal,8,2.5,210,Flush,59,66.4
KA02040050, ,Minor Irrigation Department,Bagalkot,Badami,Mamatageri,Kallapura .S.K,125,28.92,15.4,15.4,Zonal,11.3,2.4,760,Flush,36.95,41.62
KA02040031,Nandikeshwar,Minor Irrigation Department,Bagalkot,Badami,Nandikeshwar,Nandhikeshwara,58,15.4,8.04,8.04,Zonal,7.8,1.83,694,Flush,20,22.08
KA02040041,Kenduru,Minor Irrigation Department,Bagalkot,Badami,Kenduru,Kendhura,182,12.55,25,25,Zonal,6,1.5,520,Clear Overfall,57.27,92.17
KA02040048, ,Minor Irrigation Department,Bagalkot,Badami,Halakurki,Halakurki,,,,, ,,,, ,,
KA02040064,Bellikindi Tank,Minor Irrigation Department,Bagalkot,Badami,Kainakatti,Bellakandi,248,42.57,55.32,55.32,Zonal,11.91,2.44,457,Flush,95,107.51
KA02040022,Malagi,Minor Irrigation Department,Bagalkot,Badami,Hoolageri,Malagi,123,25.11,17.47,17.47,Zonal,9.48,2.44,680,Flush,39.62,45.09
KA02050002,Kalasakoppa Tank,Minor Irrigation Department,Bagalkot,Badami,Neeraboodihal,Karadigudda Sammatha Anavala,,,,, ,,,, ,,
KA02050008,Shirur,Minor Irrigation Department,Bagalkot,Bagalkot,Shirur,Shirura,67,93.91,9.45,9.45,Zonal,4,5,800,Clear Overfall,32,46.38
KA02050001,Muchakhandi Reservoir,Minor Irrigation Department,Bagalkot,Bagalkot,Neeralakeri,Muchakhandi,,,,, ,,,, ,,
KA02050020,Bairmatti,Minor Irrigation Department,Bagalkot,Bagalkot,Hallur,Byramatti,43,10,3.98,3.98,Zonal,,,,-,,
KA02050077,M.I. Tank at Achanur,Minor Irrigation Department,Bagalkot,Bagalkot,Bilkerur,Achanura,105,29,14.44,14.44,Zonal,8.63,2,745,Flush,36,39.38
KA02050045,Masstihal,Minor Irrigation Department,Bagalkot,Bagalkot,Rampur,Masthihala,,,,, ,,,, ,,
KA02020033, ,Minor Irrigation Department,Bagalkot,Bilgi,Janamatti,Janamatti,101,33.56,15.15,15.15,Zonal,10.75,2.55,278,Flush,31,37.24
KA02020027,Arakeri Site 1,Minor Irrigation Department,Bagalkot,Bilgi,Arakeri,Arakeri,132,25,1.27,1.27,Zonal,12.27,2.5,260,Flush,36.1,39.53
KA02070013, ,Minor Irrigation Department,Bagalkot,Guledagudda,Hanapur-Sp,Hanapura,,,,, ,,,, ,,
KA02070023,Tarvathi,Minor Irrigation Department,Bagalkot,Guledagudda,Parvati,Khanapura Sammatha Paravathi,,,,, ,,,, ,,
KA02070020,Ganjikere,Minor Irrigation Department,Bagalkot,Guledagudda,Parvati,Khanapura Sammatha Paravathi,,,,, ,,,, ,,
KA02070019,Kotekal,Minor Irrigation Department,Bagalkot,Guledagudda,Kotikall,Kotikalla,,,,, ,,,, ,,
KA02070009, ,Minor Irrigation Department,Bagalkot,Guledagudda,Kelavadi,Kelawadi (Kadapatti),,,,, ,,,, ,,
KA02060006,Hiremagi,Minor Irrigation Department,Bagalkot,Hungund,Hiremagi,Hiremagi,178,32.77,26.32,26.32,Zonal,9.43,1.85,570,Flush Escape,54,59.86
KA02060001,Basarikatti,Minor Irrigation Department,Bagalkot,Hungund,Muganur,Basarikatti,202,48.95,30.6,30.6,Zonal,8.39,2.43,731,Flush Escape,163.06,128.67
KA02060022,Bisanal,Minor Irrigation Department,Bagalkot,Hungund,Dhannur,Iddalage,97,26.7,17.72,17.72,Zonal,9.09,1.8,617,Flush Escape,40.22,45.3
KA02080017,Arasibiddi,Minor Irrigation Department,Bagalkot,Ilkal,Gudur-S.C,Gadura Sammatha Chikkanala,,,,, ,,,, ,,
KA07020031,Balakundi Tank,Minor Irrigation Department,Bagalkot,Ilkal,Balakundi,Balakundha,,,,, ,,,, ,,
KA02080024,Chikkakodagali,Minor Irrigation Department,Bagalkot,Ilkal,Chikka Kodagali,Chikkakodagal,,,,, ,,,, ,,
KA02080002,Kandgal,Minor Irrigation Department,Bagalkot,Ilkal,Kandagall,Kandhagalla,,,,, ,,,, ,,
KA02080023, ,Minor Irrigation Department,Bagalkot,Ilkal,Kandagall,Kandhagalla,,,,, ,,,, ,,
KA02080022, ,Minor Irrigation Department,Bagalkot,Ilkal,Kelur,Kelura,,,,, ,,,, ,,
KA02080025,Hiresangagutti,Minor Irrigation Department,Bagalkot,Ilkal,Hiresinganagutti,Hiresinganagutthi,,,,, ,,,, ,,
KA02010007,Todalabagi Kere,Minor Irrigation Department,Bagalkot,Jamkhandi,Todalabagi,Thodhalabagi,312,55.05,51.56,51.56,Zonal,14.76,3.66,647,Submerge,70,112.55
KA02010006, ,Minor Irrigation Department,Bagalkot,Jamkhandi,Kannolli,Gadhyala,193,12,28,28,Zonal,9.1,2.5,157,Drowned Channel,60.95,59.46
KA02010009,Tungal Kere,Minor Irrigation Department,Bagalkot,Jamkhandi,Tungal,Thungala,81,6.99,4,4,Zonal,9.1,3.66,157,Drowned Channel,12.19,18.4
KA02010044,Kuragod MI Tank,Minor Irrigation Department,Bagalkot,Jamkhandi,Kannolli,Kurugoda,96,9.4,6.54,6.54,Zonal,6.23,2,215,Submerge,20.5,23.04
