rauId,page,name,tankNo,areaHa
a2-1,39,Shivanahally Tank (Near Yelahanka),357,10.00
a2-2,39,Kalagondanahally Tank,345,10.9
a2-33,47,Binny Mill Tank,696,30.37
a2-34,47,Gangondanahalli tank,681,0.64
a2-35,47,Malagali Tank,680,3.87
a2-36,47,Kamakshipalya tank,679,-
a2-37,47,Kurubarahally tank,678,-
a2-42,49,Geddalahalli tank,347,10.32
a4-1,52,Amruthalli tank,381(a),9.35
a4-2,52,Nagawara Tank,354,43.86
a4-3,52,Hennur tank,346,25.80
a4-73,63,Chickbanavara Tank,,30.38
a4-74,63,Narasipura Tank,,4.52
a4-75,63,Tinnalu tank,251,3.87
a4-76,63,Doddabommasandra tank,752,46.44
a4-77,63,Kamagondanahalli tank,508,11.29
a4-78,63,Chickbettanahalli Tank,497,4.60
a5-43,68,Junnasandra tank,220,0.25
a5-44,68,Doddakere Chikkanahalli,221,247.2
a5-45,68,Tank West of Kodathi,-,4.0
a5-46,68,Dyavarakere Sullikunte,205,5.2
a5-47,68,Pasalreddikere Sulikunte,206,88.8
a5-48,68,Doddakere (Kodatti),207,31.6
a5-49,68,Mullur Tank,208,15.2
a5-50,68,"Moralikere, Gunjur",209,30.4
a5-51,68,"Hosakere, Gunjur",210,3.6
a5-52,68,"Doddakere, Gunjur",211,14.8
a5-53,68,"Palyadakere, Pannathur",212,2.8
a5-54,68,Boganahalli Tank,213,4.8
a5-55,68,BoganahalliAne,214,1.2
a5-56,68,"Uramundinakere, Panathur",215,10.0
a5-57,68,"Kodagikere, Devarabisanahalli",216,40.2
a5-58,68,"Haralkere, Doddakannelli",217,23.2
a5-59,68,"Amanikere, Belandur",301,360.0
a5-60,68,Tank east of Channapanahalli,314,4.53
a5-61,68,"Mowjikere, Siddapura",316,1.6
a5-62,68,"Amanikere, Varthur",317,180.4
a5-215,75,Nellukunte tank,N.A.,10.0
a5-216,75,Thimmanahalli tank,N.A.,8.0
a5-217,75,Sugatta tank,N.A.,15.0
a5-218,75,Sonnappanahalli tank,N.A.,20.0
a5-219,75,"Urumundinakere, Ittagalpura",475,20.4
a5-220,75,"Jodi Ramaswamykere, Ittagalpura",476,8.0
a5-221,75,"Urumundinakere, Madappanahalli",477,6.4
a5-222,75,Linganahalli tank,480,7.2
a5-223,75,Kalenahalli tank (Breached),482,-
a5-224,75,Madappanahalli tank (Private),483,6.4
a5-225,75,"Sorekai kunta kere, Mylappanahalli",484,5.6
a5-226,75,"Urumundinakere, Mylappanahalli",485,8.4
a5-227,75,Mavalipura tank (Breached),486,-
a5-228,75,"Urumundinakere, Bylakere",487,7.2
a5-229,75,"Urumundinakere, Byalakere",488,7.2
