"Name of the lake","Extent in Hect","Sample Location","CI","PO-P","TSS","DO","COD","NO3","TH","F","pH","Zn","pb","Cu","Mn","Al","Cr","EC MPN/100 ml","TC MPN/ 100 ml","","",""
"Amruthalli kere","8.7","Inlet","156 8","5.11","37","2.2","19.20","4.45","272","0.32","7.90","0.11","Nil","Nil","0.50","","","","","","",""
"Amruthalli kere","","Middle","131.6","2.55","16","","19.20","10.87","172","0.49","8.37","0.17","Nil","Nil","0.19","","","","","","",""
"Amruthalli kere","","Outlet","131.6","2.09","23.5","","19.20","10.97","172","0.52","8.36","0.21","Nil","Nil","0.18","","","","","","",""
"Andrahalli kere","5.44","Inlet","358","0.1","136.5","92","Nil","6.25","588","3.51","8.34","0.14","Nil","Nil","0.82","2.46","","160000","160000","","",""
"Andrahalli kere","","Outlet","258","0.2","191","6.8","Nil","7.07","596","3.94","8.18","0.15","Nil","0.01","0.68","2.42","","160000","160000","","",""
"Anjanapura kere","7.38","Inlet","190","0.2","67.5","6.2","40.00","4.715","224","0.54","8.12","0.17","Nil","Nil","0.24","","","","","","",""
"Arakere","10.8","Inlet","","","5740","Nil","","5.46","","0.43","8.06","","","","","","","","","","",""
"Arehalli sanna kere I","5.25","Inlet","44.9","0.05","39","6","nil","7.74","164","0.37","8.17","0.05","Nil","Nil","0.21","","0.05","","","","",""
"Arehalli sanna kere II","0.5","Inlet","45","2:06","13","12.8","Nil","4.26","132","0.82","9.46","0.38","Nil","Nil","0.16","","","","","","",""
"Attur Lake","","Outlet","34","0.1","65.5","","","26.00","84","0.46","7.22","0.19","0.11","0.10","0.61","68.9","","","","","",""
"Attur Lake","","Middle","22","0.2","67.5","","","27.00","88","0.56","7.72","0.10","0.12","0.08","0.56","63.4","","","","","",""
"Attur Lake","28.7","Inlet","25","0.05","76","7","","36.30","76","0.37","7.63","","","","","","","","","","",""
"Bagalkunte Kere","3.94","Inlet","109","2.05","72.5","9","96.00","7.08","240","0.18","8.74","0.12","Nil","Nil","0.30","","","","","","",""
"Balajinagar Kere","3.75","Inlet","123","0.2","8.5","5.8","Nil","4.31","260","0.65","7.47","0.06","Nil","0 01","0.41","0.79","","","","","",""
"Basapura kere(l)","2.5","Inlet","412","0.55","1","5.4","57.60","8.02","500","0.52","8.36","0.07","Nil","Nil","0.05","","","","","","",""
"Begur tank","","Middle","132","0.01","78","","Nil","2.34","184","0 48","8.35","0.06","Nil","Nil","0.10","","","","","","",""
"Begur tank","","Outlet","185","0.11","","","Nil","2.62","316","0.48","7.97","0.07","Nil","Nil","0.07","","","","","","",""
"Begur tank","49.8","Inlet","277","1.04","245","Nil","56.64","9.73","272","0.72","8.07","0.10","0.03","Nil","0.54","","","","","","",""
"Belandur Tank","","Outlet","132","0.1","150","Nil","57.60","7.48","220","0.38","7.87","0.13",".Nil","Nil","0.22","","","","","","",""
"Belandur Tank","","Middle","134","0.1","192","","76.80","7.91","244","0 37","7.80","0.12","Nil","Nil","0.22","","","","","","",""
"Belandur Tank","307.35","Inlet","109","5.05","498","Nil","96.00","9.73","208","0.40","7.51","0.19","Nil","Nil","0.23","","","","","","",""
"Belandur Tank","","Inlet - 2","148","5.11","363","","134.40","11.165","240","0.36","7.63","0.44","11.00","0.07","0.28","","","","","","",""
"Bhattrahalli Kere","4.76","Inlet","476","Nil","","10","18.88","5.90","220","0.66","8.29","0.06","0.03","0.01","0.12","1.38","","","","","",""
"Bhattrahalli Kere","","Outlet","168","Nil","","","18.88","6.10","208","0.61","8.67","0.09","Nil","Nil","0.13","2.42","","","","","",""
"Busegowdana kere","5.79","Inlet","78.4","0 01","233","3.6","94.40","11.26","168","0.42","8.32","0.10","Nil","0.04","0.88","","0.03","900","900","","",""
"Busegowdana kere","","Outlet","75.6","0.01","336","","56.64","12.71","166","0.42","8.44","0.16","Nil","0.04","0.84","","0.04","","","","",""
"Chikkabasavanapura Kere","","Outlet","277","Nil","","","96.00","5.99","196","0.76","8.38","0.06","Nil","Nil","0.07","2.28","","","","","",""
"Chikkabasavanapura Kere","5.11","Inlet","277","Nil","","9.2","","6.13","184","0.76","8.28","0.04","Nil","Nil","0.07","1.73","","","","","",""
"Chinnappanahalli Kere","","Middle","252","0.1","7.5","","Nil","6.73","236","0.47","7.72","0.03","Nil","Nil","0.07","","","","","","",""
"Chinnappanahalii Kere","2.68","Inlet","272","0.2","15.5","1.6","384.00","6.89","424","0.48","7.50","0.05","Nil","0 02","1.59","","","","","","",""
"Chmnappanahalh Kere","","Outlet","230","0.01","3.5","","19.20","7.17","192","0.51","7.68","0.60","Nil","Nil","0.21","","","","","","",""
"Devara Beesanakalli Kere","4.64","Inlet","442","5.21","145.5","3.6","","4.51","316","0.44","8.51","0.20","Nil","0.04","0.09","","",">1600",">1600","","",""
"Devara Beesanakalli Kere","","Middle","291","5.16","191","","","12.08","368","0.45","8.11","0.12","Nil","0.03","0.07","","","","","","",""
"Devarakere","","Middle","171","0.01","809","","38.40","2.72","232","0.63","8.82","0.58","","Nil","0.07","","","","","","",""
