id,anchor,atreeFid,empriCode,histId,outlineSource,outlineId,pairMethod,pairDistanceM,pairNameScore,reviewed
abbigere-kere,atree:247,247,BUBNYPabg_kr1-78,,atree,247,near,12,1.0,
abbigere-kunte1,empri:BUBNYPabg_ku2-79,,BUBNYPabg_ku2-79,,,,unpaired,,,
acchanakere,atree:144,144,BUBEVRmnk_kr1-601,,atree,144,near,20,1.0,
achanakere,atree:118,118,BUBEKRmvp_kr1-732,,atree,118,near,65,1.0,
adarang-lake,atree:1180,1180,,,atree,1180,,,,
adde-lake,atree:766,766,,,atree,766,,,,
addevishwanathapura-lake,atree:800,800,,,atree,800,,,,
addiganahalli-lake,atree:801,801,BUBNHGadg_gk1-372,,atree,801,inside,0,0.38,
addigenakere,atree:245,245,BUAKJGmtp_kr4-1098,,atree,245,near,3,1.0,
adesonatti-lake,atree:898,898,,,atree,898,,,,
adiganahalli-kunte,empri:BUBNHGadg_ku2-373,,BUBNHGadg_ku2-373,,,,unpaired,,,
adigondanahalli-kere,atree:753,753,,,atree,753,,,,
adikamaranahalli-kunte,empri:BUBNDPakm_gk1-454,,BUBNDPakm_gk1-454,,,,unpaired,,,
adikelallanapalya-kere,atree:739,739,,,atree,739,,,,
adkepalya-lake,atree:1223,1223,,,atree,1223,,,,
adugodi-kunte1,empri:BUBSBGadu_ku1-1392,,BUBSBGadu_ku1-1392,,,,unpaired,,,
adugodi-kunte2,empri:BUBSBGadu_ku2-1393,,BUBSBGadu_ku2-1393,,,,unpaired,,,
aduru-kunte1,empri:BUBEBDadu_ku1-789,,BUBEBDadu_ku1-789,,,,unpaired,,,
aduru-kunte2,empri:BUBEBDadu_ku2-790,,BUBEBDadu_ku2-790,,,,unpaired,,,
aduru-kunte3,empri:BUBEBDadu_ku3-791,,BUBEBDadu_ku3-791,,,,unpaired,,,
aduru-kunte4,empri:BUBEBDadu_ku4-792,,BUBEBDadu_ku4-792,,,,unpaired,,,
aduru-lake,atree:1116,1116,,,atree,1116,,,,
adurupalya-lake,atree:1115,1115,,,atree,1115,,,,
agara-kere,atree:341,341,BUBSKGbvk_kr9-1167,,atree,341,inside,0,1.0,
agara-kunte-2,empri:BUBSBGagr_ku2-1396,,BUBSBGagr_ku2-1396,,,,unpaired,,,
agara-kunte-3,empri:BUBSBGagr_ku3-1397,,BUBSBGagr_ku3-1397,,,,unpaired,,,
agara-kunte-4,empri:BUBSKGagr_ku5-1154,,BUBSKGagr_ku5-1154,,,,unpaired,,,
agara-kunte-4-2,empri:BUBSBGagr_ku4-1398,,BUBSBGagr_ku4-1398,,,,unpaired,,,
agara-kunte-5,empri:BUBSKGagr_ku6-1155,,BUBSKGagr_ku6-1155,,kgis-pond,947,unpaired,,,
agara-kunte-6,empri:BUBSKGagr_gk8-1157,,BUBSKGagr_gk8-1157,,,,unpaired,,,
agara-kunte-7,empri:BUBSKGagr_ku9-1158,,BUBSKGagr_ku9-1158,,,,unpaired,,,
agara-kunte-8,empri:BUBSKGagr_ku10-1159,,BUBSKGagr_ku10-1159,,,,unpaired,,,
agara-kunte1,empri:BUBSKGagr_gk1-1150,,BUBSKGagr_gk1-1150,,,,unpaired,,,
agara-kunte1-2,empri:BUBSBGagr_ku1-1395,,BUBSBGagr_ku1-1395,,,,unpaired,,,
agara-kunte2,empri:BUBSKGagr_ku2-1151,,BUBSKGagr_ku2-1151,,,,unpaired,,,
agara-kunte3,empri:BUBSKGagr_ku3-1152,,BUBSKGagr_ku3-1152,,,,unpaired,,,
agara-lake,atree:92,92,BUBSBGvkk_kr1-1507,,atree,92,inside,0,1.0,
agrahara-kere,empri:BUBNYPagh_kr1-80,,BUBNYPagh_kr1-80,,,,unpaired,,,
agrahara-lake,atree:26,26,BUBNYHagh_kr1-235,,atree,26,near,6,1.0,
aiyanapalya-lake,atree:1099,1099,,,atree,1099,,,,
ajjanahalli-kere,atree:356,356,,,atree,356,,,,
ajjegowdana-katte,atree:518,518,BUBNYPkdg_kr1-151,,atree,518,inside,0,1.0,
akkithimmanahalli-kere,empri:BUBNBKakt_kr1-01,,BUBNBKakt_kr1-01,,,,unpaired,,,
alagondahalli-lake,atree:555,555,,,atree,555,,,,
alahalli-kere,atree:11,11,BUBSUHalh_kr1-1313,,atree,11,near,17,1.0,
alijenahalli-kere,atree:1300,1300,,,atree,1300,,,,
allasandra-lake,atree:27,27,BUBNYHals_kr1-236,,atree,27,near,5,1.0,
alur-kere,atree:281,281,BUBNDPalu_kr1-455,,atree,281,near,6,1.0,
aluru-lake1,atree:1179,1179,,,atree,1179,,,,
amalgunte-lake,atree:1213,1213,,,atree,1213,,,,
amanimulli-kere,atree:776,776,,,atree,776,,,,
ambalagere-n,atree:677,677,,,atree,677,,,,
ambalagere-w,atree:676,676,,,atree,676,,,,
ambalipura-kelagina-kere,atree:93,93,BUBEVRamb_kr2-505,,atree,93,inside,0,0.88,
ambalipura-kunte1,empri:BUBEVRamb_gk1-504,,BUBEVRamb_gk1-504,,,,unpaired,,,
ampapura-lake,atree:1049,1049,,,atree,1049,,,,
amruthahalli-lake,atree:28,28,BUBNYHamt_kr2-238,,atree,28,near,60,1.0,
amruthalli-kunte1,empri:BUBNYHamt_ku1-237,,BUBNYHamt_ku1-237,,,,unpaired,,,
amrutnagar-lake,atree:904,904,,,atree,904,,,,
anagalapura-kunte1,empri:BUBEBDagl_ku1-793,,BUBEBDagl_ku1-793,,,,unpaired,,,
anagalapura-kunte2,empri:BUBEBDagl_gk2-794,,BUBEBDagl_gk2-794,,,,unpaired,,,
anantapura-kere,atree:691,691,,,atree,691,,,,
ananthapura-kunte,empri:BUBNYHanp_ku1-239,,BUBNYHanp_ku1-239,,,,unpaired,,,
ananthapura-kunte1,empri:BUBNYHanp_ku2-240,,BUBNYHanp_ku2-240,,,,unpaired,,,
ananthapura-kunte2,empri:BUBNYHanp_gk3-241,,BUBNYHanp_gk3-241,,,,unpaired,,,
andhrahalli-lake,atree:248,248,BUBNYPhad_kr1-111,,atree,248,inside,0,1.0,
annamma-kere,atree:476,476,BUBSUHylc_kr2-1391,,atree,476,near,12,1.0,
antarahalli-kere,atree:1279,1279,,,atree,1279,,,,
anurah-katte-newly-created,empri:BUBNHGadg_ku3-374,,BUBNHGadg_ku3-374,,,,unpaired,,,
aradeshanahalli-kere,atree:762,762,,,atree,762,,,,
aradeshanahalli-kere-2,atree:763,763,,,atree,763,,,,
aralakunte,atree:184,184,BUBNHGmdp_kr5-417,,atree,184,near,2,0.9,
aralamallige-kere,atree:1270,1270,,,atree,1270,,,,
arasanahalli-lake,atree:775,775,,,atree,775,,,,
arebommanahalli-2r,atree:729,729,,,atree,729,,,,
arebommanahalli-low,atree:733,733,,,atree,733,,,,
arebommanahalli-up-kere,atree:732,732,,,atree,732,,,,
arehalii-kere,atree:742,742,,,atree,742,,,,
arehalli-kere,empri:BUBSUHarh_kr1-1314,,BUBSUHarh_kr1-1314,,kgis-pond,6229,unpaired,,,
arehalli-kunte,empri:BUBSUHarh_gk2-1315,,BUBSUHarh_gk2-1315,,kgis-pond,6228,unpaired,,,
arehalli-lake,atree:532,532,,,atree,532,,,,
arehalli-lake-2,atree:855,855,,,atree,855,,,,
arekere-lake,atree:95,95,BUBSBGark_kr1-1399,,atree,95,near,10,1.0,
arekere-lake-2,atree:802,802,,,atree,802,,,,
arenur-kere,atree:750,750,,,atree,750,,,,
arjunabettahalli-kere,atree:562,562,,,atree,562,,,,
arluru-kere-s,atree:603,603,,,atree,603,,,,
asirvanam-ashram-1,atree:376,376,BUBSKGkmp_kr3-1200,,atree,376,inside,0,0.19,
asirvanam-ashram-2,atree:377,377,,,atree,377,,,,
attibele-kere,atree:744,744,,,atree,744,,,,
attur-kere,atree:587,587,,,atree,587,,,,
atturu-kere,atree:68,68,BUBNYHatu_kr2-243,,atree,68,inside,0,1.0,
atturu-kunte,empri:BUBNYHatu_ku1-242,,BUBNYHatu_ku1-242,,,,unpaired,,,
avadenahlli-lake,atree:1149,1149,,,atree,1149,,,,
avalahali-kunte,empri:BUBEBDavh_ku1-795,,BUBEBDavh_ku1-795,,,,unpaired,,,
avalahalli-katte1,empri:BUBNYHavl_gk2-245,,BUBNYHavl_gk2-245,,,,unpaired,,,
avalahalli-katte2,empri:BUBNYHavl_gk3-246,,BUBNYHavl_gk3-246,,,,unpaired,,,
avalahalli-kere,atree:70,70,BUBNYHkrs_kr1-295,,atree,70,inside,0,1.0,
avalahalli-kere-2,atree:77,77,BUBNYHavl_kr1-244,,atree,77,near,3,1.0,
avalahalli-kere-3,atree:280,280,BUAKSPavl_kr5-917,,atree,280,near,23,1.0,
avalahalli-kunte-1,empri:BUAKSPavl_ku1-913,,BUAKSPavl_ku1-913,,,,unpaired,,,
avalahalli-kunte-2,empri:BUAKSPavl_ku2-914,,BUAKSPavl_ku2-914,,,,unpaired,,,
avalahalli-kunte-3,empri:BUAKSPavl_ku3-915,,BUAKSPavl_ku3-915,,,,unpaired,,,
avalahalli-kunte-4,empri:BUAKSPavl_ku4-916,,BUAKSPavl_ku4-916,,,,unpaired,,,
