source,slNo,parcelIndex,zone,zoneRaw,lakeName,taluk,nameTalukRaw,village,surveyNumbers,villageSurveyRaw,acres,guntas,areaAcres,status,statusRaw,problem
bbmp-custody,1,0,Mahadevapura,Mahadevpura Zone,Ambalipura Kelagina kere,Bangalore East,Ambalipura Kelagina kere/ Bangalore East,Amblipura,41,Amblipura-41,4,9,4.225,developed,Developed lake,
bbmp-custody,2,0,Mahadevapura,Mahadevpura Zone,Kaigondanahalli Lake,Bangalore East,Kaigondanahalli Lake / Bangalore East,Kaigondanalli,8,Kaigondanalli-8,18,18,18.45,developed,Developed lake,
bbmp-custody,2,1,Mahadevapura,Mahadevpura Zone,Kaigondanahalli Lake,Bangalore East,Kaigondanahalli Lake / Bangalore East,Kasavanalli,70,Kasavanalli-70,30,5,30.125,developed,Developed lake,
bbmp-custody,3,0,Mahadevapura,Mahadevpura Zone,Vijanapura kere,Bangalore East,Vijanapura kere / Bangalore East,Kowdenahalli,85,Kowdenahalli-85,10,30,10.75,developed,Developed lake,
bbmp-custody,4,0,Mahadevapura,Mahadevpura Zone,Amblipura melina kere,Bangalore East,Amblipura melina kere / Bangalore East,Ambalipura,36,Ambalipura-36,12,16,12.4,developed,Developed lake,
bbmp-custody,5,0,Mahadevapura,Mahadevpura Zone,Sigehalli,Bangalore East,Sigehalli / Bangalore East,Sigehalli,32,Sigehalli-32,31,13,31.325,developed,Developed lake,
bbmp-custody,6,0,Mahadevapura,Mahadevpura Zone,Devsandra kere,Bangalore East,Devsandra kere / Bangalore East,Devsandra,31,Devsandra-31,16,8,16.2,developed,Developed lake,
bbmp-custody,7,0,Mahadevapura,Mahadevpura Zone,Doddakanenahalli kere,Bangalore East,Doddakanenahalli kere / Bangalore East,Doddakannalli,109,Doddakannalli- 109,18,14,18.35,developed,Developed lake,
bbmp-custody,8,0,Mahadevapura,Mahadevpura Zone,Munnekolalu kere,Bangalore East,Munnekolalu kere / Bangalore East,Munnekolalu,25,Munnekolalu-25,15,38,15.95,developed,Developed lake,
bbmp-custody,9,0,Mahadevapura,Mahadevpura Zone,Shilavanthana kere,Bangalore East,Shilavanthana kere / Bangalore East,White field,41,White field-41,19,32,19.8,developed,Developed lake,
bbmp-custody,10,0,Mahadevapura,Mahadevpura Zone,Kasavanahalli lake,Bangalore East,Kasavanahalli lake / Bangalore East,Kasavanalli,50,Kasavanalli-50,21,30,21.75,developed,Developed lake,
bbmp-custody,10,1,Mahadevapura,Mahadevpura Zone,Kasavanahalli lake,Bangalore East,Kasavanahalli lake / Bangalore East,Haralur,32,Haralur-32,33,37,33.925,developed,Developed lake,
bbmp-custody,12,0,Mahadevapura,Mahadevpura Zone,Kowdenhalli lake,Bangalore East,Kowdenhalli lake / Bangalore East,Kowdenhalli lake,27,Kowdenhalli lake- 27,55,5,55.125,developed,Developed lake,
bbmp-custody,13,0,Mahadevapura,Mahadevpura Zone,Haraluru kere,Bangalore East,Haraluru kere / Bangalore East,Haraluru,95,Haraluru-95,27,13,27.325,developed,Developed lake,
bbmp-custody,14,0,Mahadevapura,Mahadevpura Zone,Sowl kere,Bangalore East,Sowl kere / Bangalore East,Bellandur,65,Bellandur-65,23,33,23.825,developed,Developed lake,
bbmp-custody,14,1,Mahadevapura,Mahadevpura Zone,Sowl kere,Bangalore East,Sowl kere / Bangalore East,Doddakannali,68,Doddakannali-68,7,28,7.7,developed,Developed lake,
bbmp-custody,14,2,Mahadevapura,Mahadevpura Zone,Sowl kere,Bangalore East,Sowl kere / Bangalore East,Kaigondanalli,36,Kaigondanalli-36,30,16,30.4,developed,Developed lake,
bbmp-custody,15,0,Bommanahalli,Bommanahalli Zone,Dorekere lake,Bangalore South,Dorekere lake / Bangalore South taluk,Vasanthapura,6,"Vasanthapura- 0006,",9,12,9.3,developed,Developed lake,
bbmp-custody,15,1,Bommanahalli,Bommanahalli Zone,Dorekere lake,Bangalore South,Dorekere lake / Bangalore South taluk,Uttarahalli,22,Uttarahalli-0022,19,11,19.275,developed,Developed lake,
bbmp-custody,16,0,Bommanahalli,Bommanahalli Zone,Uttarahalli Lake,Bangalore South,Uttarahalli Lake / Bandgalore South,Uttarahalli,111,Uttarahalli-0111,15,16,15.4,developed,Developed lake,
bbmp-custody,17,0,South,Bangalore South,Yediyur Lake,Bangalore South,Yediyur Lake Bangalore south,Yediyur,1,"0001, Yediyur-",18,2,18.05,developed,Developed lake,
bbmp-custody,18,0,Bommanahalli,Bommanahalli Zone,,,(Next to Brigade,Puttenahalli,42,Puttenahalli-42,13,25,13.625,developed,Developed lake,lake name cut off in the source; only '(Next to Brigade' survives
bbmp-custody,19,0,Bommanahalli,Bommanahalli Zone,Singasandra,Bangalore South,Singasandra / Bangalore South,Singasandra,99,Singasandra-99,10,14,10.35,developed,Developed lake,
bbmp-custody,20,0,South,Bangalore South,Deepanjali lake,Bangalore South,Deepanjali lake Bangalore South,Devatige Ramanahalli,32,Devatige Ramanahalli-32,7,22,7.55,developed,Developed lake,
bbmp-custody,21,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Halage vaderahalli Lake,Bangalore South,Halage vaderahalli Lake Bangalore South,Halage vaderahalli,1,Halage vaderahalli-1,16,13,16.325,developed,Developed lake,
bbmp-custody,22,0,Bommanahalli,Bommanahalli Zone,Parappana Agrahara,Bangalore South,Parappana Agrahara / Bangalore south,Parappana Agrahara,23,Parappana Agrahara-23,17,12,17.3,developed,Developed lake,
bbmp-custody,23,0,Rajarajeshwari Nagar,RajaRajeshwari Nagar Zone,Bheemana Katte,,Bheemana Katte,Halagevaderahalli,,Halagevaderahalli,1,23,1.575,developed,Developed lake,
bbmp-custody,24,0,South,Bangalore South,Kempambudhi Lake,Bangalore North,Kempambudhi Lake Bangalore North,Kempambudhi,2,Kempambudhi- 0002,47,7,47.175,developed,Developed lake,
