key,downstreamKey,downstreamMethod,downstreamKeyStreams,downstreamKeyDem,agree,upstreamKeys,cascadeDepth,catchmentKm2,valleyBasin,outletLon,outletLat,source
abbigere-kere,chikkabanavara-kere,dem,,chikkabanavara-kere,,kuvempunagar-lake;singapura-lake,2,5.19,Arkavathi,77.529444,13.081667,cascade-streams-dem
acchanakere,varthur-lake,streams,varthur-lake,varthur-lake,True,chinnappanahalli-kere1,1,1.78,Koramangala-Challaghatta,77.708176,12.95744,cascade-streams-dem
achanakere,mahadevapura-kere,dem,,mahadevapura-kere,,,0,0.52,Koramangala-Challaghatta,77.694722,12.990556,cascade-streams-dem
adarang-lake,,,,,,,0,1.14,"unnamed, leaves to W",77.213889,13.1425,cascade-streams-dem
adde-lake,kodaturu-kere,dem,,kodaturu-kere,,addevishwanathapura-lake;sriramanahalli-lake,1,8.38,Arkavathi,77.547778,13.210833,cascade-streams-dem
addevishwanathapura-lake,adde-lake,dem,,adde-lake,,,0,3.89,Arkavathi,77.554167,13.186667,cascade-streams-dem
addiganahalli-lake,muddenahalli-lake,dem,,muddenahalli-lake,,,0,0.55,Hebbal,77.570278,13.180278,cascade-streams-dem
addigenakere,uramundinakere-3,dem,,uramundinakere-3,,,0,0.81,Dakshina Pinakini,77.596111,12.813889,cascade-streams-dem
adesonatti-lake,madivala-lake,dem,,madivala-lake,,,0,1.78,Dakshina Pinakini,77.720278,12.771944,cascade-streams-dem
adigondanahalli-kere,indlabele-kere,dem,,indlabele-kere,,bikkanhalli-lake;sollepura-kere,2,6.53,Dakshina Pinakini,77.758333,12.821944,cascade-streams-dem
adikelallanapalya-kere,,,,,,jogipalya-low-kere,1,1.86,Kumudvathi,77.3225,13.1,cascade-streams-dem
adkepalya-lake,ganadalu-lake,dem,,ganadalu-lake,,,0,1.27,Jayamangali,77.384722,13.347222,cascade-streams-dem
aduru-lake,nosenuru-gollahalli-lake-2,dem,,nosenuru-gollahalli-lake-2,,adurupalya-lake;aiyanapalya-lake,1,2.26,Arkavathi,77.650833,12.733056,cascade-streams-dem
adurupalya-lake,aduru-lake,dem,,aduru-lake,,,0,0.72,Arkavathi,77.657222,12.732222,cascade-streams-dem
agara-kere,lingapura-lake-2,dem,,lingapura-lake-2,,konashetty-kere,1,11.13,Vrishabhavathi,77.488333,12.849444,cascade-streams-dem
agara-lake,bellandur-lake,streams,bellandur-lake,bellandur-lake,True,begur-lake;chikkabegur-kere;garvebhavipalya-lake;madiwala-lake;somasundrapalya-lake;tavarekere-lake;yellukunte-govt-lake,4,77.63,Koramangala-Challaghatta,77.645958,12.924942,cascade-streams-dem
agrahara-lake,jakkur-lake,streams,jakkur-lake,jakkur-lake,True,chokkanahalli-lake;thirumenahalli-lake,1,2.89,Hebbal,77.623182,13.087986,cascade-streams-dem
aiyanapalya-lake,aduru-lake,dem,,aduru-lake,,,0,0.73,Arkavathi,77.653333,12.725833,cascade-streams-dem
ajjanahalli-kere,,,,,,,0,1.08,Vrishabhavathi,77.389444,12.915,cascade-streams-dem
ajjegowdana-katte,kannalli-kere,dem,,kannalli-kere,,,0,0.43,Vrishabhavathi,77.465278,12.9825,cascade-streams-dem
alagondahalli-lake,sitanayakanahalli-lake,dem,,sitanayakanahalli-lake,,,0,0.92,Dakshina Pinakini,77.918889,13.056667,cascade-streams-dem
alahalli-kere,o-b-chudanahalli-lake,dem,,o-b-chudanahalli-lake,,kembathahali-kere,1,2.67,Suvarnamukhi,77.565833,12.865,cascade-streams-dem
alijenahalli-kere,timmasandra-kere-2,dem,,timmasandra-kere-2,,,0,1.1,Arkavathi,77.570833,13.331389,cascade-streams-dem
allasandra-lake,jakkur-lake,streams,jakkur-lake,jakkur-lake,True,,0,4.32,Hebbal,77.589018,13.089652,cascade-streams-dem
alur-kere,,,,,,honnasandra-kere,5,35.73,Arkavathi,77.458056,13.093889,cascade-streams-dem
aluru-lake1,muganahalli-kere,dem,,muganahalli-kere,,,0,1.28,Kumudvathi,77.247222,13.148333,cascade-streams-dem
amalgunte-lake,,,,,,,0,1.45,Kumadvati,77.414444,13.472222,cascade-streams-dem
amanimulli-kere,chikka-sanne-kere,dem,,chikka-sanne-kere,,arasanahalli-lake;solluru-kere,4,36.34,Dakshina Pinakini,77.665278,13.242222,cascade-streams-dem
