key,pixelCount,elevationMinM,elevationMedianM,shoreElevationM,source
abbigere-kere,141,878.9,881.4,883.4,copernicus-dem-glo30
abbigere-kunte1,2,900.8,900.8,900.8,copernicus-dem-glo30
acchanakere,51,877.6,878.9,879.6,copernicus-dem-glo30
achanakere,14,887.7,888.3,888.6,copernicus-dem-glo30
adarang-lake,25,921.4,928.3,927.2,copernicus-dem-glo30
adde-lake,113,873.5,876.1,877.4,copernicus-dem-glo30
addevishwanathapura-lake,255,889.1,891.8,893.8,copernicus-dem-glo30
addiganahalli-lake,11,913.4,915.7,917.3,copernicus-dem-glo30
addigenakere,14,913.6,914.9,915.4,copernicus-dem-glo30
adesonatti-lake,82,888.0,891.3,893.3,copernicus-dem-glo30
adiganahalli-kunte,4,906.8,908.2,908.0,copernicus-dem-glo30
adigondanahalli-kere,44,864.0,866.2,867.9,copernicus-dem-glo30
adikamaranahalli-kunte,10,843.0,844.9,844.6,copernicus-dem-glo30
adikelallanapalya-kere,53,852.9,855.2,857.3,copernicus-dem-glo30
adkepalya-lake,24,878.8,882.0,884.9,copernicus-dem-glo30
adugodi-kunte1,2,892.2,892.7,892.3,copernicus-dem-glo30
adugodi-kunte2,4,899.7,901.6,901.3,copernicus-dem-glo30
aduru-kunte1,1,888.8,888.8,888.7,copernicus-dem-glo30
aduru-kunte2,1,885.4,885.4,885.4,copernicus-dem-glo30
aduru-kunte3,1,872.2,872.2,872.2,copernicus-dem-glo30
aduru-kunte4,2,875.2,875.3,875.5,copernicus-dem-glo30
aduru-lake,27,904.5,905.4,905.9,copernicus-dem-glo30
adurupalya-lake,20,913.3,915.2,915.9,copernicus-dem-glo30
agara-kere,171,759.0,759.0,760.9,copernicus-dem-glo30
agara-kunte-2,3,901.1,901.4,901.5,copernicus-dem-glo30
agara-kunte-3,2,904.0,904.4,904.0,copernicus-dem-glo30
agara-kunte-4,2,781.5,783.8,784.5,copernicus-dem-glo30
agara-kunte-4-2,4,896.3,898.7,899.4,copernicus-dem-glo30
agara-kunte-5,2,768.8,769.0,769.0,copernicus-dem-glo30
agara-kunte-6,6,764.7,771.0,770.2,copernicus-dem-glo30
agara-kunte-7,1,759.2,759.2,759.7,copernicus-dem-glo30
agara-kunte-8,2,766.8,768.2,768.4,copernicus-dem-glo30
agara-kunte1,6,787.3,788.8,788.4,copernicus-dem-glo30
agara-kunte1-2,2,880.7,881.7,882.2,copernicus-dem-glo30
agara-kunte2,5,782.8,787.8,788.4,copernicus-dem-glo30
agara-kunte3,3,781.9,782.4,781.9,copernicus-dem-glo30
agara-lake,339,873.0,874.5,877.3,copernicus-dem-glo30
agrahara-kere,42,884.8,888.1,888.6,copernicus-dem-glo30
agrahara-lake,49,892.6,893.9,896.2,copernicus-dem-glo30
aiyanapalya-lake,33,915.7,917.4,917.9,copernicus-dem-glo30
ajjanahalli-kere,17,806.0,807.7,809.5,copernicus-dem-glo30
ajjegowdana-katte,9,838.2,839.6,841.0,copernicus-dem-glo30
akkithimmanahalli-kere,41,894.3,903.0,903.9,copernicus-dem-glo30
alagondahalli-lake,63,909.8,912.2,913.2,copernicus-dem-glo30
alahalli-kere,66,906.0,906.0,906.7,copernicus-dem-glo30
alijenahalli-kere,16,905.8,906.8,907.2,copernicus-dem-glo30
allasandra-lake,156,899.2,901.2,903.2,copernicus-dem-glo30
alur-kere,262,850.3,851.8,852.4,copernicus-dem-glo30
aluru-lake1,50,912.7,913.6,914.9,copernicus-dem-glo30
amalgunte-lake,40,739.7,741.6,742.8,copernicus-dem-glo30
amanimulli-kere,433,888.8,892.3,892.2,copernicus-dem-glo30
ambalagere-n,87,906.6,908.5,909.1,copernicus-dem-glo30
ambalagere-w,57,911.2,913.7,914.4,copernicus-dem-glo30
ambalipura-kelagina-kere,25,879.5,885.1,887.3,copernicus-dem-glo30
ambalipura-kunte1,4,891.0,891.5,892.0,copernicus-dem-glo30
ampapura-lake,7,737.2,737.6,738.1,copernicus-dem-glo30
amruthahalli-lake,89,893.9,894.7,896.4,copernicus-dem-glo30
amruthalli-kunte1,2,915.8,915.8,915.8,copernicus-dem-glo30
amrutnagar-lake,42,879.0,879.0,881.1,copernicus-dem-glo30
anagalapura-kunte1,2,893.6,893.7,893.9,copernicus-dem-glo30
anagalapura-kunte2,9,891.5,893.6,893.8,copernicus-dem-glo30
anantapura-kere,34,875.3,876.8,878.0,copernicus-dem-glo30
ananthapura-kunte,4,908.7,909.1,908.8,copernicus-dem-glo30
ananthapura-kunte1,4,915.9,916.8,916.7,copernicus-dem-glo30
ananthapura-kunte2,9,927.9,930.1,928.6,copernicus-dem-glo30
andhrahalli-lake,48,879.5,879.5,881.3,copernicus-dem-glo30
annamma-kere,18,885.1,885.9,886.5,copernicus-dem-glo30
antarahalli-kere,108,913.0,914.2,914.7,copernicus-dem-glo30
anurah-katte-newly-created,1,919.2,919.2,918.7,copernicus-dem-glo30
aradeshanahalli-kere,1088,880.3,883.3,884.8,copernicus-dem-glo30
aradeshanahalli-kere-2,263,873.4,876.1,877.0,copernicus-dem-glo30
aralakunte,16,898.3,899.2,899.5,copernicus-dem-glo30
aralamallige-kere,1877,877.2,880.6,881.3,copernicus-dem-glo30
arasanahalli-lake,203,897.5,899.3,900.5,copernicus-dem-glo30
arebommanahalli-2r,27,867.4,869.2,870.4,copernicus-dem-glo30
arebommanahalli-low,23,892.1,893.9,895.3,copernicus-dem-glo30
arebommanahalli-up-kere,46,890.0,892.0,893.9,copernicus-dem-glo30
arehalii-kere,830,866.7,873.9,873.4,copernicus-dem-glo30
arehalli-kere,33,849.0,854.6,856.7,copernicus-dem-glo30
arehalli-kunte,5,845.5,846.1,846.1,copernicus-dem-glo30
arehalli-lake,201,850.8,853.7,853.6,copernicus-dem-glo30
arehalli-lake-2,83,864.9,866.6,867.7,copernicus-dem-glo30
arekere-lake,70,900.0,900.6,901.5,copernicus-dem-glo30
arekere-lake-2,50,883.3,885.0,886.9,copernicus-dem-glo30
arenur-kere,104,865.0,866.9,868.1,copernicus-dem-glo30
arjunabettahalli-kere,16,905.9,907.2,907.7,copernicus-dem-glo30
arluru-kere-s,69,884.4,886.7,888.5,copernicus-dem-glo30
asirvanam-ashram-1,17,770.8,771.9,772.8,copernicus-dem-glo30
asirvanam-ashram-2,6,767.3,767.9,768.2,copernicus-dem-glo30
attibele-kere,81,878.2,879.8,880.6,copernicus-dem-glo30
attur-kere,205,881.3,890.2,884.9,copernicus-dem-glo30
atturu-kere,308,899.9,902.1,904.5,copernicus-dem-glo30
atturu-kunte,1,924.5,924.5,925.1,copernicus-dem-glo30
avadenahlli-lake,110,880.3,882.7,885.2,copernicus-dem-glo30
avalahali-kunte,4,879.4,880.2,880.2,copernicus-dem-glo30
avalahalli-katte1,7,928.6,930.5,929.8,copernicus-dem-glo30
avalahalli-katte2,7,928.5,930.0,929.9,copernicus-dem-glo30
avalahalli-kere,39,908.6,909.4,910.9,copernicus-dem-glo30
avalahalli-kere-2,53,903.5,905.0,906.0,copernicus-dem-glo30
avalahalli-kere-3,8,892.0,892.6,894.4,copernicus-dem-glo30
avalahalli-kunte-1,3,895.6,896.4,896.6,copernicus-dem-glo30
avalahalli-kunte-2,2,895.7,896.8,897.9,copernicus-dem-glo30
avalahalli-kunte-3,1,887.9,887.9,887.7,copernicus-dem-glo30
avalahalli-kunte-4,2,891.8,892.0,892.2,copernicus-dem-glo30
avalahalli-kunte1,2,863.9,865.3,865.3,copernicus-dem-glo30
avalahalli-kunte2,2,847.4,848.1,847.4,copernicus-dem-glo30
avalahalli-lake,66,879.6,883.8,885.0,copernicus-dem-glo30
avalahalli-lake-2,5,916.5,918.1,918.7,copernicus-dem-glo30
avalakuppe-lake,7,800.5,802.3,803.0,copernicus-dem-glo30
averahalli-kere,53,845.0,847.4,849.3,copernicus-dem-glo30
averhalli-kere,89,919.6,921.8,922.8,copernicus-dem-glo30
ayyana-kere,41,882.6,890.3,890.6,copernicus-dem-glo30
ayyannanapalya-lake,46,933.0,934.2,936.8,copernicus-dem-glo30
b-channasandra-lake,97,892.2,893.3,894.8,copernicus-dem-glo30
b-narayanapura-kere,11,893.2,894.1,894.4,copernicus-dem-glo30
bachchahalli-kere,742,893.7,895.7,897.6,copernicus-dem-glo30
badakukere,15,825.4,827.0,827.8,copernicus-dem-glo30
badamanavartha-kaval-kere,22,754.2,755.3,757.0,copernicus-dem-glo30
badavamavarthe-kavalu-kunte1,1,814.8,814.8,816.9,copernicus-dem-glo30
badavamavarthe-kavalu-kunte2,3,746.1,746.6,746.6,copernicus-dem-glo30
badavamavarthekavalu-hosakere-1,24,791.4,796.0,794.7,copernicus-dem-glo30
badavamavarthekavalu-kunte3,1,774.8,774.8,774.4,copernicus-dem-glo30
badavamavarthekavalu-kunte4,2,777.7,778.0,778.4,copernicus-dem-glo30
badavamavarthekavalu-kunte5,5,772.8,774.0,774.2,copernicus-dem-glo30
badavamavarthekavalu-kunte6,2,782.5,783.5,783.5,copernicus-dem-glo30
badavamavarthekavalu-kunte7,16,803.3,807.0,806.1,copernicus-dem-glo30
bagalagunte-govt-lake,33,873.0,874.2,876.0,copernicus-dem-glo30
bagalagunte-kunte1,1,882.4,882.4,882.5,copernicus-dem-glo30
bagalakunte-kere1,48,874.3,877.7,878.3,copernicus-dem-glo30
bagalakunte-kunte2,7,904.5,906.0,907.8,copernicus-dem-glo30
bagalakunte-kunte3,1,866.5,866.5,865.9,copernicus-dem-glo30
bagaluru-majare-kunte,2,897.6,897.9,898.2,copernicus-dem-glo30
bagur-lake,178,853.5,856.4,858.1,copernicus-dem-glo30
bail-narsapur-lake-1,106,862.0,864.0,864.8,copernicus-dem-glo30
bail-narsapur-lake-2,110,869.2,870.9,871.9,copernicus-dem-glo30
bail-narsapur-lake-3,49,866.1,867.5,867.6,copernicus-dem-glo30
bail-narsapur-lake-4,26,873.4,874.3,874.5,copernicus-dem-glo30
bailakonnenahalli-kunte,4,875.1,875.7,875.7,copernicus-dem-glo30
bainahalli-lake,244,898.0,899.9,901.7,copernicus-dem-glo30
bairasandra-kere,69,757.0,758.6,761.4,copernicus-dem-glo30
baiyappanahalli-kere,113,875.4,877.2,879.4,copernicus-dem-glo30
balagere-kunte1,13,864.5,866.8,866.6,copernicus-dem-glo30
balagere-kunte2,6,879.0,881.0,880.1,copernicus-dem-glo30
balagere-kunte3,2,877.9,877.9,878.0,copernicus-dem-glo30
balchakuppe-lake,15,846.2,847.9,849.1,copernicus-dem-glo30
balchakuppe-lake-1,5,833.3,835.3,835.4,copernicus-dem-glo30
balekere,22,747.2,747.9,749.1,copernicus-dem-glo30
balligere-lake,20,923.2,923.6,923.9,copernicus-dem-glo30
bammasandra-kunte-1,4,901.9,902.6,902.7,copernicus-dem-glo30
banahalli-kere-w,133,878.7,882.2,883.1,copernicus-dem-glo30
banahallli-kere,87,874.0,877.0,877.2,copernicus-dem-glo30
banasavadi-kere-1,84,899.7,903.9,905.5,copernicus-dem-glo30
banasavadi-kunte-4,1,920.4,920.4,920.4,copernicus-dem-glo30
banasavadi-kunte-5,1,923.7,923.7,923.7,copernicus-dem-glo30
banasavadi-kunte-6,3,916.5,916.8,916.5,copernicus-dem-glo30
