empriNo,empriCode,name,nameOther,kind,status,statusText,regime,regimeText,district,taluk,hobli,village,lat,lon,latText,lonText,custodian,extentAcres,extentText,extentApprox,extentBasis,surveyNumbers,surveyNoText,year,yearText,rejuvenated,elevationM,maxDepthM,islands,inletDrains,wasteWeirs,sluiceGates,culverts,checkDams,fenceType,surroundingArea,presentStatus,waterUsage,convertedTo,convertedBy,visitDate,researcherVerified,remarks,waterSampled,waterSampleNote,sewageInflowCumecs,vegetationCover,vegetationType,aquaticFlora,fauna,visitingAnimals,encroachmentDirection,encroachedBy,encroachedFor,encroachmentPct,encroachmentKoliwadText,encroachmentKoliwadAcres,dumpingDirection,dumpingType,sewageInflow,pollutant,weeds,otherIssues,pdf,pdfPage,source,tables,coordProblem,fenceTypeText,presentStatusText,waterUsageText,vegetationCoverText,weedsText,vegetationTypeText,aquaticFloraText,faunaText,visitingAnimalsText,convertedByText,encroachedByText,encroachmentDirectionText,dumpingDirectionText,sewageInflowText,surroundingAreaText,convertedToText,encroachedForText,dumpingTypeText,pollutantText,custodianText,atlasCode,atlasName,atlasMiTankRegNo,atlasYearCreated,atlasYearRejuvenated,atlasPreservationAuthority,atlasTotalExtentText,atlasSourceOfWater,atlasUpstream,atlasDownstream,atlasCatchment,atlasRoads,atlasDrinkingWater,atlasWashing,atlasBathing,atlasLivestock,atlasIrrigation,atlasFishing,atlasCultural,atlasRecreation,atlasOtherUses,atlasAmphibians,atlasReptiles,atlasMammals,atlasDirectPollutants,atlasIndirectPollutants,atlasSewageInflowCumecs,atlasEncroachment,atlasSoilExcavation,atlasStrategies,atlasPage
1,BUBNBKakt_kr1-01,Akkithimmanahalli kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Akkithimmanahalli,12.960833,77.601639,"12° 57' 39.0""","77° 36' 05.9""",BBMP,9.725,9.29,False,,80,80,1905,1905,,907.0,,,,,,,,,TV9 studio,,,"Hockey stadium, road & divya shree teck park",government;private,2016-08-31,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government & Private,,,,,TV9 Studio,"Hockey Stadium, Road & Divya Shree Teck Park",,,,BBMP,BUBNBKakt_kr1-01,Akkithimmanahalli Kere,,≈1905,,BBMP,9.29,,,,,,,,,,,,,,,,,,,,,"Hockey stadium, road & divya shree teck park",,,93
2,BUBNBKboc_kr1-02,Dharmambudy Lake,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bangalore Old City (Kasaba Bangalore),12.977333,77.571444,"12° 58' 38.4""","77° 34' 17.2""",BBMP,28.4,28.16,False,,,No Survey No.,1908,1908,,913.0,,,,,,,,,"Buildings, city railway station",,,Majestic Kempegowda BMTC bus terminal,government,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government,,,,,"Buildings, City Railway station",Majestic Kempegowda BMTC Bus Terminal,,,,BBMP,BUBNBKboc_kr1-02,Dharmambudi Lake,,≈1908,,BBMP,28.16,,,,Urban,,,,,,,,,,,,,,,,,Majestic Kempegowda BMTC bus terminal,,,95
3,BUBNBKboc_kr2-03,Karanji Tank,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bangalore Old City,12.950389,77.572278,"12° 57' 01.4""","77° 34' 20.2""",BBMP,43.25,43.10 (SSLR),False,SSLR,7 (Dodda Bailakhana),7 (Dodda Bailakhana) & No Survey No. (Bangalore Old City),1908,1908,,909.0,,,,,,,,,"Buildings, temple, Kempegowda Hospital",,,"National college ground, buildings, mahila Seva samaja school, Kempegowda Hospital, road & Basavanagudi aquatic center (BBMP eejukola)",government;private,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government & Private,,,,,"Buildings, Temple, Kempegowda Hospital","National College Ground, Buildings, Mahila Seva Samaja school, Kempegowda Hospital, Road & Basavanagudi Aquatic center (BBMP Eejukola)",,,,BBMP,BUBNBKboc_kr2-03,Karanji Tank,,≈1908,,BBMP,43.10,,,,Urban,,,,,,,,,,,,,,,,,"National college ground, buildings, mahilasevasamaja school, Kempegowda Hospital & college, road & Basavanagudi aquatic center (BBMP eejukola)",,,97
4,BUBNBKbcr_kr1-04,City Railway Kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bangalore City Railway Station,12.983944,77.570806,"12° 59' 02.2""","77° 34' 14.9""",BBMP,5.925,5.37,False,,1,In Sy no 1,1904,1904,,900.0,,,,,,,,,"City railway station, vacant land & KG bus stat.",,,"Vacant land, slum, sree rajashree food private ltd. & road",public;private,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Public & Private,,,,,"City Railway Station, Vl. & KG Bus Stat.","Vacant land, Slum, Sree Rajashree Food Pvt. Ltd. & Road",,,,BBMP,BUBNBKbcr_kr1-04,City Railway Kere,,≈1904,,BBMP,5.37,,,,Urban,,,,,,,,,,,,,,,,,"Vacant land, slum, sree rajashree food private ltd. & road",,,99
5,BUBNBKbcr_ku2-05,City Railway Kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bangalore City Railway Station,12.982306,77.570444,"12° 58' 56.3""","77° 34' 13.6""",BBMP,0.325,0.13,False,,1,In Sy no 1,1904,1904,,907.0,,,,,,,,,"City railway station, vacant land & KG bus stat.",,,"Road, church & houses",government;public,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Govt. & Pub.,,,,,"City Railway Station, Vl. & KG Bus Stat.","Road, Church & Houses",,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BUBNBKbgm_ku1-06,Bariga Mudinahalli Kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bariga Mudinahalli,12.977333,77.564722,"12° 58' 38.4""","77° 33' 53.0""",BBMP,0.25,≈0.10,True,,3,In Sy no 3,1904,1904,,906.0,,,,,,,,,"Apartments, temple & buildings",,,Prestige apartment,private,2016-09-03,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,"Apartments, Temple & Buildings",Prestige Apartment,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BUBNBKblk_ku1-07,Bilekalli kunte,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bilekalli,12.996528,77.602278,"12° 59' 47.5""","77° 36' 08.2""",BBMP,1.0,≈1.00,True,,18,18,1905,1905,,929.0,,,,,,,,,Buildings,,,Buildings,private,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Buildings,Buildings,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BUBNBKblk_kr2-08,Bilekalli kere,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Bilekalli,12.995194,77.598333,"12° 59' 42.7""","77° 35' 54.0""",BBMP,10.0,≈10.00,True,,19,19,1905,1905,,930.0,,,,,,,,,"Buildings, college & cantonment railway stat.",,,Bengakuru cantonm. quarters,government,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Government,,,,,"Buildings, College & Cantonment Railway stat.",Bengakuru Cantonm. Quarters,,,,BBMP,BUBNBKblk_kr2-08,Bilekalli Kere,,≈1905,,BBMP,≈15.00,,,,,,,,,,,,,,,,,,,,,,,,101
9,BUBNBKbnm_kr1-09,Binnamangala kere-1,,kere,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Binnamangala,12.984333,77.634917,"12° 59' 03.6""","77° 38' 05.7""",BBMP,32.05,32.02 (SSLR),False,SSLR,99,99,1907,1907,,895.0,,,,,,,,,Inside Defence area,,,Open ground & buildings,Madras Engin. Group (Defence),2016-09-01,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting;atlas,,,,,,,,,,,Madras Engin. Group (Defence),,,,,Inside Defence Area,Open Ground & Buildings,,,,BBMP,BUBNBKbnm_kr1-09,Binnamangala Kere-1,,≈1907,,BBMP,32.02,,,,,,,,,,,,,,,,,,,,,Open ground & buildings,,,103
10,BUBNBKbnm_ku2-10,Binnamangala kunte1,,kunte,disappeared,Disused,disused,Disused,Bengaluru Urban,Bengaluru North,Kasaba,Binnamangala,12.981778,77.640722,"12° 58' 54.4""","77° 38' 26.6""",BBMP,0.625,≈0.25,True,,136,In Sy no 136,1907,1907,,915.0,,,,,,,,,Buildings,,,Indev logistic private ltd.,private,2016-09-17,False,,False,,,,,,,,,,,,,,,,,,,,vol2_north,11,empri-2018,main;waterQuality;issues;nonExisting,,,,,,,,,,,Private,,,,,Buildings,Indev Logistic Pvt. Ltd.,,,,BBMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
