id,records,species,birdRecords,birdSpecies,firstYear,lastYear,recordsLast5Years,topBirds,datasets,ebirdShare,source
abbigere-kere,384,74,384,74,2010,2024,130,Milvus migrans (Black Kite);Tachybaptus ruficollis (Little Grebe);Fulica atra (Eurasian Coot);Corvus macrorhynchos (Large-billed Crow);Eudynamys scolopaceus (Asian Koel);Prinia socialis (Ashy Prinia);Vanellus indicus (Red-wattled Lapwing);Acridotheres tristis (Common Myna);Ardeola grayii (Indian Pond-Heron);Columba livia (Rock Pigeon),EOD – eBird Observation Dataset,1.0,gbif-2026-09
abbigere-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
acchanakere,4259,123,4232,102,2014,2026,2265,Ardeola grayii (Indian Pond-Heron);Tachybaptus ruficollis (Little Grebe);Columba livia (Rock Pigeon);Vanellus indicus (Red-wattled Lapwing);Milvus migrans (Black Kite);Egretta garzetta (Little Egret);Eudynamys scolopaceus (Asian Koel);Phalacrocorax carbo (Great Cormorant);Microcarbo niger (Little Cormorant);Ardea cinerea (Gray Heron),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;SeasonWatch - Tree Phenology Dataset (India),0.985,gbif-2026-09
achanakere,8,8,4,4,2016,2023,4,Circus aeruginosus (Eurasian Marsh-Harrier);Columba livia (Rock Pigeon);Corvus splendens (House Crow);Milvus migrans (Black Kite),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;Pl@ntNet automatically identified occurrences,0.5,gbif-2026-09
adarang-lake,0,0,0,0,,,0,,,,gbif-2026-09
adde-lake,3021,142,3012,134,2021,2026,2882,Psittacula krameri (Rose-ringed Parakeet);Vanellus indicus (Red-wattled Lapwing);Acridotheres tristis (Common Myna);Prinia socialis (Ashy Prinia);Eudynamys scolopaceus (Asian Koel);Psilopogon viridis (White-cheeked Barbet);Corvus macrorhynchos (Large-billed Crow);Motacilla maderaspatensis (White-browed Wagtail);Centropus sinensis (Greater Coucal);Saxicola caprata (Pied Bushchat),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.996,gbif-2026-09
addevishwanathapura-lake,2723,122,2704,109,2020,2025,1829,Acridotheres tristis (Common Myna);Saxicola caprata (Pied Bushchat);Corvus macrorhynchos (Large-billed Crow);Merops orientalis (Green Bee-eater);Psittacula krameri (Rose-ringed Parakeet);Cecropis daurica (Eastern Red-rumped Swallow);Pycnonotus jocosus (Red-whiskered Bulbul);Spilopelia chinensis (Spotted Dove);Vanellus indicus (Red-wattled Lapwing);Dicrurus macrocercus (Black Drongo),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.993,gbif-2026-09
addiganahalli-lake,0,0,0,0,,,0,,,,gbif-2026-09
addigenakere,0,0,0,0,,,0,,,,gbif-2026-09
adesonatti-lake,0,0,0,0,,,0,,,,gbif-2026-09
adiganahalli-kunte,0,0,0,0,,,0,,,,gbif-2026-09
adigondanahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
adikamaranahalli-kunte,0,0,0,0,,,0,,,,gbif-2026-09
adikelallanapalya-kere,0,0,0,0,,,0,,,,gbif-2026-09
adkepalya-lake,0,0,0,0,,,0,,,,gbif-2026-09
adugodi-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
adugodi-kunte2,0,0,0,0,,,0,,,,gbif-2026-09
aduru-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
aduru-kunte2,0,0,0,0,,,0,,,,gbif-2026-09
aduru-kunte3,0,0,0,0,,,0,,,,gbif-2026-09
aduru-kunte4,0,0,0,0,,,0,,,,gbif-2026-09
aduru-lake,0,0,0,0,,,0,,,,gbif-2026-09
adurupalya-lake,0,0,0,0,,,0,,,,gbif-2026-09
agara-kere,13432,253,13342,175,2011,2026,6058,Vanellus indicus (Red-wattled Lapwing);Haliastur indus (Brahminy Kite);Milvus migrans (Black Kite);Acridotheres tristis (Common Myna);Ardeola grayii (Indian Pond-Heron);Pycnonotus jocosus (Red-whiskered Bulbul);Microcarbo niger (Little Cormorant);Spilopelia chinensis (Spotted Dove);Halcyon smyrnensis (White-throated Kingfisher);Prinia socialis (Ashy Prinia),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;India Biodiversity Portal publication grade dataset,0.983,gbif-2026-09
agara-kunte-2,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte-3,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte-4,1,1,0,0,2026,2026,1,,iNaturalist Research-grade Observations,0.0,gbif-2026-09
agara-kunte-4-2,3,3,3,3,2021,2021,0,Eudynamys scolopaceus (Asian Koel);Pycnonotus cafer (Red-vented Bulbul);Pycnonotus jocosus (Red-whiskered Bulbul),EOD – eBird Observation Dataset,1.0,gbif-2026-09
agara-kunte-5,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte-6,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte-7,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte-8,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte1,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte1-2,49,19,48,18,2015,2026,4,Chloropsis jerdoni (Jerdon's Leafbird);Copsychus saularis (Oriental Magpie-Robin);Dendrocitta vagabunda (Rufous Treepie);Dicaeum erythrorhynchos (Pale-billed Flowerpecker);Dinopium benghalense (Black-rumped Flameback);Eudynamys scolopaceus (Asian Koel);Leptocoma zeylonica (Purple-rumped Sunbird);Lonchura striata (White-rumped Munia);Parus cinereus (Cinereous Tit);Prinia socialis (Ashy Prinia),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.98,gbif-2026-09
agara-kunte2,0,0,0,0,,,0,,,,gbif-2026-09
agara-kunte3,0,0,0,0,,,0,,,,gbif-2026-09
agara-lake,10605,204,10481,141,2007,2026,1871,Milvus migrans (Black Kite);Haliastur indus (Brahminy Kite);Ardeola grayii (Indian Pond-Heron);Microcarbo niger (Little Cormorant);Egretta garzetta (Little Egret);Anas poecilorhyncha (Spot-billed duck);Corvus splendens (House Crow);Columba livia (Rock Pigeon);Ardea cinerea (Gray Heron);Ardea purpurea (Purple Heron),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations;India Biodiversity Portal publication grade dataset,0.979,gbif-2026-09
agrahara-kere,1,1,0,0,2023,2023,1,,iNaturalist Research-grade Observations,0.0,gbif-2026-09
agrahara-lake,809,81,809,81,2015,2025,70,Milvus migrans (Black Kite);Egretta garzetta (Little Egret);Pelecanus philippensis (Spot-billed Pelican);Ardea cinerea (Gray Heron);Ardeola grayii (Indian Pond-Heron);Microcarbo niger (Little Cormorant);Prinia socialis (Ashy Prinia);Phalacrocorax carbo (Great Cormorant);Spilopelia chinensis (Spotted Dove);Acridotheres tristis (Common Myna),EOD – eBird Observation Dataset;iNaturalist Research-grade Observations,0.991,gbif-2026-09
aiyanapalya-lake,0,0,0,0,,,0,,,,gbif-2026-09
ajjanahalli-kere,0,0,0,0,,,0,,,,gbif-2026-09
ajjegowdana-katte,0,0,0,0,,,0,,,,gbif-2026-09
