id,speciesKey,scientificName,vernacularName,class,records,iucnCategory,source
abbigere-kere,2482048,Tachybaptus ruficollis,Little Grebe,Aves,14,LC,gbif-2026-09
abbigere-kere,5229167,Milvus migrans,Black Kite,Aves,14,LC,gbif-2026-09
abbigere-kere,2474377,Fulica atra,Eurasian Coot,Aves,12,LC,gbif-2026-09
abbigere-kere,2482487,Corvus macrorhynchos,Large-billed Crow,Aves,10,LC,gbif-2026-09
abbigere-kere,2492752,Prinia socialis,Ashy Prinia,Aves,10,LC,gbif-2026-09
abbigere-kere,2496347,Eudynamys scolopaceus,Asian Koel,Aves,10,LC,gbif-2026-09
abbigere-kere,5229131,Vanellus indicus,Red-wattled Lapwing,Aves,10,LC,gbif-2026-09
abbigere-kere,2474416,Porphyrio porphyrio,Western Swamphen,Aves,9,LC,gbif-2026-09
abbigere-kere,2480773,Plegadis falcinellus,Glossy Ibis,Aves,9,LC,gbif-2026-09
abbigere-kere,2480905,Ardeola grayii,Indian Pond-Heron,Aves,9,LC,gbif-2026-09
abbigere-kere,2489005,Acridotheres tristis,Common Myna,Aves,9,LC,gbif-2026-09
abbigere-kere,2495414,Columba livia,Rock Pigeon,Aves,9,LC,gbif-2026-09
abbigere-kere,5228328,Halcyon smyrnensis,White-throated Kingfisher,Aves,9,LC,gbif-2026-09
abbigere-kere,2480437,Haliastur indus,Brahminy Kite,Aves,8,LC,gbif-2026-09
abbigere-kere,2486131,Pycnonotus cafer,Red-vented Bulbul,Aves,8,LC,gbif-2026-09
abbigere-kere,2486151,Pycnonotus jocosus,Red-whiskered Bulbul,Aves,8,LC,gbif-2026-09
abbigere-kere,2492519,Saxicola caprata,Pied Bushchat,Aves,8,LC,gbif-2026-09
abbigere-kere,2493028,Orthotomus sutorius,Common Tailorbird,Aves,8,LC,gbif-2026-09
abbigere-kere,9797180,Ardea cinerea,Gray Heron,Aves,8,LC,gbif-2026-09
abbigere-kere,2479226,Psittacula krameri,Rose-ringed Parakeet,Aves,7,LC,gbif-2026-09
abbigere-kere,5232005,Centropus sinensis,Greater Coucal,Aves,7,LC,gbif-2026-09
abbigere-kere,6066512,Microcarbo niger,Little Cormorant,Aves,7,LC,gbif-2026-09
abbigere-kere,7340855,Leptocoma zeylonica,Purple-rumped Sunbird,Aves,7,LC,gbif-2026-09
abbigere-kere,9450106,Anas poecilorhyncha,Spot-billed duck,Aves,7,LC,gbif-2026-09
abbigere-kere,2475410,Merops orientalis,Green Bee-eater,Aves,6,LC,gbif-2026-09
abbigere-kere,2480876,Egretta garzetta,Little Egret,Aves,6,LC,gbif-2026-09
abbigere-kere,2480880,Egretta intermedia,Intermediate egret,Aves,6,NE,gbif-2026-09
abbigere-kere,6101224,Spilopelia chinensis,Spotted Dove,Aves,6,LC,gbif-2026-09
abbigere-kere,2474732,Amaurornis phoenicurus,White-breasted Waterhen,Aves,5,LC,gbif-2026-09
abbigere-kere,2480767,Threskiornis melanocephalus,Black-headed Ibis,Aves,5,LC,gbif-2026-09
abbigere-kere,2482499,Corvus splendens,House Crow,Aves,5,LC,gbif-2026-09
abbigere-kere,2493324,Turdoides affinis,Yellow-billed Babbler,Aves,5,LC,gbif-2026-09
abbigere-kere,2493598,Lonchura punctulata,Scaly-breasted Munia,Aves,5,LC,gbif-2026-09
abbigere-kere,2493970,Dicrurus macrocercus,Black Drongo,Aves,5,LC,gbif-2026-09
abbigere-kere,2498404,Dendrocygna javanica,Lesser Whistling-Duck,Aves,5,LC,gbif-2026-09
abbigere-kere,5228199,Gallinula chloropus,Eurasian Moorhen,Aves,5,LC,gbif-2026-09
abbigere-kere,7796884,Psilopogon viridis,White-cheeked Barbet,Aves,5,LC,gbif-2026-09
abbigere-kere,9717283,Cecropis daurica,Eastern Red-rumped Swallow,Aves,5,LC,gbif-2026-09
abbigere-kere,2480934,Ardea purpurea,Purple Heron,Aves,4,LC,gbif-2026-09
abbigere-kere,2486119,Pycnonotus luteolus,White-browed Bulbul,Aves,4,LC,gbif-2026-09
abbigere-kere,2489006,Acridotheres fuscus,Jungle Myna,Aves,4,LC,gbif-2026-09
