histId,edition,year,lat,lon,areaM2,nearestId,nearestDistanceM,alsoOnMaps,sheet,confidence,source
soi-57g16-1914-0001,1914,1914,13.249337,77.979266,42595,hanumantapura-lake,2844,ams-nd44-9-1955-0091,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0003,1914,1914,13.240266,77.994928,873097,hanumantapura-lake,3641,ams-nd44-9-1955-0099;soi-57g16-1974-0004,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0005,1914,1914,13.219816,77.979747,230030,hanumantapura-lake,2655,ams-nd44-9-1955-0125;soi-57g16-1974-0026;soi-57g16-1974-0020,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0010,1914,1914,13.208703,77.998439,5541,arehalli-lake,5097,ams-nd44-9-1955-0144;soi-57g16-1974-0037,soi-57g16-1914,low,soi-57g16-1914
soi-57g16-1914-0011,1914,1914,13.208755,77.994327,94499,arehalli-lake,4410,ams-nd44-9-1955-0144;soi-57g16-1974-0037,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0012,1914,1914,13.206175,77.996785,9605,arehalli-lake,4953,ams-nd44-9-1955-0144;soi-57g16-1974-0037,soi-57g16-1914,medium,soi-57g16-1914
soi-57g16-1914-0013,1914,1914,13.206192,77.96886,164815,arehalli-lake,1616,ams-nd44-9-1955-0148;soi-57g16-1974-0039,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0017,1914,1914,13.188247,77.995507,212314,doddaganahalli-lake,4606,ams-nd44-9-1955-0163;soi-57g16-1974-0052;soi-57g16-1974-0046,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0021,1914,1914,13.160683,77.997128,76501,gundarahalli-lake-2,4864,ams-nd44-9-1955-0196;soi-57g16-1974-0080;soi-57g16-1974-0076,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0022,1914,1914,13.155415,77.996177,84366,marasandhalli-lake-2,5029,ams-nd44-9-1955-0196;soi-57g16-1974-0080,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0023,1914,1914,13.146744,77.982663,131888,marasandhalli-lake-2,3852,ams-nd44-9-1955-0209;soi-57g16-1974-0087,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0025,1914,1914,13.136344,77.996255,62101,ramasandra-lake-1,4983,ams-nd44-9-1955-0225;soi-57g16-1974-0097,soi-57g16-1914,high,soi-57g16-1914
soi-57g16-1914-0038,1914,1914,13.068758,77.949272,5406,sitanayakanahalli-lake,2266,ams-nd44-9-1955-0291,soi-57g16-1914,low,soi-57g16-1914
soi-57g8-1914-0017,1914,1914,13.13935,77.490381,27070,hesaraghatta-lake,153,ams-nd43-12-1955-0248;soi-57g8-1974-0091,soi-57g8-1914,high,soi-57g8-1914
soi-57g8-1914-0024,1914,1914,13.002198,77.423921,5823,unnamed-tank-near-brundavana-layout,475,ams-nd43-12-1955-0378,soi-57g8-1914,low,soi-57g8-1914
soi-57h10-1915-0020,1914,1915,12.656867,77.670025,6774,unnamed-tank-near-gumalapura,868,soi-57h10-1973-0058,soi-57h10-1915,low,soi-57h10-1915
soi-57h10-1915-0021,1914,1915,12.634567,77.675739,8779,unnamed-tank-near-soluru-2,1813,soi-57h10-1973-0069,soi-57h10-1915,medium,soi-57h10-1915
soi-57h10-1915-0022,1914,1915,12.629735,77.72626,6089,unnamed-tank-near-uliveeranapalli,3379,soi-57h10-1973-0071,soi-57h10-1915,low,soi-57h10-1915
soi-57h10-1915-0023,1914,1915,12.628614,77.656551,8358,unnamed-tank-near-soluru-2,3590,soi-57h10-1973-0072,soi-57h10-1915,medium,soi-57h10-1915
soi-57h10-1915-0024,1914,1915,12.622585,77.680852,24665,unnamed-tank-near-soluru-2,2953,ams-nd44-13-1955-0158;soi-57h10-1973-0073,soi-57h10-1915,high,soi-57h10-1915
soi-57h10-1915-0025,1914,1915,12.62035,77.712163,48714,menasiganahalli-lake,4246,ams-nd44-13-1955-0159;soi-57h10-1973-0074,soi-57h10-1915,high,soi-57h10-1915
soi-57h10-1915-0026,1914,1915,12.619066,77.700703,6060,unnamed-tank-near-soluru-2,3840,,soi-57h10-1915,low,soi-57h10-1915
soi-57h5-1914-0005,1914,1914,12.971146,77.339721,5780,unnamed-tank-near-naganahalli,524,ams-nd43-16-1955-0006;soi-57h5-1973-0010,soi-57h5-1914,low,soi-57h5-1914
soi-57h5-1914-0006,1914,1914,12.966169,77.340232,5518,unnamed-tank-near-naganahalli,767,ams-nd43-16-1955-0006;soi-57h5-1973-0010,soi-57h5-1914,low,soi-57h5-1914
soi-57h5-1914-0008,1914,1914,12.953094,77.334717,7130,kempaguddanahalli-lake,654,,soi-57h5-1914,low,soi-57h5-1914
soi-57h5-1914-0021,1914,1914,12.845041,77.419461,57223,hejjala-e,1319,soi-57h5-1973-0072,soi-57h5-1914,high,soi-57h5-1914
soi-57h5-1914-0025,1914,1914,12.833805,77.362338,9657,unnamed-tank-near-ketaganahalli,3011,,soi-57h5-1914,medium,soi-57h5-1914
soi-57h5-1914-0027,1914,1914,12.826549,77.409365,28355,hosadoddi-lake-1,828,soi-57h5-1973-0080,soi-57h5-1914,high,soi-57h5-1914
soi-57h5-1914-0030,1914,1914,12.817384,77.390561,14060,unnamed-tank-near-ketaganahalli,395,soi-57h5-1973-0085,soi-57h5-1914,medium,soi-57h5-1914
soi-57h5-1914-0031,1914,1914,12.817587,77.406175,38885,hosadoddi-lake-1,843,soi-57h5-1973-0086,soi-57h5-1914,high,soi-57h5-1914
soi-57h5-1914-0032,1914,1914,12.808744,77.361076,11472,unnamed-tank-near-kenchanakuppe,864,,soi-57h5-1914,medium,soi-57h5-1914
soi-57h5-1914-0034,1914,1914,12.798449,77.373765,6361,unnamed-tank-near-kenchanakuppe,892,,soi-57h5-1914,low,soi-57h5-1914
soi-57h5-1914-0035,1914,1914,12.793497,77.427746,21268,unnamed-tank-near-chikkakuntanahalli,1856,,soi-57h5-1914,high,soi-57h5-1914
soi-57h5-1914-0036,1914,1914,12.793253,77.375995,8540,unnamed-tank-near-kenchanakuppe,1270,,soi-57h5-1914,medium,soi-57h5-1914
soi-57h5-1914-0039,1914,1914,12.782373,77.435211,7046,unnamed-tank-near-chikkakuntanahalli,1326,soi-57h5-1973-0104,soi-57h5-1914,low,soi-57h5-1914
soi-57h5-1914-0042,1914,1914,12.777982,77.443825,109660,unnamed-tank-near-kodipalya,692,ams-nd43-16-1955-0027;soi-57h5-1973-0100,soi-57h5-1914,high,soi-57h5-1914
