id,onMap1914,overlapPct1914,historicArea1914M2,source1914,onMap1927,overlapPct1927,historicArea1927M2,source1927,onMap1945,overlapPct1945,historicArea1945M2,source1945,onMap1955,overlapPct1955,historicArea1955M2,source1955,onMap1975,overlapPct1975,historicArea1975M2,source1975,source
abbigere-kere,,,,,True,81.9,171805,soi-57g12-1927,,,,,True,52.2,226531,ams-nd44-9-1955,False,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
abbigere-kunte1,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
acchanakere,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,True,47.3,25874,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
achanakere,,,,,,,,,True,91.9,37413,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,False,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
adarang-lake,,,,,,,,,,,,,,0.0,0,ams-nd43-12-1955,False,0.0,0,soi-57g4-1973,ams-nd43-12-1955;soi-57g4-1973
adde-lake,,,,,True,52.9,76314,soi-57g12-1927,,,,,True,97.2,996026,ams-nd44-9-1955,True,57.0,66051,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
addevishwanathapura-lake,,,,,True,72.2,192949,soi-57g12-1927,,,,,True,78.8,367628,ams-nd44-9-1955,True,68.6,174366,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
addiganahalli-lake,,,,,False,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
addigenakere,,,,,,,,,True,63.3,49215,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,False,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
adesonatti-lake,,,,,,,,,True,68.1,95752,soi-57h9-1945,False,0.0,0,ams-nd44-13-1955,True,55.5,56113,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
adiganahalli-kunte,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
adigondanahalli-kere,,,,,,,,,,,,,,0.0,0,ams-nd44-13-1955,True,39.4,16809,soi-57h13-1973,ams-nd44-13-1955;soi-57h13-1973
adikamaranahalli-kunte,False,0.0,0,soi-57g8-1914,,,,,,,,,,0.0,0,ams-nd43-12-1955,,0.0,0,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
adikelallanapalya-kere,False,0.0,0,soi-57g8-1914,,,,,,,,,,0.0,0,ams-nd43-12-1955,False,0.0,0,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
adkepalya-lake,,,,,,,,,,,,,True,6.4,82245,ams-nd43-12-1955,False,0.0,0,soi-57g7-1975,ams-nd43-12-1955;soi-57g7-1975
adugodi-kunte1,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
adugodi-kunte2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
aduru-kunte1,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aduru-kunte2,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aduru-kunte3,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aduru-kunte4,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aduru-lake,True,66.7,28551,soi-57h10-1915,,,,,,,,,,0.0,0,ams-nd44-13-1955,True,70.3,34038,soi-57h10-1973,ams-nd44-13-1955;soi-57h10-1915;soi-57h10-1973
adurupalya-lake,False,0.0,0,soi-57h10-1915,,,,,,,,,,0.0,0,ams-nd44-13-1955,False,0.0,0,soi-57h10-1973,ams-nd44-13-1955;soi-57h10-1915;soi-57h10-1973
agara-kere,False,0.0,0,soi-57h5-1914,,,,,,,,,False,0.0,0,ams-nd43-16-1955,True,17.1,28169,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
agara-kunte-2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-kunte-3,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-kunte-4,,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
agara-kunte-4-2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-kunte-5,,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
agara-kunte-6,False,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
agara-kunte-7,,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
agara-kunte-8,,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
agara-kunte1,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-kunte1-2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-kunte2,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-kunte3,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agara-lake,,,,,,,,,True,5.6,65393,soi-57h9-1945,True,90.3,470852,ams-nd44-13-1955,True,67.9,253094,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agrahara-kere,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,False,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
agrahara-lake,,,,,True,52.8,30011,soi-57g12-1927,,,,,True,99.8,133958,ams-nd44-9-1955,False,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aiyanapalya-lake,True,56.9,19445,soi-57h10-1915,,,,,,,,,,0.0,0,ams-nd44-13-1955,True,70.6,24873,soi-57h10-1973,ams-nd44-13-1955;soi-57h10-1915;soi-57h10-1973
ajjanahalli-kere,False,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,False,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
ajjegowdana-katte,False,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,False,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
akkithimmanahalli-kere,,,,,,,,,,0.0,0,soi-57h9-1945,,,,,False,0.0,0,soi-57h9-1980,soi-57h9-1945;soi-57h9-1980
alagondahalli-lake,False,0.0,0,soi-57g16-1914,,,,,,,,,False,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g16-1974,ams-nd44-9-1955;soi-57g16-1914;soi-57g16-1974
alahalli-kere,,,,,,,,,True,55.6,39431,soi-57h9-1945,False,0.0,0,ams-nd44-13-1955,True,23.8,14221,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
alijenahalli-kere,,,,,,,,,,,,,,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g11-1975,ams-nd44-9-1955;soi-57g11-1975
allasandra-lake,,,,,True,60.8,92547,soi-57g12-1927,,,,,True,60.7,144621,ams-nd44-9-1955,True,6.0,8847,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
alur-kere,True,15.4,48185,soi-57g8-1914,,,,,,,,,True,81.9,345219,ams-nd43-12-1955,True,61.3,171176,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
aluru-lake1,,,,,,,,,,,,,,0.0,0,ams-nd43-12-1955,True,18.4,8778,soi-57g4-1973,ams-nd43-12-1955;soi-57g4-1973
amalgunte-lake,,,,,,,,,,,,,,0.0,0,ams-nd43-12-1955,True,53.3,43343,soi-57g7-1975,ams-nd43-12-1955;soi-57g7-1975
amanimulli-kere,,,,,True,77.0,353405,soi-57g12-1927,,,,,True,81.0,449649,ams-nd44-9-1955,True,57.6,254333,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
ambalagere-n,False,0.0,0,soi-57g8-1914,,,,,,,,,True,47.7,54581,ams-nd43-12-1955,True,57.2,49096,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
ambalagere-w,False,0.0,0,soi-57g8-1914,,,,,,,,,True,60.8,58123,ams-nd43-12-1955,False,0.0,0,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
ambalipura-kelagina-kere,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,False,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
ambalipura-kunte1,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,,0.0,0,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
ampapura-lake,False,0.0,0,soi-57h5-1914,,,,,,,,,,0.0,0,ams-nd43-16-1955,,0.0,0,soi-57h5-1973,ams-nd43-16-1955;soi-57h5-1914;soi-57h5-1973
amruthahalli-lake,,,,,True,91.0,121829,soi-57g12-1927,,,,,True,78.3,89054,ams-nd44-9-1955,True,58.0,47689,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
amruthalli-kunte1,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
amrutnagar-lake,,,,,,,,,True,51.4,35974,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,True,47.3,19070,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
anagalapura-kunte1,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
anagalapura-kunte2,,,,,False,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
anantapura-kere,False,0.0,0,soi-57g8-1914,,,,,,,,,,0.0,0,ams-nd43-12-1955,False,0.0,0,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
ananthapura-kunte,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
ananthapura-kunte1,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
ananthapura-kunte2,,,,,False,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
andhrahalli-lake,False,0.0,0,soi-57g8-1914,,,,,,,,,,0.0,0,ams-nd43-12-1955,True,49.0,26879,soi-57g8-1974,ams-nd43-12-1955;soi-57g8-1914;soi-57g8-1974
annamma-kere,,,,,,,,,,0.0,0,soi-57h9-1945,,0.0,0,ams-nd44-13-1955,True,78.7,18474,soi-57h9-1980,ams-nd44-13-1955;soi-57h9-1945;soi-57h9-1980
antarahalli-kere,,,,,,,,,,,,,False,0.0,0,ams-nd44-9-1955,True,54.0,64412,soi-57g11-1975,ams-nd44-9-1955;soi-57g11-1975
anurah-katte-newly-created,,,,,,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aradeshanahalli-kere,,,,,True,66.3,706651,soi-57g12-1927,,,,,True,94.3,1355884,ams-nd44-9-1955,True,76.1,787070,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aradeshanahalli-kere-2,,,,,False,0.0,0,soi-57g12-1927,,,,,False,0.0,0,ams-nd44-9-1955,True,34.2,82792,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aralakunte,,,,,False,0.0,0,soi-57g12-1927,,,,,,0.0,0,ams-nd44-9-1955,False,0.0,0,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
aralamallige-kere,,,,,,,,,,,,,True,77.5,2876907,ams-nd44-9-1955,True,86.4,1678399,soi-57g11-1975,ams-nd44-9-1955;soi-57g11-1975
arasanahalli-lake,,,,,True,36.1,71809,soi-57g12-1927,,,,,True,55.5,126105,ams-nd44-9-1955,True,54.3,103751,soi-57g12-1978,ams-nd44-9-1955;soi-57g12-1927;soi-57g12-1978
