id,observations,researchGrade,species,observers,lastObserved,topTaxa,source
abbigere-kere,3,1,2,1,2025-11-28,Cyrtophora jabalpurensis;Leptotes plinius (Zebra Blue),inaturalist-2026-09
abbigere-kunte1,0,0,0,0,,,inaturalist-2026-09
acchanakere,366,305,102,17,2026-04-14,Ardea cinerea (Grey Heron);Mycteria leucocephala (Painted Stork);Nycticorax nycticorax (Black-crowned Night Heron);Ardeola grayii (Indian Pond-Heron);Phalacrocorax carbo (Great Cormorant);Vanellus indicus (Red-wattled Lapwing);Anas poecilorhyncha (Indian Spot-billed Duck);Amaurornis phoenicurus (White-breasted Waterhen);Egretta garzetta (Little Egret);Fulica atra (Eurasian Coot),inaturalist-2026-09
achanakere,7,4,5,4,2023-11-24,Duranta erecta (Skyflower);Lissachatina fulica (African Giant Snail);Papilio polytes (Common Mormon Swallowtail);Spathodea campanulata (African tulip tree);Syzygium cumini (Java plum),inaturalist-2026-09
adarang-lake,1,0,0,1,2025-04-12,,inaturalist-2026-09
adde-lake,34,11,12,1,2026-06-27,Myriochila undulata (Rippled Tiger Beetle);Agnara fragilis;Amphiesma stolatum (Buff Striped Keelback);Apis cerana (Asian Honey Bee);Brachythemis contaminata (Ditch Jewel);Cylindera belli;Diplacodes trivialis (Chalky Percher);Episomus turritus;Ischnura senegalensis (Common Bluetail);Plegadis falcinellus (Glossy Ibis),inaturalist-2026-09
addevishwanathapura-lake,65,19,23,2,2025-12-23,Myrmicaria brunnea (Brown Droptail Ant);Aphaenogaster beccarii;Camponotus parius;Camponotus sericeus (Silky Sugar ant);Wadicosa fidelis;Aloa lactinea (Red Costate Tiger Moth);Amata cyssea (Seven-spotted Handmaiden Moth);Boltonopone sulcata;Camponotus compressus (Indian Black Ant);Cheilomenes sexmaculata (Six-spotted Zigzag Ladybird),inaturalist-2026-09
addiganahalli-lake,0,0,0,0,,,inaturalist-2026-09
addigenakere,0,0,0,0,,,inaturalist-2026-09
adesonatti-lake,0,0,0,0,,,inaturalist-2026-09
adiganahalli-kunte,0,0,0,0,,,inaturalist-2026-09
adigondanahalli-kere,0,0,0,0,,,inaturalist-2026-09
adikamaranahalli-kunte,0,0,0,0,,,inaturalist-2026-09
adikelallanapalya-kere,0,0,0,0,,,inaturalist-2026-09
adkepalya-lake,0,0,0,0,,,inaturalist-2026-09
adugodi-kunte1,0,0,0,0,,,inaturalist-2026-09
adugodi-kunte2,0,0,0,0,,,inaturalist-2026-09
aduru-kunte1,0,0,0,0,,,inaturalist-2026-09
aduru-kunte2,0,0,0,0,,,inaturalist-2026-09
aduru-kunte3,0,0,0,0,,,inaturalist-2026-09
aduru-kunte4,0,0,0,0,,,inaturalist-2026-09
aduru-lake,0,0,0,0,,,inaturalist-2026-09
adurupalya-lake,0,0,0,0,,,inaturalist-2026-09
agara-kere,346,247,186,26,2026-08-01,Actitis hypoleucos (Common Sandpiper);Ardea cinerea (Grey Heron);Motacilla maderaspatensis (White-browed Wagtail);Alcedo atthis (Common Kingfisher);Brachythemis contaminata (Ditch Jewel);Dicrurus leucophaeus (Ashy Drongo);Haliastur indus (Brahminy Kite);Merops orientalis (Asian Green Bee-eater);Parus cinereus (Asian Tit);Pernis ptilorhynchus (Oriental Honey-buzzard),inaturalist-2026-09
agara-kunte-2,0,0,0,0,,,inaturalist-2026-09
agara-kunte-3,0,0,0,0,,,inaturalist-2026-09
agara-kunte-4,0,0,0,0,,,inaturalist-2026-09
agara-kunte-4-2,23,7,9,4,2026-05-01,Chrysomya megacephala (Oriental Latrine Fly);Dacrymyces spathularia (Fan-shaped Jelly Fungus);Euploea core (Common Crow);Maruca vitrata (Mung Bean Moth);Melanitis leda (Common Evening Brown);Mitragyna parvifolia (True Kadamb);Pluteus longistriatus (Pleated Pluteus);Syntomoides imaon (Handmaiden moth);Talicada nyseus (Red Pierrot),inaturalist-2026-09
agara-kunte-5,0,0,0,0,,,inaturalist-2026-09
agara-kunte-6,0,0,0,0,,,inaturalist-2026-09
agara-kunte-7,0,0,0,0,,,inaturalist-2026-09
agara-kunte-8,0,0,0,0,,,inaturalist-2026-09
agara-kunte1,3,2,2,2,2023-08-26,Psilopogon haemacephalus (Coppersmith Barbet);Sagra femorata (Frog-legged leaf beetle),inaturalist-2026-09
agara-kunte1-2,2,1,2,2,2026-06-19,Amaranthus blitum (purple amaranth);Junonia lemonias (Lemon Pansy),inaturalist-2026-09
agara-kunte2,6,2,3,2,2023-07-20,Helopeltis antonii;Psilopogon haemacephalus (Coppersmith Barbet);Sphadasmus brahminus,inaturalist-2026-09
agara-kunte3,5,1,1,3,2025-06-09,Duttaphrynus melanostictus (Asian Common Toad),inaturalist-2026-09
agara-lake,410,278,143,51,2026-08-29,Ardeola grayii (Indian Pond-Heron);Haliastur indus (Brahminy Kite);Microcarbo niger (Little Cormorant);Ceriagrion coromandelianum (Coromandel Marsh Dart);Porphyrio poliocephalus (Gray-headed Swamphen);Brachythemis contaminata (Ditch Jewel);Anas poecilorhyncha (Indian Spot-billed Duck);Ischnura senegalensis (Common Bluetail);Ardea cinerea (Grey Heron);Milvus migrans (Black Kite),inaturalist-2026-09
agrahara-kere,0,0,0,0,,,inaturalist-2026-09
agrahara-lake,7,7,6,2,2025-02-27,Egretta garzetta (Little Egret);Ardea cinerea (Grey Heron);Columba livia (Rock Pigeon);Himantopus himantopus (Black-winged Stilt);Motacilla cinerea (Grey Wagtail);Motacilla maderaspatensis (White-browed Wagtail),inaturalist-2026-09
aiyanapalya-lake,0,0,0,0,,,inaturalist-2026-09
ajjanahalli-kere,0,0,0,0,,,inaturalist-2026-09
ajjegowdana-katte,0,0,0,0,,,inaturalist-2026-09
akkithimmanahalli-kere,6,5,6,4,2026-07-09,Apis cerana (Asian Honey Bee);Euthalia aconthea (Common Baron);Mansoa alliacea (Garlic Vine);Milvus migrans (Black Kite);Rivina humilis (pigeonberry);Samanea saman (Monkey pod tree),inaturalist-2026-09
alagondahalli-lake,0,0,0,0,,,inaturalist-2026-09
alahalli-kere,103,70,52,7,2026-03-14,Ardea cinerea (Grey Heron);Phalacrocorax carbo (Great Cormorant);Danaus chrysippus (Plain Tiger Butterfly);Saxicola caprata (Pied Bushchat);Vanellus indicus (Red-wattled Lapwing);Ardeola grayii (Indian Pond-Heron);Athene brama (Spotted Owlet);Diplacodes trivialis (Chalky Percher);Fulica atra (Eurasian Coot);Haliastur indus (Brahminy Kite),inaturalist-2026-09
alijenahalli-kere,0,0,0,0,,,inaturalist-2026-09
allasandra-lake,83,42,27,14,2026-08-13,Calyptocarpus vialis (straggler daisy);Ardea cinerea (Grey Heron);Fowlea piscator (Chequered Keelback);Sphagneticola trilobata (Trailing Daisy);Erigeron canadensis (horseweed);Ricinus communis (castor bean);Anas platyrhynchos (Mallard);Ardeola grayii (Indian Pond-Heron);Camponotus compressus (Indian Black Ant);Himantopus himantopus (Black-winged Stilt),inaturalist-2026-09
alur-kere,2,2,2,1,2025-07-20,Coracias benghalensis (Indian Roller);Psittacula krameri (Rose-ringed Parakeet),inaturalist-2026-09
aluru-lake1,0,0,0,0,,,inaturalist-2026-09
amalgunte-lake,0,0,0,0,,,inaturalist-2026-09
amanimulli-kere,0,0,0,0,,,inaturalist-2026-09
ambalagere-n,0,0,0,0,,,inaturalist-2026-09
ambalagere-w,0,0,0,0,,,inaturalist-2026-09
ambalipura-kelagina-kere,348,235,103,17,2026-08-19,Halcyon smyrnensis (White-throated Kingfisher);Anas poecilorhyncha (Indian Spot-billed Duck);Haliastur indus (Brahminy Kite);Psilopogon viridis (White-cheeked Barbet);Ardea cinerea (Grey Heron);Porphyrio poliocephalus (Gray-headed Swamphen);Tachybaptus ruficollis (Little Grebe);Egretta garzetta (Little Egret);Microcarbo niger (Little Cormorant);Alcedo atthis (Common Kingfisher),inaturalist-2026-09
ambalipura-kunte1,0,0,0,0,,,inaturalist-2026-09
ampapura-lake,0,0,0,0,,,inaturalist-2026-09
amruthahalli-lake,7,6,6,3,2026-08-21,Porphyrio poliocephalus (Gray-headed Swamphen);Ardea cinerea (Grey Heron);Ardeola grayii (Indian Pond-Heron);Colocasia esculenta (Taro);Egretta garzetta (Little Egret);Mycteria leucocephala (Painted Stork),inaturalist-2026-09
amruthalli-kunte1,0,0,0,0,,,inaturalist-2026-09
amrutnagar-lake,5,0,1,1,2026-05-14,Curcuma aromatica (wild turmeric),inaturalist-2026-09
anagalapura-kunte1,0,0,0,0,,,inaturalist-2026-09
anagalapura-kunte2,0,0,0,0,,,inaturalist-2026-09
anantapura-kere,0,0,0,0,,,inaturalist-2026-09
ananthapura-kunte,0,0,0,0,,,inaturalist-2026-09
ananthapura-kunte1,0,0,0,0,,,inaturalist-2026-09
ananthapura-kunte2,0,0,0,0,,,inaturalist-2026-09
andhrahalli-lake,23,23,15,1,2021-02-14,Metopidius indicus (Bronze-winged Jacana);Spatula clypeata (Northern Shoveler);Ardeola grayii (Indian Pond-Heron);Fulica atra (Eurasian Coot);Porphyrio poliocephalus (Gray-headed Swamphen);Tachybaptus ruficollis (Little Grebe);Actitis hypoleucos (Common Sandpiper);Anas poecilorhyncha (Indian Spot-billed Duck);Cinnyris asiaticus (Purple Sunbird);Eudynamys scolopaceus (Asian Koel),inaturalist-2026-09
annamma-kere,1,1,1,1,2023-04-25,Microcarbo niger (Little Cormorant),inaturalist-2026-09
antarahalli-kere,0,0,0,0,,,inaturalist-2026-09
anurah-katte-newly-created,0,0,0,0,,,inaturalist-2026-09
aradeshanahalli-kere,32,10,19,4,2025-12-07,Zizina otis (Lesser Grass Blue);Minervarya agricola (Common Paddy Field Frog);Oreochromis niloticus (Nile Tilapia);Psammophilus dorsalis (Rock Dragon);Abutilon hirtum (Florida Keys Indian mallow);Abutilon indicum (Indian Mallow);Agrilus acutus (Spiral borer);Altica birmanensis;Euodice malabarica (Indian Silverbill);Freyeria putli (Jewelled Grass-blue),inaturalist-2026-09
aradeshanahalli-kere-2,24,23,18,2,2026-01-12,Saxicola caprata (Pied Bushchat);Alcedo atthis (Common Kingfisher);Ardea intermedia (Medium Egret);Tringa glareola (Wood Sandpiper);Actitis hypoleucos (Common Sandpiper);Amaurornis phoenicurus (White-breasted Waterhen);Ceryle rudis (Pied Kingfisher);Dicaeum erythrorhynchos (Pale-billed Flowerpecker);Dicrurus macrocercus (Black Drongo);Elanus caeruleus (Black-winged Kite),inaturalist-2026-09
aralakunte,0,0,0,0,,,inaturalist-2026-09
aralamallige-kere,0,0,0,0,,,inaturalist-2026-09
arasanahalli-lake,0,0,0,0,,,inaturalist-2026-09
arebommanahalli-2r,0,0,0,0,,,inaturalist-2026-09
arebommanahalli-low,0,0,0,0,,,inaturalist-2026-09
arebommanahalli-up-kere,0,0,0,0,,,inaturalist-2026-09
arehalii-kere,0,0,0,0,,,inaturalist-2026-09
arehalli-kere,0,0,0,0,,,inaturalist-2026-09
arehalli-kunte,0,0,0,0,,,inaturalist-2026-09
arehalli-lake,0,0,0,0,,,inaturalist-2026-09
arehalli-lake-2,0,0,0,0,,,inaturalist-2026-09
