key,year,pixels,waterPct,treesPct,floodedVegetationPct,cropsPct,builtPct,bareGroundPct,rangelandPct,lowConfidence,source
abbigere-kere,2017,1305,22.7,0.0,0.8,20.5,43.8,0.0,12.2,false,io-lulc-2017
abbigere-kunte1,2017,15,0.0,0.0,0.0,0.0,100.0,0.0,0.0,true,io-lulc-2017
acchanakere,2017,474,63.1,0.0,0.0,0.0,36.9,0.0,0.0,false,io-lulc-2017
achanakere,2017,117,0.0,0.0,0.0,0.0,100.0,0.0,0.0,false,io-lulc-2017
adarang-lake,2017,253,17.0,51.4,0.0,0.0,0.0,0.0,31.6,false,io-lulc-2017
adde-lake,2017,1043,0.0,0.0,0.0,98.8,1.2,0.0,0.0,false,io-lulc-2017
addevishwanathapura-lake,2017,2331,0.0,0.0,0.0,81.3,13.6,0.3,4.8,false,io-lulc-2017
addiganahalli-lake,2017,95,0.0,0.0,0.0,100.0,0.0,0.0,0.0,false,io-lulc-2017
addigenakere,2017,144,0.0,0.0,0.0,96.5,0.0,0.0,3.5,false,io-lulc-2017
adesonatti-lake,2017,750,0.0,0.0,0.0,64.9,3.9,0.0,31.2,false,io-lulc-2017
adiganahalli-kunte,2017,32,0.0,0.0,0.0,0.0,100.0,0.0,0.0,true,io-lulc-2017
adigondanahalli-kere,2017,419,0.0,0.0,0.0,100.0,0.0,0.0,0.0,false,io-lulc-2017
adikamaranahalli-kunte,2017,77,0.0,0.0,0.0,0.0,100.0,0.0,0.0,true,io-lulc-2017
adikelallanapalya-kere,2017,470,0.0,0.0,0.0,100.0,0.0,0.0,0.0,false,io-lulc-2017
adkepalya-lake,2017,234,0.0,0.0,0.0,97.0,0.0,0.0,3.0,false,io-lulc-2017
adugodi-kunte1,2017,9,0.0,0.0,0.0,0.0,100.0,0.0,0.0,true,io-lulc-2017
adugodi-kunte2,2017,37,0.0,0.0,0.0,0.0,100.0,0.0,0.0,true,io-lulc-2017
aduru-kunte1,2017,9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
aduru-kunte2,2017,8,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
aduru-kunte3,2017,19,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
aduru-kunte4,2017,21,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
aduru-lake,2017,238,0.0,0.0,0.0,100.0,0.0,0.0,0.0,false,io-lulc-2017
adurupalya-lake,2017,181,0.0,0.0,0.0,87.8,12.2,0.0,0.0,false,io-lulc-2017
agara-kere,2017,1615,71.5,0.0,0.0,0.7,0.0,0.0,27.8,false,io-lulc-2017
agara-kunte-2,2017,22,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
agara-kunte-3,2017,16,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
agara-kunte-4,2017,29,0.0,0.0,0.0,41.4,0.0,0.0,58.6,true,io-lulc-2017
agara-kunte-4-2,2017,35,0.0,0.0,0.0,0.0,100.0,0.0,0.0,true,io-lulc-2017
agara-kunte-5,2017,11,0.0,0.0,0.0,100.0,0.0,0.0,0.0,false,io-lulc-2017
agara-kunte-6,2017,62,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
agara-kunte-7,2017,9,0.0,0.0,0.0,100.0,0.0,0.0,0.0,true,io-lulc-2017
