key,pixelCount,lowConfidence,occurrenceMean,occurrenceMedian,pctEverWater,pctNeverWater,pctPermanent,pctSeasonal,pctSeasonalToPermanent,pctPermanentToSeasonal,pctLostPermanent,pctLostSeasonal,pctNewPermanent,pctNewSeasonal,pctEphemeral,seasonalityMeanMonths,recurrenceMean,changeMean,firstYearWithWater,lastYearWithWater,source
abbigere-kere,176,False,3.9,4.0,61.4,38.6,0.0,4.0,0.0,0.0,0.0,0.6,0.0,50.6,6.2,0.7,39.2,-63.7,1989,2010,jrc-gsw-1-5
abbigere-kunte1,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
acchanakere,63,False,17.2,7.0,54.0,46.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,25.4,4.8,2.4,88.1,66.8,1988,2021,jrc-gsw-1-5
achanakere,17,False,5.5,0.0,35.3,64.7,0.0,11.8,0.0,0.0,0.0,0.0,5.9,17.6,0.0,1.8,56.0,21.7,1988,2021,jrc-gsw-1-5
adarang-lake,36,False,6.6,0.0,16.7,83.3,2.8,8.3,0.0,0.0,0.0,0.0,2.8,2.8,0.0,1.2,84.2,48.5,1988,2021,jrc-gsw-1-5
adde-lake,143,False,6.9,0.0,49.0,51.0,0.0,39.9,0.0,0.0,0.0,5.6,0.0,2.8,0.7,1.4,41.1,34.1,1988,2021,jrc-gsw-1-5
addevishwanathapura-lake,315,False,1.4,0.0,29.5,70.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,3.2,19.0,0.0,50.9,7.5,1992,2015,jrc-gsw-1-5
addiganahalli-lake,11,True,14.2,9.0,54.5,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,18.2,1.3,76.2,76.7,1993,2021,jrc-gsw-1-5
addigenakere,17,False,4.0,3.0,52.9,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.9,0.0,91.3,100.0,2004,2021,jrc-gsw-1-5
adesonatti-lake,97,False,4.5,0.0,45.4,54.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,33.0,0.0,56.0,58.8,1992,2020,jrc-gsw-1-5
adiganahalli-kunte,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
adigondanahalli-kere,55,False,8.7,1.0,52.7,47.3,0.0,25.5,0.0,0.0,0.0,1.8,0.0,25.5,0.0,1.1,76.2,59.5,1988,2021,jrc-gsw-1-5
adikamaranahalli-kunte,10,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
adikelallanapalya-kere,61,False,17.3,4.0,54.1,45.9,0.0,23.0,0.0,3.3,0.0,8.2,0.0,13.1,6.6,1.0,68.8,-10.4,1988,2021,jrc-gsw-1-5
adkepalya-lake,31,False,18.1,7.0,64.5,35.5,0.0,29.0,6.5,0.0,0.0,6.5,0.0,19.4,3.2,2.6,75.6,36.7,1988,2021,jrc-gsw-1-5
adugodi-kunte1,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
adugodi-kunte2,6,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
aduru-kunte1,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
aduru-kunte2,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
aduru-kunte3,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
aduru-kunte4,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
aduru-lake,33,False,8.0,0.0,48.5,51.5,0.0,9.1,0.0,0.0,0.0,30.3,0.0,0.0,6.1,0.1,64.9,-30.7,1988,2021,jrc-gsw-1-5
adurupalya-lake,21,False,9.2,5.0,71.4,28.6,0.0,19.0,0.0,0.0,4.8,47.6,0.0,0.0,0.0,1.0,46.8,-48.8,1988,2021,jrc-gsw-1-5
agara-kere,213,False,53.0,59.0,92.0,8.0,0.0,5.6,0.5,22.5,0.0,0.5,1.4,44.6,16.9,5.9,85.0,25.6,1988,2021,jrc-gsw-1-5
agara-kunte-2,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-3,2,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-4,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-4-2,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-5,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-6,10,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-7,1,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte-8,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte1,8,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte1-2,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte2,4,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-kunte3,5,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agara-lake,414,False,25.2,26.0,73.2,26.8,4.8,2.7,16.4,0.0,0.5,4.8,27.8,12.3,3.6,6.6,71.4,54.4,1988,2021,jrc-gsw-1-5
agrahara-kere,52,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
agrahara-lake,56,False,24.3,19.0,80.4,19.6,0.0,5.4,0.0,0.0,0.0,0.0,5.4,55.4,14.3,4.0,75.5,32.8,1988,2021,jrc-gsw-1-5
aiyanapalya-lake,38,False,25.8,29.0,71.1,28.9,0.0,7.9,15.8,0.0,0.0,0.0,36.8,7.9,2.6,7.4,85.2,65.3,1988,2021,jrc-gsw-1-5
ajjanahalli-kere,25,False,13.2,10.0,52.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,2.4,82.3,77.6,1991,2021,jrc-gsw-1-5
ajjegowdana-katte,9,True,2.7,0.0,22.2,77.8,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,49.5,-15.0,1988,2021,jrc-gsw-1-5
akkithimmanahalli-kere,52,True,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,jrc-gsw-1-5
alagondahalli-lake,78,False,1.5,0.0,11.5,88.5,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,1.3,0.0,63.9,29.6,1988,2021,jrc-gsw-1-5
alahalli-kere,80,False,20.7,19.0,67.5,32.5,7.5,15.0,2.5,5.0,3.8,1.2,3.8,21.2,7.5,3.5,67.7,-0.9,1988,2021,jrc-gsw-1-5
alijenahalli-kere,20,False,23.9,30.5,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,6.2,70.5,75.0,1993,2021,jrc-gsw-1-5
allasandra-lake,202,False,18.5,18.0,65.8,34.2,0.0,4.5,0.5,0.0,0.0,1.5,14.4,35.1,9.9,4.8,85.3,92.7,1988,2021,jrc-gsw-1-5
alur-kere,324,False,7.8,6.5,74.7,25.3,0.0,38.9,0.0,0.0,0.0,7.7,0.0,22.2,5.9,1.3,48.6,-21.2,1988,2021,jrc-gsw-1-5
aluru-lake1,62,False,15.2,13.0,66.1,33.9,0.0,19.4,0.0,0.0,0.0,0.0,0.0,32.3,11.3,2.0,80.3,75.3,1988,2021,jrc-gsw-1-5
amalgunte-lake,49,False,11.9,7.0,73.5,26.5,0.0,38.8,0.0,2.0,0.0,10.2,0.0,10.2,0.0,1.1,70.5,24.7,1988,2021,jrc-gsw-1-5
amanimulli-kere,530,False,9.4,5.0,72.6,27.4,0.0,24.0,0.2,0.0,0.0,27.9,0.0,2.5,0.6,1.0,62.5,13.1,1988,2021,jrc-gsw-1-5
