key,year,waterPermanentM2,waterSeasonalM2,noDataM2,observedM2,source
abbigere-kere,1984,0,0,80986,50991,jrc-gsw-1-4-yearly
abbigere-kunte1,1984,0,0,0,1500,jrc-gsw-1-4-yearly
acchanakere,1984,0,0,25508,21756,jrc-gsw-1-4-yearly
achanakere,1984,0,0,4501,8251,jrc-gsw-1-4-yearly
adarang-lake,1984,0,0,4498,22490,jrc-gsw-1-4-yearly
adde-lake,1984,0,0,52464,54712,jrc-gsw-1-4-yearly
addevishwanathapura-lake,1984,0,0,69709,166401,jrc-gsw-1-4-yearly
addiganahalli-lake,1984,0,0,4497,3748,jrc-gsw-1-4-yearly
addigenakere,1984,0,0,6756,6005,jrc-gsw-1-4-yearly
adesonatti-lake,1984,0,0,33034,39791,jrc-gsw-1-4-yearly
adiganahalli-kunte,1984,0,0,0,2998,jrc-gsw-1-4-yearly
adigondanahalli-kere,1984,0,0,21768,19516,jrc-gsw-1-4-yearly
adikamaranahalli-kunte,1984,0,0,0,7499,jrc-gsw-1-4-yearly
adikelallanapalya-kere,1984,0,0,24744,20995,jrc-gsw-1-4-yearly
adkepalya-lake,1984,0,0,14981,8240,jrc-gsw-1-4-yearly
adugodi-kunte1,1984,0,0,0,750,jrc-gsw-1-4-yearly
adugodi-kunte2,1984,0,0,0,4502,jrc-gsw-1-4-yearly
aduru-kunte1,1984,0,0,0,750,jrc-gsw-1-4-yearly
aduru-kunte2,1984,0,0,0,3000,jrc-gsw-1-4-yearly
aduru-kunte3,1984,0,0,0,1500,jrc-gsw-1-4-yearly
aduru-kunte4,1984,0,0,0,1500,jrc-gsw-1-4-yearly
aduru-lake,1984,0,0,12014,12765,jrc-gsw-1-4-yearly
adurupalya-lake,1984,0,0,11263,4505,jrc-gsw-1-4-yearly
agara-kere,1984,0,0,147107,12759,jrc-gsw-1-4-yearly
agara-kunte-2,1984,0,0,0,1501,jrc-gsw-1-4-yearly
agara-kunte-3,1984,0,0,0,1501,jrc-gsw-1-4-yearly
agara-kunte-4,1984,0,0,0,3002,jrc-gsw-1-4-yearly
agara-kunte-4-2,1984,0,0,0,3001,jrc-gsw-1-4-yearly
agara-kunte-5,1984,0,0,0,751,jrc-gsw-1-4-yearly
agara-kunte-6,1984,0,0,0,7506,jrc-gsw-1-4-yearly
agara-kunte-7,1984,0,0,0,751,jrc-gsw-1-4-yearly
agara-kunte-8,1984,0,0,0,3002,jrc-gsw-1-4-yearly
agara-kunte1,1984,0,0,0,6005,jrc-gsw-1-4-yearly
agara-kunte1-2,1984,0,0,0,3001,jrc-gsw-1-4-yearly
agara-kunte2,1984,0,0,0,3002,jrc-gsw-1-4-yearly
agara-kunte3,1984,0,0,0,3753,jrc-gsw-1-4-yearly
agara-lake,1984,0,0,227353,83288,jrc-gsw-1-4-yearly
agrahara-kere,1984,0,0,0,39008,jrc-gsw-1-4-yearly
agrahara-lake,1984,0,0,33743,8248,jrc-gsw-1-4-yearly
aiyanapalya-lake,1984,0,0,20275,8260,jrc-gsw-1-4-yearly
ajjanahalli-kere,1984,0,0,9755,9004,jrc-gsw-1-4-yearly
ajjegowdana-katte,1984,0,0,1500,5251,jrc-gsw-1-4-yearly
akkithimmanahalli-kere,1984,0,0,0,39012,jrc-gsw-1-4-yearly
alagondahalli-lake,1984,0,0,6749,51746,jrc-gsw-1-4-yearly
alahalli-kere,1984,0,0,40527,19513,jrc-gsw-1-4-yearly
alijenahalli-kere,1984,0,0,11986,2996,jrc-gsw-1-4-yearly
allasandra-lake,1984,0,0,99728,51739,jrc-gsw-1-4-yearly
alur-kere,1984,0,0,181456,61485,jrc-gsw-1-4-yearly
aluru-lake1,1984,0,0,30736,15743,jrc-gsw-1-4-yearly
amalgunte-lake,1984,0,0,26953,9733,jrc-gsw-1-4-yearly
amanimulli-kere,1984,0,0,288515,108661,jrc-gsw-1-4-yearly
ambalagere-n,1984,0,0,22481,58451,jrc-gsw-1-4-yearly
ambalagere-w,1984,0,0,12739,39717,jrc-gsw-1-4-yearly
ambalipura-kelagina-kere,1984,0,0,3752,20259,jrc-gsw-1-4-yearly
ambalipura-kunte1,1984,0,0,0,4502,jrc-gsw-1-4-yearly
ampapura-lake,1984,0,0,0,4504,jrc-gsw-1-4-yearly
amruthahalli-lake,1984,0,0,17998,63744,jrc-gsw-1-4-yearly
amruthalli-kunte1,1984,0,0,0,3000,jrc-gsw-1-4-yearly
amrutnagar-lake,1984,0,0,24018,13510,jrc-gsw-1-4-yearly
anagalapura-kunte1,1984,0,0,0,3000,jrc-gsw-1-4-yearly
anagalapura-kunte2,1984,0,0,0,8249,jrc-gsw-1-4-yearly
anantapura-kere,1984,0,0,14995,16494,jrc-gsw-1-4-yearly
ananthapura-kunte,1984,0,0,0,750,jrc-gsw-1-4-yearly
ananthapura-kunte1,1984,0,0,0,2999,jrc-gsw-1-4-yearly
ananthapura-kunte2,1984,0,0,0,8997,jrc-gsw-1-4-yearly
andhrahalli-lake,1984,0,0,32253,12751,jrc-gsw-1-4-yearly
annamma-kere,1984,0,0,6754,11256,jrc-gsw-1-4-yearly
antarahalli-kere,1984,0,0,59923,41946,jrc-gsw-1-4-yearly
anurah-katte-newly-created,1984,0,0,0,1499,jrc-gsw-1-4-yearly
aradeshanahalli-kere,1984,0,0,774143,223325,jrc-gsw-1-4-yearly
aradeshanahalli-kere-2,1984,0,0,101925,139397,jrc-gsw-1-4-yearly
aralakunte,1984,0,0,4498,9746,jrc-gsw-1-4-yearly
aralamallige-kere,1984,0,0,632371,1105900,jrc-gsw-1-4-yearly
arasanahalli-lake,1984,0,0,107913,83183,jrc-gsw-1-4-yearly
arebommanahalli-2r,1984,0,0,1499,21741,jrc-gsw-1-4-yearly
arebommanahalli-low,1984,0,0,4498,16493,jrc-gsw-1-4-yearly
arebommanahalli-up-kere,1984,0,0,20241,23990,jrc-gsw-1-4-yearly
arehalii-kere,1984,0,0,337111,427207,jrc-gsw-1-4-yearly
arehalli-kere,1984,0,0,0,30014,jrc-gsw-1-4-yearly
arehalli-kunte,1984,0,0,0,3752,jrc-gsw-1-4-yearly
arehalli-lake,1984,0,0,126659,55460,jrc-gsw-1-4-yearly
arehalli-lake-2,1984,0,0,23260,54022,jrc-gsw-1-4-yearly
arekere-lake,1984,0,0,31519,36022,jrc-gsw-1-4-yearly
arekere-lake-2,1984,0,0,17239,25484,jrc-gsw-1-4-yearly
arenur-kere,1984,0,0,60803,33779,jrc-gsw-1-4-yearly
arjunabettahalli-kere,1984,0,0,0,13493,jrc-gsw-1-4-yearly
arluru-kere-s,1984,0,0,47246,16498,jrc-gsw-1-4-yearly
asirvanam-ashram-1,1984,0,0,0,15009,jrc-gsw-1-4-yearly
asirvanam-ashram-2,1984,0,0,0,6754,jrc-gsw-1-4-yearly
attibele-kere,1984,0,0,52554,21772,jrc-gsw-1-4-yearly
attur-kere,1984,0,0,95974,97474,jrc-gsw-1-4-yearly
atturu-kere,1984,0,0,76477,206939,jrc-gsw-1-4-yearly
atturu-kunte,1984,0,0,0,1500,jrc-gsw-1-4-yearly
avadenahlli-lake,1984,0,0,80340,19522,jrc-gsw-1-4-yearly
avalahali-kunte,1984,0,0,0,3750,jrc-gsw-1-4-yearly
avalahalli-katte1,1984,0,0,0,8997,jrc-gsw-1-4-yearly
avalahalli-katte2,1984,0,0,0,5248,jrc-gsw-1-4-yearly
avalahalli-kere,1984,0,0,29988,9746,jrc-gsw-1-4-yearly
avalahalli-kere-2,1984,0,0,21741,29238,jrc-gsw-1-4-yearly
avalahalli-kere-3,1984,0,0,3752,3752,jrc-gsw-1-4-yearly
avalahalli-kunte-1,1984,0,0,0,2251,jrc-gsw-1-4-yearly
avalahalli-kunte-2,1984,0,0,0,1501,jrc-gsw-1-4-yearly
avalahalli-kunte-3,1984,0,0,0,750,jrc-gsw-1-4-yearly
avalahalli-kunte-4,1984,0,0,0,2251,jrc-gsw-1-4-yearly
avalahalli-kunte1,1984,0,0,0,1501,jrc-gsw-1-4-yearly
avalahalli-kunte2,1984,0,0,0,750,jrc-gsw-1-4-yearly
avalahalli-lake,1984,0,0,10499,51744,jrc-gsw-1-4-yearly
avalahalli-lake-2,1984,0,0,0,4498,jrc-gsw-1-4-yearly
avalakuppe-lake,1984,0,0,750,6001,jrc-gsw-1-4-yearly
averahalli-kere,1984,0,0,24750,21750,jrc-gsw-1-4-yearly
averhalli-kere,1984,0,0,48720,32979,jrc-gsw-1-4-yearly
ayyana-kere,1984,0,0,0,36006,jrc-gsw-1-4-yearly
ayyannanapalya-lake,1984,0,0,31469,8991,jrc-gsw-1-4-yearly
b-channasandra-lake,1984,0,0,59259,30005,jrc-gsw-1-4-yearly
b-narayanapura-kere,1984,0,0,2250,11252,jrc-gsw-1-4-yearly
bachchahalli-kere,1984,0,0,478075,209814,jrc-gsw-1-4-yearly
badakukere,1984,0,0,3751,8253,jrc-gsw-1-4-yearly
badamanavartha-kaval-kere,1984,0,0,0,21766,jrc-gsw-1-4-yearly
badavamavarthe-kavalu-kunte1,1984,0,0,0,1501,jrc-gsw-1-4-yearly
badavamavarthe-kavalu-kunte2,1984,0,0,0,2252,jrc-gsw-1-4-yearly
badavamavarthekavalu-hosakere-1,1984,0,0,2252,21766,jrc-gsw-1-4-yearly
badavamavarthekavalu-kunte3,1984,0,0,0,751,jrc-gsw-1-4-yearly
badavamavarthekavalu-kunte4,1984,0,0,0,3002,jrc-gsw-1-4-yearly
badavamavarthekavalu-kunte5,1984,0,0,0,3753,jrc-gsw-1-4-yearly
badavamavarthekavalu-kunte6,1984,0,0,0,3002,jrc-gsw-1-4-yearly
badavamavarthekavalu-kunte7,1984,0,0,1501,13508,jrc-gsw-1-4-yearly
bagalagunte-govt-lake,1984,0,0,12749,16499,jrc-gsw-1-4-yearly
bagalagunte-kunte1,1984,0,0,0,750,jrc-gsw-1-4-yearly
bagalakunte-kere1,1984,0,0,0,44996,jrc-gsw-1-4-yearly
bagalakunte-kunte2,1984,0,0,0,6749,jrc-gsw-1-4-yearly
bagalakunte-kunte3,1984,0,0,0,750,jrc-gsw-1-4-yearly
bagaluru-majare-kunte,1984,0,0,0,750,jrc-gsw-1-4-yearly
bagur-lake,1984,0,0,127568,33768,jrc-gsw-1-4-yearly
bail-narsapur-lake-1,1984,0,0,81704,20988,jrc-gsw-1-4-yearly
bail-narsapur-lake-2,1984,0,0,78707,22488,jrc-gsw-1-4-yearly
bail-narsapur-lake-3,1984,0,0,17241,29984,jrc-gsw-1-4-yearly
bail-narsapur-lake-4,1984,0,0,10494,14242,jrc-gsw-1-4-yearly
bailakonnenahalli-kunte,1984,0,0,0,3000,jrc-gsw-1-4-yearly
bainahalli-lake,1984,0,0,171650,56217,jrc-gsw-1-4-yearly
bairasandra-kere,1984,0,0,30024,32276,jrc-gsw-1-4-yearly
baiyappanahalli-kere,1984,0,0,78739,28496,jrc-gsw-1-4-yearly
balagere-kunte1,1984,0,0,0,11254,jrc-gsw-1-4-yearly
balagere-kunte2,1984,0,0,0,5252,jrc-gsw-1-4-yearly
balagere-kunte3,1984,0,0,0,3001,jrc-gsw-1-4-yearly
balchakuppe-lake,1984,0,0,0,18005,jrc-gsw-1-4-yearly
balchakuppe-lake-1,1984,0,0,750,1500,jrc-gsw-1-4-yearly
balekere,1984,0,0,751,20271,jrc-gsw-1-4-yearly
balligere-lake,1984,0,0,4496,18734,jrc-gsw-1-4-yearly
bammasandra-kunte-1,1984,0,0,0,750,jrc-gsw-1-4-yearly
banahalli-kere-w,1984,0,0,87688,32977,jrc-gsw-1-4-yearly
banahallli-kere,1984,0,0,17238,62205,jrc-gsw-1-4-yearly
banasavadi-kere-1,1984,0,0,0,78759,jrc-gsw-1-4-yearly
banasavadi-kunte-4,1984,0,0,0,750,jrc-gsw-1-4-yearly
banasavadi-kunte-5,1984,0,0,0,750,jrc-gsw-1-4-yearly
banasavadi-kunte-6,1984,0,0,0,1500,jrc-gsw-1-4-yearly
banasavadi-kunte-7,1984,0,0,0,750,jrc-gsw-1-4-yearly
banasavadi-kunte1,1984,0,0,0,750,jrc-gsw-1-4-yearly
banasavadi-kunte2,1984,0,0,0,2250,jrc-gsw-1-4-yearly
banasavadi-kunte3,1984,0,0,0,3000,jrc-gsw-1-4-yearly
banasavadi-kunte8,1984,0,0,0,3000,jrc-gsw-1-4-yearly
banaswadi-kere2,1984,0,0,0,190519,jrc-gsw-1-4-yearly
banavati-lake,1984,0,0,119790,58398,jrc-gsw-1-4-yearly
bande-mahadevapura-kere,1984,0,0,1500,4501,jrc-gsw-1-4-yearly
bandekere,1984,0,0,0,40522,jrc-gsw-1-4-yearly
bandenalasandra-lake,1984,0,0,57804,12011,jrc-gsw-1-4-yearly
bandikodigenahalli-amani-kere,1984,0,0,730843,271349,jrc-gsw-1-4-yearly
bangalapet-lake,1984,0,0,50291,36780,jrc-gsw-1-4-yearly
banhalli-lake,1984,0,0,64530,84039,jrc-gsw-1-4-yearly
bannamangala-n-kere,1984,0,0,5994,29223,jrc-gsw-1-4-yearly
bannerghatta-lake,1984,0,0,5255,5255,jrc-gsw-1-4-yearly
bannerghatta-lake-2,1984,0,0,10510,6756,jrc-gsw-1-4-yearly
bannerughatta-kavalu-kunte,1984,0,0,0,1501,jrc-gsw-1-4-yearly
bannerughatta-kunte,1984,0,0,0,9008,jrc-gsw-1-4-yearly
bannerughatta-kunte2,1984,0,0,0,3003,jrc-gsw-1-4-yearly
baradi-kere,1984,0,0,182147,41976,jrc-gsw-1-4-yearly
bariga-mudinahalli-kunte,1984,0,0,0,1500,jrc-gsw-1-4-yearly
basammanahalli-kere,1984,0,0,0,6004,jrc-gsw-1-4-yearly
basapura-kunte,1984,0,0,0,2252,jrc-gsw-1-4-yearly
basavanagar-lake,1984,0,0,3001,6751,jrc-gsw-1-4-yearly
basavanapalya-lake,1984,0,0,5252,1501,jrc-gsw-1-4-yearly
basavanapura-kere,1984,0,0,31503,7501,jrc-gsw-1-4-yearly
basavanapura-kere-2,1984,0,0,13510,4503,jrc-gsw-1-4-yearly
basavanapura-kunte1,1984,0,0,0,9001,jrc-gsw-1-4-yearly
basavanapura-lake,1984,0,0,1498,10488,jrc-gsw-1-4-yearly
bashettihalli-kere,1984,0,0,111647,68187,jrc-gsw-1-4-yearly
bavikere-kere,1984,0,0,26994,22495,jrc-gsw-1-4-yearly
bayappanahalli-lake,1984,0,0,0,23247,jrc-gsw-1-4-yearly
beemanakuppe-kunte1,1984,0,0,0,750,jrc-gsw-1-4-yearly
beesegowdan-a-katte,1984,0,0,0,1501,jrc-gsw-1-4-yearly
begihalli-govt-kere,1984,0,0,11261,0,jrc-gsw-1-4-yearly
begihalli-kunte1,1984,0,0,0,751,jrc-gsw-1-4-yearly
begihalli-kunte2,1984,0,0,0,3003,jrc-gsw-1-4-yearly
begur-kere,1984,0,0,59975,69721,jrc-gsw-1-4-yearly
begur-kunte-1,1984,0,0,0,1501,jrc-gsw-1-4-yearly
begur-kunte2,1984,0,0,0,4503,jrc-gsw-1-4-yearly
begur-kunte3,1984,0,0,0,751,jrc-gsw-1-4-yearly
begur-kunte4,1984,0,0,0,4503,jrc-gsw-1-4-yearly
begur-kunte5,1984,0,0,0,4503,jrc-gsw-1-4-yearly
begur-kunte6,1984,0,0,0,750,jrc-gsw-1-4-yearly
begur-kunte7,1984,0,0,0,5253,jrc-gsw-1-4-yearly
begur-kunte8,1984,0,0,0,3002,jrc-gsw-1-4-yearly
begur-lake,1984,0,0,365482,87055,jrc-gsw-1-4-yearly
beguru-kere,1984,0,0,366584,25488,jrc-gsw-1-4-yearly
belalu-kere,1984,0,0,6003,19511,jrc-gsw-1-4-yearly
belathuru-kunte,1984,0,0,0,750,jrc-gsw-1-4-yearly
belkere-lake,1984,0,0,52522,84036,jrc-gsw-1-4-yearly
bellandur-lake,1984,0,0,2232140,1054921,jrc-gsw-1-4-yearly
bellekanahalli-kere,1984,0,0,0,230369,jrc-gsw-1-4-yearly
bellekanahalli-kunte-2,1984,0,0,0,30016,jrc-gsw-1-4-yearly
bellekanahalli-kunte1,1984,0,0,0,30765,jrc-gsw-1-4-yearly
bellihalli-kere,1984,0,0,27743,26243,jrc-gsw-1-4-yearly
belur-kunte,1984,0,0,0,6752,jrc-gsw-1-4-yearly
belur-nagasandra-kunte,1984,0,0,0,10504,jrc-gsw-1-4-yearly
benachikal-lake,1984,0,0,0,6006,jrc-gsw-1-4-yearly
bendiganahalli-lake,1984,0,0,40536,29276,jrc-gsw-1-4-yearly
benniganahalli-kunte,1984,0,0,0,3001,jrc-gsw-1-4-yearly
beratena-agrahara-lake,1984,0,0,1501,30771,jrc-gsw-1-4-yearly
bettadasanapura-kunte1,1984,0,0,0,5254,jrc-gsw-1-4-yearly
bettadasanapura-kunte2,1984,0,0,0,5254,jrc-gsw-1-4-yearly
bettadasanapura-kunte3,1984,0,0,0,2252,jrc-gsw-1-4-yearly
bettahalli-kere,1984,0,0,86206,21739,jrc-gsw-1-4-yearly
bettahalli-kere-2,1984,0,0,49475,10495,jrc-gsw-1-4-yearly
bettahallikaval-lake,1984,0,0,18772,19523,jrc-gsw-1-4-yearly
bettahalsur-kere,1984,0,0,46477,14993,jrc-gsw-1-4-yearly
bettahalsur-kunte-1,1984,0,0,0,750,jrc-gsw-1-4-yearly
bettahalsur-kunte-2,1984,0,0,0,1499,jrc-gsw-1-4-yearly
