source,custodian,custodianName,slNo,lakeName,disused,wardNumbers,wardNames,wardMap,wardRaw,assemblyConstituency,assemblyConstituencyRaw,taluk,outsideBbmp
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,1,Ambalipura Kelagina kere,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,2,Gunjur Palya kere,False,149,Varthur,bbmp-2010-198,Ward no.149 Varthur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,3,Gunjuru Karmelaram lake,False,149,Varthur,bbmp-2010-198,Ward no.149 Varthur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,4,Panathur lake,False,149,Varthur,bbmp-2010-198,Ward no.149 Varthur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,5,Varanasi Lake,False,54,Hoodi,bbmp-2010-198,Ward no.54 Hoodi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,6,Amblipura melina kere,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,7,Kaigondanahalli Lake,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,8,Kasavanahalli lake,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,9,Haraluru kere,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,10,Sowl kere,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,11,Devarabeesanahalli Lake,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,12,Doddakanahalli kere,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,13,Munnekolalu kere,False,85,Doddenekundi,bbmp-2010-198,Ward No. 85 Doddenekundi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,14,Chinnappanahalli,False,85,Doddenekundi,bbmp-2010-198,Ward No. 85 Doddenekundi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,15,Shilavanthana kere,False,84,Hagadur,bbmp-2010-198,Ward no 84 Hagadur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,16,Kundalahalli Lake,False,85,Doddenekundi,bbmp-2010-198,Ward No. 85 Doddenekundi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,17,Siddapura Lake,False,84,Hagadur,bbmp-2010-198,Ward no 84 Hagadur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,18,Garudachar Palya Lake,False,82,GarudacharPalya,bbmp-2010-198,Ward No. 82 GarudacharPalya,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,19,Garudachar Palya (Goshala) Lake,False,82,GarudacharPalya,bbmp-2010-198,Ward No. 82 GarudacharPalya,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,20,Doddanekundi lake,False,85,Doddenekundi,bbmp-2010-198,Ward No. 85 Doddenekundi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,21,Sadaramangala Lake,False,54,Hoodi,bbmp-2010-198,Ward no - 54 Hoodi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,22,Bhoganahalli Lake,False,150,Bellandur,bbmp-2010-198,Ward No.150 Bellandur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,23,Hoodi Giddanakere Lake,False,82,GarudacharPalya,bbmp-2010-198,Ward No. 82 GarudacharPalya,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,24,Panathur lake,False,149,Varthur,bbmp-2010-198,Ward no.149 Varthur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,25,Hoodi kere,False,54,Hoodi,bbmp-2010-198,Ward no.54 Hoodi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,26,Nalluralli tank,False,84,Hagadur,bbmp-2010-198,Ward no 84 Hagadur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,27,SitaramPalya lake,False,82,GarudacharPalya,bbmp-2010-198,Ward No. 82 GarudacharPalya,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,28,Chikkabellandur Lake,False,149,Varthur,bbmp-2010-198,Ward no.149 Varthur,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,29,Pattandur agrahara -54 Lake,False,83,Kadugodi,bbmp-2010-198,Ward No. 83 Kadugodi,Mahadevapura,Mahadevapura,,False
ktcda-lakes-2024,BBMP,Bruhat Bengaluru Mahanagara Palike,30,Pattandur agrahara lake-124,False,82,Garudachar Palya,bbmp-2010-198,Ward No. 82 Garudachar Palya,Mahadevapura,Mahadevapura,,False
