source,groupName,groupType,lakes,website,facebook,twitter
citizenmatters-lake-groups-2022,Bangalore Environment Trust(BET),Local trust/NGO,,http://www.bngenvtrust.org/trustees.html,https://www.facebook.com/BangaloreEnvironmentTrust,https://twitter.com/TrustBangalore
citizenmatters-lake-groups-2022,Alahalli Neighbourhood Lake Development Trust (ANLDT),lake group,Alahalli lake;Avalahalli lake,,https://www.facebook.com/SaveAlahalliLake,
citizenmatters-lake-groups-2022,Mahadevapura Parisara Samrakshane Mattu Abhivrudhi Samiti (MAPSAS),lake group,Kaikondrahalli kere;lower ambalipura lake,https://www.mapsasblr.org/,https://www.facebook.com/pages/category/Non-Governmental-Organization--NGO-/Mapsas-688495471330650/,
citizenmatters-lake-groups-2022,Puttenahalli Neighbourhood Lake Improvement Trust(PNLIT),lake group,Puttenahalli lake,http://www.puttenahallilake.in/,https://www.facebook.com/PNLIT,https://twitter.com/pnlit
citizenmatters-lake-groups-2022,Jalaposhan Trust,lake group,jakkur lake,,https://www.facebook.com/JALAPOSHAN,https://twitter.com/jalaposhan
citizenmatters-lake-groups-2022,Bangalore Political Action Committee(B.PAC),Non Partisian Group,,,https://www.facebook.com/BPACofficial,https://twitter.com/BPACofficial
citizenmatters-lake-groups-2022,United Way Bengaluru,Non Governmental Organisation,,https://uwbengaluru.org/,https://www.facebook.com/UnitedWayBengaluru,https://twitter.com/uwbe
citizenmatters-lake-groups-2022,Namma Bengaluru Foundations,Non Governmental Organisation,,https://www.namma-bengaluru.org/,https://www.facebook.com/groups/nammabengaluru15,https://twitter.com/Namma_Bengaluru
citizenmatters-lake-groups-2022,Pavithra foundation,Non Governmental Organisation,,http://pavitrafoundation.org/,https://www.facebook.com/Siri-Pavithra-Foundation-119972044812521,https://twitter.com/PavitraFoundat1
citizenmatters-lake-groups-2022,Biome Trust,Design firm,,https://www.biome-solutions.com/,https://www.facebook.com/biomeenvironmental2008,
citizenmatters-lake-groups-2022,Project Agastya,Private-Public partnership,,,https://www.facebook.com/Project-Agastya-Rajeev-Kumar-Foundation-1413111245582317,
citizenmatters-lake-groups-2022,Uthkarsh,Volunteers community,Vibuthikere lake,https://sites.google.com/site/uthkarshlbsnagar/home/vibhutipura-lake-restoration,https://www.facebook.com/events/349043705187482/,
citizenmatters-lake-groups-2022,Environmental Suppor Group(ESG),Public Charitable Trust/NGO,,https://esgindia.org/,https://www.facebook.com/groups/esgindia,https://twitter.com/e_s_g
citizenmatters-lake-groups-2022,Citizens Matters,Civic media platform,Bellandur-varthur lakes,https://bengaluru.citizenmatters.in/,https://www.facebook.com/citizenmattersbengaluru,https://twitter.com/citizenmatters
citizenmatters-lake-groups-2022,Save Kagadaspura lake,lake group,Kagadaspura lake,,https://www.facebook.com/savekgplake,https://twitter.com/LakeKaggadaspur
citizenmatters-lake-groups-2022,Federation of Bengaluru lakes,Support groupto volunteers,,,https://www.facebook.com/FederationBengaluruLakes,https://twitter.com/FednOfBlrLakes
citizenmatters-lake-groups-2022,Friends of lake,lake group,,,https://www.facebook.com/pages/category/Community/Friends-of-Lakes-613068188787478/,
citizenmatters-lake-groups-2022,Arkavathy Kere Ulisi Andolana Samithi (AKASH),lake group,Hesaraghatta lake,,,
citizenmatters-lake-groups-2022,Arekere Neighbourhood Improvement Trust,lake group,Arakere lake,,https://www.facebook.com/SaveArekereLake,
citizenmatters-lake-groups-2022,Iblur Environs Trust(IbET),lake group,Iblur lake,,https://www.facebook.com/IblurEnvirons/,
citizenmatters-lake-groups-2022,Whitefield rising,lake group,varathur lake,https://whitefieldrising.org/,https://www.facebook.com/groups/whitefieldrising,https://twitter.com/WFRising?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
citizenmatters-lake-groups-2022,Sarakki lake Improvement Trust (SLAIT),lake group,Sarakki lake,https://sites.google.com/site/nimmasarakkilake/directory,https://www.facebook.com/SarakkiLakeAreaImprovementTrustRegdslait/,
citizenmatters-lake-groups-2022,Agara Lake Protection and Management Society (ALPMS),lake group,Agara lake,https://sites.google.com/site/agaralakeonline/about-agara-lake,https://www.facebook.com/SaveAgaraLake,
citizenmatters-lake-groups-2022,Pattandur Agrahara RWA Federation now known as Namma whitefield,lake group,pattandur agrahara lake,,https://www.facebook.com/NammaWhitefieldResidents,https://twitter.com/nammawhitefield?lang=en
citizenmatters-lake-groups-2022,sashakt Bharat,Community Organization,,,,https://twitter.com/SashaktB
citizenmatters-lake-groups-2022,Environmentalist foundation of India,Non-profit organization,Seeghali lakes,,https://www.facebook.com/indiaenvironment,https://twitter.com/EFIVolunteer
citizenmatters-lake-groups-2022,Foundation of environmental monitoring,Non-profit organization,,,,https://twitter.com/ffemindia
citizenmatters-lake-groups-2022,Eco-Watch,Local Bussiness group,,http://www.ecowatchindia.org/index.php,https://www.facebook.com/EcoWatchIndia,https://twitter.com/EcoWatchIndia
citizenmatters-lake-groups-2022,Anarghyaa Foundation,Non-profit organization,Nelkunte lake,,https://www.facebook.com/AnarghyaaFoundation,https://twitter.com/AnarghyaaFdn
citizenmatters-lake-groups-2022,Save bellandur lake,lake group,bellandur lake;Bellndur lake,,https://www.facebook.com/SaveBellandurLake,https://twitter.com/SaveBlrLake
citizenmatters-lake-groups-2022,Milaap,Fund raising platform,,https://milaap.org/,https://www.facebook.com/milaap,https://twitter.com/milaapdotorg
citizenmatters-lake-groups-2022,Pai Layout Residents Welfare Association (PLRWA),Volunteers community,Benniganahalli lake,,,https://twitter.com/PLRWA
citizenmatters-lake-groups-2022,Wake the Lake,,,https://www.wakethelake.in/about-us/,,https://twitter.com/WakeTheLakeIN
citizenmatters-lake-groups-2022,Satya Foundation,lake group,Jakkur lake,http://www.satyafoundation.in/Aboutus.php,https://www.facebook.com/groups/satyafoundation,
citizenmatters-lake-groups-2022,Environmental Management policy and Research Institute(EMPRI),Government organisation,,,https://www.facebook.com/empri.bangalore,
citizenmatters-lake-groups-2022,SayTrees,Professsional group,Konasandra lake,http://www.saytrees.org/index.html,https://www.facebook.com/SayTrees,https://twitter.com/saytrees_ind
