source,mapId,villageCode,district,districtName,taluk,hobli,village,surveyNumber,surveyNumbers,mapImageUrl,imageFile,imageMissing,listPage,listRow
landrecords-lake-digital,1849575,18495,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,YASHAVANTAPURA1,ABBAGERE,75,75,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1849575.jpg,data/cache/landrecords_lakes/images/images/1849575.jpg,False,1,0
landrecords-lake-digital,1925433,19254,BENGALURU,Bengaluru Urban,Bangalore North(Additional),YALAHANKA2,AGRAHARA,33,33,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1925433.jpg,data/cache/landrecords_lakes/images/images/1925433.jpg,False,1,1
landrecords-lake-digital,4000772,40007,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,Yeshwanthapura,Agraharadasarahalli,72,72,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c4000772.jpg,data/cache/landrecords_lakes/images/images/4000772.jpg,False,1,2
landrecords-lake-digital,4004280,40042,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,kasaba,Akkithimmanahalli,80,80,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c4004280.jpg,data/cache/landrecords_lakes/images/images/4004280.jpg,False,1,3
landrecords-lake-digital,1862330,18623,BENGALURU,Bengaluru Urban,bangalore-South,UTTARAHALLI -1,ALAHALLI,30,30,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1862330.jpg,data/cache/landrecords_lakes/images/images/1862330.jpg,False,1,4
landrecords-lake-digital,1925215,19252,BENGALURU,Bengaluru Urban,Bangalore North(Additional),YALAHANKA2,ALLALASANDRA,15,15,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1925215.jpg,data/cache/landrecords_lakes/images/images/1925215.jpg,False,1,5
landrecords-lake-digital,1925248,19252,BENGALURU,Bengaluru Urban,Bangalore North(Additional),YALAHANKA2,ALLALASANDRA,"48,38",48;38,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1925248.jpg,data/cache/landrecords_lakes/images/images/1925248.jpg,False,1,6
landrecords-lake-digital,190961,19096,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU1,AMANI BELLANDURUKHANE,1,1,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c190961.jpg,data/cache/landrecords_lakes/images/images/190961.jpg,False,1,7
landrecords-lake-digital,19096319,19096,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU1,AMANI BELLANDURUKHANE,319,319,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c19096319.jpg,data/cache/landrecords_lakes/images/images/19096319.jpg,False,1,8
landrecords-lake-digital,1911524,19115,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,AMBALEEPURA,24,24,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1911524.jpg,data/cache/landrecords_lakes/images/images/1911524.jpg,False,1,9
landrecords-lake-digital,1911536,19115,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,AMBALEEPURA,36,36,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1911536.jpg,data/cache/landrecords_lakes/images/images/1911536.jpg,False,1,10
landrecords-lake-digital,1911541,19115,BENGALURU,Bengaluru Urban,Bangalore-East,VARTURU2,AMBALEEPURA,41,41,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1911541.jpg,data/cache/landrecords_lakes/images/images/1911541.jpg,False,1,11
landrecords-lake-digital,19267115,19267,BENGALURU,Bengaluru Urban,Bangalore North(Additional),YALAHANKA3,AMRUTAHALLI,115,115,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c19267115.jpg,data/cache/landrecords_lakes/images/images/19267115.jpg,False,1,12
landrecords-lake-digital,1923812,19238,BENGALURU,Bengaluru Urban,Bangalore North(Additional),YALAHANKA1,ANANTAPURA,"12,24",12;24,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1923812.jpg,data/cache/landrecords_lakes/images/images/1923812.jpg,False,1,13
landrecords-lake-digital,1923892,19238,BENGALURU,Bengaluru Urban,Bangalore North(Additional),YALAHANKA1,ANANTAPURA,92,92,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cimages%5c1923892.jpg,data/cache/landrecords_lakes/images/images/1923892.jpg,False,1,14
