source,mapId,villageCode,district,districtName,taluk,hobli,village,surveyNumber,surveyNumbers,mapImageUrl,imageFile,imageMissing,listPage,listRow
landrecords-lake-survey,2044251,20442,Bangalore Rural,Bengaluru Rural,Hoskote,NANDAGUDI,A VADDAHALLI,51,51,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c2044251.jpg,data/cache/landrecords_lakes/images/scanimages/2044251.jpg,False,1,0
landrecords-lake-survey,2003511,20035,Bangalore Rural,Bengaluru Rural,Devanahalli,KASABA,ABACHIKKANAHALLI,11,11,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c2003511.jpg,data/cache/landrecords_lakes/images/scanimages/2003511.jpg,False,1,1
landrecords-lake-survey,1849575,18495,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,YASHAVANTAPURA1,ABBAGERE,75,75,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1849575.jpg,data/cache/landrecords_lakes/images/scanimages/1849575.jpg,False,1,2
landrecords-lake-survey,1991325,19913,Bangalore Rural,Bengaluru Rural,Doddaballapura,TUBAGERE,ACHARLAHALLI,25,25,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1991325.jpg,data/cache/landrecords_lakes/images/scanimages/1991325.jpg,False,1,3
landrecords-lake-survey,1853822,18538,BENGALURU,Bengaluru Urban,BANGALORE-NORTH,DASANAPURA1,ADAKAMARANAHALLI,22,22,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1853822.jpg,data/cache/landrecords_lakes/images/scanimages/1853822.jpg,False,1,4
landrecords-lake-survey,1977245,19772,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,ADAKAVALA,45,45,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1977245.jpg,data/cache/landrecords_lakes/images/scanimages/1977245.jpg,False,1,5
landrecords-lake-survey,197727,19772,Bangalore Rural,Bengaluru Rural,Doddaballapura,SASALU,ADAKAVALA,7,7,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c197727.jpg,data/cache/landrecords_lakes/images/scanimages/197727.jpg,False,1,6
landrecords-lake-survey,19392121,19392,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,ADDEVISHVANATHAPURA,121,121,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c19392121.jpg,data/cache/landrecords_lakes/images/scanimages/19392121.jpg,False,1,7
landrecords-lake-survey,1939242,19392,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,ADDEVISHVANATHAPURA,42,42,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1939242.jpg,data/cache/landrecords_lakes/images/scanimages/1939242.jpg,False,1,8
landrecords-lake-survey,1939293,19392,BENGALURU,Bengaluru Urban,Bangalore North(Additional),HESARUGHATTA2,ADDEVISHVANATHAPURA,93,93,https://landrecords.karnataka.gov.in/service3/FileDownload.aspx?file=%5c%5cbhm-db-pp05%5cDistrict%5cMapshared%5cscanimages%5c1939293.jpg,data/cache/landrecords_lakes/images/scanimages/1939293.jpg,False,1,9
