source,miTankId,name,owner,district,taluk,gramPanchayat,village,commandAreaHa,spreadAreaHa,storageMcft,designedUtilisationMcft,embankmentType,embankmentHeightM,embankmentTopWidthM,embankmentLengthM,wasteWeirTypeRaw,kodiLengthM,wasteWeirFlowCumecs,wasteWeirType
nwdp-mi-tanks,KA21030095,Boodigere Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Boodigere,Bhudagere Amanikere,161.8,136.98,131.86,131.86,Homogeneous,4.2,5,1172,Sloping Apron,,32.87,sloping apron
nwdp-mi-tanks,KA21030094,Bidalapura Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Nalluru,Bidhlupura Amanikere,80.53,80.93,18.21,18.21,Homogeneous,1.3,2.5,728,Sloping Apron,,39.27,sloping apron
nwdp-mi-tanks,KA21030100,Bettakote Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Bettakote,Bettakote Amanikere,212.46,181.76,130.58,130.58,Homogeneous,6,3,1445,Sloping Apron,,35.53,sloping apron
nwdp-mi-tanks,KA21030093,Konaginabele Kere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,I.Basapura,Konaginabele,93,22.68,20.89,20.89,Homogeneous,3.5,2.5,992,Sloping Apron,46,14.61,sloping apron
nwdp-mi-tanks,KA21030107,Aradeshanahalli Kere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Jalige,J.I. Aradeshanahalli,119.1,77.7,43.41,43.41,Homogeneous,3.8,5,995,Clear over fall,46,13.22,clear overfall
nwdp-mi-tanks,KA21030091,Chikkasanne Bandeammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Vishwanathapura,Bommawara,146.72,43.1,72.47,72.47,Homogeneous,4.5,2.5,932,Sloping Apron,20,14.07,sloping apron
nwdp-mi-tanks,KA21030088,Vijayapura Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Harohalli,Chikkanahalli,145.3,114.52,56.21,56.21,Homogeneous,4.5,8,1085,Clear over fall,,107.76,clear overfall
nwdp-mi-tanks,KA21030087,Karahalli Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Karahalli,Karahalli Amanikere,200,28.32,12.09,12.09,Homogeneous,2.8,4,905,Sloping Apron,,54.22,sloping apron
nwdp-mi-tanks,KA21030092,Thatamachanahalli Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Venkatagirikote,Thatamachanahallikere,324,169,130.44,130.44,Homogeneous,6,2,1680,Clear over fall,,87.12,clear overfall
nwdp-mi-tanks,KA21030090,Channarayapatna Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Channarayapatna,Hyedalu,77.3,88.62,52.32,52.32,Homogeneous,4.5,2.5,730,Clear over fall,50,43.66,clear overfall
nwdp-mi-tanks,KA21030089,Bannimangala Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Alooru Duddanahalli,Binnamangala Amanikere,84.61,56,41.8,41.8,Homogeneous,3,4.5,1022,Sloping Apron,65,123.47,sloping apron
nwdp-mi-tanks,KA21030085,Devanahalli Hireammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,ULB-Devanahalli-TMC,Hire Amanikere,45.02,87,30.47,30.47,Homogeneous,5,10,725,Sloping Apron,,22.14,sloping apron
nwdp-mi-tanks,KA21030036,Devasthanadha Ammanikere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Bidaluru,Devasthana Amanikere,93.2,16,16,16,Homogeneous,3,3,1230,Sloping Apron,22,22.37,sloping apron
nwdp-mi-tanks,KA21030108,Alur Dunahalli Kere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Alooru Duddanahalli,Alurududdanahalli,87.04,22.66,43,43,Homogeneous,2,3.5,782,Sloping Apron,25,32.05,sloping apron
nwdp-mi-tanks,KA28050291,Amani Bhadranakere,Minor Irrigation Department,Bengaluru Rural,Devanahalli,Godlumuddenahalli,Yaluvahalli,1053,190.28,320.17,224.12,Zonal,5.5,8.5,1500,Over Fall,14.36,133.56,overfall
nwdp-mi-tanks,KA21020013,Honnavara Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Honnavara,Honnavara,86.32,35,9.03,9.03,Homogeneous,0,2.4,247,Clear Over fall,50,25.99,clear overfall
nwdp-mi-tanks,KA21020040,Madhure Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Honnavara,Isthuru,291,11,11.54,11.54,Homogeneous,9.75,3.5,637,Sloping Apron,35.5,25.88,sloping apron
nwdp-mi-tanks,KA21020041,Doddatumakuru Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Doddathumakuru,Dodda Tumakuru,111.7,15.5,4.24,4.24,Homogeneous,2.1,4.2,575,Sloping Apron,40,20.3,sloping apron
nwdp-mi-tanks,KA21020017,Simpadipura Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Honnavara,Shimpadipura,48.56,198.7,89.43,89.43,Homogeneous,4.2,6,1350,Sloping Apron,25,52.38,sloping apron
nwdp-mi-tanks,KA21020021,Kadanuru Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Kadanuru,Kadanuru,40.16,29.3,7.07,7.07,Homogeneous,4,5,1050,Sloping Apron,45,28.14,sloping apron
nwdp-mi-tanks,KA21020020,Haadripura Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hadripura,Hadhripura,70.28,47.35,10.96,10.96,Homogeneous,2.4,3.7,990,Sloping Apron,25,62.57,sloping apron
nwdp-mi-tanks,KA21020016,Ujjani Gowrammana Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hosahalli,Ujjini,57.51,13.6,8.84,8.84,Homogeneous,10.7,3,170,Clear Over fall,50,88.22,clear overfall
nwdp-mi-tanks,KA28010207,Ujjanihole Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hosahalli,Hosahalli,324,16.19,46.97,324,Homogeneous,4,1.8,1200,Clear Over Fall,14.3,211.14,clear overfall
nwdp-mi-tanks,KA21020031,Arudi Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Aroodi,J.I.Arodi,64.35,41.99,17.67,17.67,Homogeneous,3.5,3.5,515,Sloping Apron,,32.79,sloping apron
nwdp-mi-tanks,KA21020037,Heggadihalli Amani Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Heggadihalli,Heggadihalli,52.3,6.15,6.36,6.36,Homogeneous,2.4,3,360,Sloping Apron,30,24.21,sloping apron
nwdp-mi-tanks,KA21020026,Sriramanahalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Sasalu,Thodalabande,112.5,39.02,20.15,20.15,Homogeneous,2.3,3.5,1150,Sloping Apron,30,9,sloping apron
nwdp-mi-tanks,KA21020015,Machhenahalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Sasalu,Sriramanahalli,184.76,9.04,9.54,9.54,Homogeneous,16.46,2.4,363,Sloping Apron,50,49.41,sloping apron
nwdp-mi-tanks,KA21020025,Kottigemachenahalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hosahalli,Kottigemachanahalli,61.9,41.23,14.65,14.65,Homogeneous,3.6,4,750,Sloping Apron,25,32.22,sloping apron
nwdp-mi-tanks,KA21020022,Mallasandra Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hosahalli,Mallasandra,93.48,74,98.63,98.63,Homogeneous,7,2.5,540,Ogee Weir,40,155.72,ogee weir
nwdp-mi-tanks,KA21020024,Gundamgere Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hosahalli,Sonnenahalli,,,,,,,,,,,,
nwdp-mi-tanks,KA21020044,Kanchiganala Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Rajaghatta,Kanchiganala,43.89,10.01,10.25,10.25,Homogeneous,2.9,2.5,1175,Sloping Apron,50,30.66,sloping apron
nwdp-mi-tanks,KA21020052,Beedigere Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Melekote,Gantiganahalli,74.06,35.2,7.42,7.42,Homogeneous,2.4,4,540,Sloping Apron,45,32.22,sloping apron
nwdp-mi-tanks,KA21020050,Tirumagondanahalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hadonahalli,Thirumagondanahalli,81,47.5,21.21,21.21,Homogeneous,4,4.5,1200,Sloping Apron,45,33.58,sloping apron
nwdp-mi-tanks,KA21020036,Melekote Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Melekote,Melekote,68.8,26.68,12.37,12.37,Homogeneous,2.4,1.8,540,Sloping Apron,20,37.51,sloping apron
nwdp-mi-tanks,KA21020051,Machagondanahalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Heggadihalli,Machagondanahalli,62.7,6.02,6.72,6.72,Homogeneous,3,4,750,Sloping Apron,40,14.55,sloping apron
nwdp-mi-tanks,KA21020035,Lakshmidevipura Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hadonahalli,Lakshmidevipura,40.5,31.5,8.13,8.13,Homogeneous,5.5,2.4,930,Sloping Apron,50,64.29,sloping apron
nwdp-mi-tanks,KA21020049,Linganahalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Konaghatta,Linganahalli,113.31,124.3,39.6,39.6,Homogeneous,3.3,2.5,930,Sloping Apron,40,29.39,sloping apron
nwdp-mi-tanks,KA21020030,Hanabe Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Hanabe,Hanabe,122.95,51.25,60.1,60.1,Homogeneous,3,2.4,1050,Sloping Apron,30,157.98,sloping apron
nwdp-mi-tanks,KA21020048,Gulyanandigunda Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Heggadihalli,Gulyanandhigundhi,,,,,,,,,,,,
nwdp-mi-tanks,KA21020039,Dandudasakodigehalli Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Heggadihalli,Dandadasakodagenahalli,48.56,10.64,6.72,6.72,Homogeneous,1.8,2.4,480,Sloping Apron,30,21.69,sloping apron
nwdp-mi-tanks,KA21020029,Tippuru Timmamana Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Tippuru,Gundasandra,101.86,61.85,21.91,21.91,Homogeneous,2.5,4,1200,Sloping Apron,40,50.59,sloping apron
nwdp-mi-tanks,KA21020027,Koluru Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Kodigehalli,Koluru,53.31,30.88,19.44,19.44,Homogeneous,2.7,3,950,Clear Over fall,40,33.95,clear overfall
nwdp-mi-tanks,KA21020028,Talagavara Kere,Minor Irrigation Department,Bengaluru Rural,Dod Ballapur,Kodigehalli,Amanipalana Kere,74.06,30.71,18.03,18.03,Homogeneous,1.8,4.5,840,Sloping Apron,20,86.35,sloping apron
