osmId,name,nameKn,place,lat,lon,source
node/10012687825,Corporation Quarters,,neighbourhood,12.9669792,77.614511,osm-places-2026-09
node/10032117234,Bethel Layout,,neighbourhood,12.9568426,77.6023659,osm-places-2026-09
node/10032974928,Milk Colony,,neighbourhood,13.0093324,77.5583026,osm-places-2026-09
node/1007655139,Valmiki Nagar,ವಾಲ್ಮೀಕಿನಗರ,neighbourhood,12.9567265,77.55459,osm-places-2026-09
node/10083261482,Gantiganahalli,ಗಂಟಿಗನಹಳ್ಳಿ,village,13.1444979,77.5890869,osm-places-2026-09
node/10172010095,Central Excise Layout,ಕೇಂದ್ರ ಅಬಕಾರಿ ಬಡಾವಣೆ,neighbourhood,13.0402806,77.5812569,osm-places-2026-09
node/10172024625,Vishwanath Nagenahalli,ವಿಶ್ವನಾಥ ನಾಗೇನಹಳ್ಳಿ,quarter,13.0388225,77.6033449,osm-places-2026-09
node/10212418966,Geddalahalli,ಗೆದ್ದಲಹಳ್ಳಿ,neighbourhood,13.0298726,77.576901,osm-places-2026-09
node/10220948577,Singasandra,ಸಿಂಗಸಂದ್ರ,quarter,12.8810223,77.6490068,osm-places-2026-09
node/10220948578,ITI Layout,,neighbourhood,12.9014999,77.6409441,osm-places-2026-09
node/10220948588,Haralur,ಹರಳೂರು,suburb,12.9044856,77.6654434,osm-places-2026-09
node/10220948589,Hongasandra,,quarter,12.8974892,77.6250869,osm-places-2026-09
node/10232604909,Andapura,ಅಂದಾಪುರ,village,12.8251799,77.7047945,osm-places-2026-09
node/10233407653,Dr. Shivaram Karanth Layout,,suburb,13.1027191,77.5300455,osm-places-2026-09
node/10233407655,Banashankari 6th Stage,,suburb,12.8849238,77.5154846,osm-places-2026-09
node/10233431430,Subramanyapura,ಸುಬ್ರಮಣ್ಯಪುರ,quarter,12.8963963,77.5377864,osm-places-2026-09
node/10233698961,S Gollahalli,ಗೊಲ್ಲಹಳ್ಳಿ,hamlet,13.3925133,77.2661886,osm-places-2026-09
node/10233698981,Gudibevinahalli,ಗುಡಿಬೇವಿನಹಳ್ಳಿ,hamlet,13.4429347,77.2732803,osm-places-2026-09
node/10233698982,Yarapanahalli,ಯರಪನಹಳ್ಳಿ,hamlet,13.4362485,77.2681385,osm-places-2026-09
node/10233698988,Siddapura,ಸಿದ್ದಾಪುರ,hamlet,13.412476,77.2326422,osm-places-2026-09
node/10233698989,Thanganahalli,ತಂಗನಹಳ್ಳಿ,hamlet,13.4092825,77.2265482,osm-places-2026-09
node/10234982879,Alemaradiduddi,,hamlet,12.6767096,77.2656816,osm-places-2026-09
node/10234982898,Gollaradoddi,ಗೊಲ್ಲರದೊಡ್ಡಿ,hamlet,12.6813832,77.2615993,osm-places-2026-09
node/10235105417,Kumbapur Colony,,hamlet,12.6938126,77.2598612,osm-places-2026-09
node/10235111985,Chakkeridoddi,ಚಕ್ಕೇರಿದೊಡ್ಡಿ,hamlet,12.6563969,77.2599095,osm-places-2026-09
node/10235116147,Gendekatte Doddi,ಗೆಂಡೆಕಟ್ಟೆ ದೊಡ್ಡಿ,hamlet,12.6528168,77.2499692,osm-places-2026-09
node/10235117740,Thimmaiahnadoddi,ತಿಮ್ಮಯ್ಯನ ದೊಡ್ಡಿ,hamlet,12.6652999,77.2546095,osm-places-2026-09
node/10235931666,Suryanagar Phase 3,,suburb,12.8046036,77.7583337,osm-places-2026-09
node/10235931761,Suryanagar Phase 2,,suburb,12.7731527,77.6864397,osm-places-2026-09
node/10235940568,Arkavathy Layout 20th Block,,neighbourhood,13.0341921,77.6434654,osm-places-2026-09
node/10235940569,Arkavathy Layout 19th Block,,neighbourhood,13.0326974,77.6463836,osm-places-2026-09
node/10235940570,Venkateshapura,ವೆಂಕಟೇಶಪುರ,neighbourhood,13.0742321,77.6192558,osm-places-2026-09
node/10235940572,Byrathikhane,ಬೈರತಿಖಾನೆ,neighbourhood,13.0412474,77.6498008,osm-places-2026-09
node/10237447835,Pillana Garden,,neighbourhood,13.0104535,77.6173527,osm-places-2026-09
node/10237447836,New Bagalur Layout,,neighbourhood,13.0079918,77.6184726,osm-places-2026-09
node/10237496428,Arkavathy Layout 16th Block,,neighbourhood,13.0461279,77.6366998,osm-places-2026-09
node/10237496429,Arkavathy Layout 20th Block,,neighbourhood,13.0441008,77.6390076,osm-places-2026-09
node/10237496430,Arkavathy Layout 18th Block,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೩ನೇ ಹಂತ,neighbourhood,13.0436932,77.6481432,osm-places-2026-09
node/10237496438,Arkavathy Layout 8th Block,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೩ನೇ ಹಂತ,neighbourhood,13.0697382,77.6186013,osm-places-2026-09
node/10237496439,Arkavathy Layout 4th Block,ಅರ್ಕಾವತಿ ಬಡಾವಣೆ ೩ನೇ ಹಂತ,neighbourhood,13.0739708,77.6237619,osm-places-2026-09
node/10237496488,Arkavathy Layout 8th Block,,neighbourhood,13.071541,77.609455,osm-places-2026-09
node/10245038176,Srinivasapura,ಶ್ರೀನಿವಾಸಪುರ,neighbourhood,12.9083759,77.512241,osm-places-2026-09
node/10245038177,Channasandra,ಚನ್ನಸಂದ್ರ,neighbourhood,12.9029431,77.519837,osm-places-2026-09
node/10246363084,Hunasemaradapalya,,neighbourhood,12.9043601,77.4471116,osm-places-2026-09
node/10250218598,Bandihalli,ಬಂಡಿಹಳ್ಳಿ,hamlet,13.3046303,77.1814193,osm-places-2026-09
node/10253179995,Kumara Park West,,neighbourhood,12.9910265,77.577928,osm-places-2026-09
node/10253179996,Kumara Park East,,neighbourhood,12.9886274,77.5796279,osm-places-2026-09
node/10272681254,Vidyamanyanagar,ವಿದ್ಯಮಾನ್ಯ ನಗರ,neighbourhood,13.0071319,77.4896353,osm-places-2026-09
node/10272681257,Lingadeeranahalli,ಲಿಂಗದೀರನಹಳ್ಳಿ,quarter,12.9998117,77.4812722,osm-places-2026-09
node/10272681263,Chandana Layout,,neighbourhood,12.9863834,77.5067532,osm-places-2026-09
node/10272690518,Syndicate Bank Layout,,neighbourhood,12.9972558,77.4871355,osm-places-2026-09
