rauId,annexure,list,status,serial,tankNo,name,zone,taluk,areaHa,condition,landUse,recommendation,agency,page,source
a2-1,2,city,disused,1,357,Shivanahally Tank (Near Yelahanka),Between Bellary Road and Madras Road,,10.00,The tank is located towards east of Yelahanka Tiles & Bricks Factory. The bund is breached to provide a railway bridge. No water is stored in the tank,Partly Fark and open spaces partly trangportation i.e Railway line and Bye-pass Road,To develop tree pars in the tank bed,Forest Department,39,rau-1986
a2-2,2,city,disused,2,345,Kalagondanahally Tank,Between Bellary Road and Madras Road,,10.9,The bund is breached. The tank bed is allotted to Dr. Ambedkar Medical Coliege by the Government,Public & semi public use i.e.Medical College,"Since already disposed, No comments",,39,rau-1986
a2-3,2,city,disused,3,293(a),Eyappanahally Tank,Between Bellary Road and Madras Road,,3.25,The Tank is snrrounded by approved scheme of B.D.A,Prrk and open spaces,Tank bed should be utilised for tree park,Forest De partgent,40,rau-1986
a2-4,2,city,disused,4,292,Tank towards xorth of Eyappanahally,Between Bellary Road and Madras Road,,,The area is surrounded by B.D.A.Scheme,Park & Open spaces,To develop tree park,Forest Department,40,rau-1986
a2-5,2,city,disused,5,342,Lingarajapura Tank,Between Bellary Road and Madras Road,,5.48,Unauthorised developments are existing on the fore-shore area& also in the Atcheut area. The bund is in good condition. The tank is sufficiently deep,Partly park & open spa- CeS: Fertly residentialin,"Water body can be preserved with foreshore ine, piente RE",Forest Denartment,40,rau-1986
a2-6,2,city,disused,6,339,Lyatagutte yalya tank,Between Bellary Road and Madras Road,,1.98,The tank is located in the BDA scheme area and is very small,It is/deve~ Loped area,To be developed as tree park,Forest Depart ment Forest,40,rau-1986
a2-7,2,city,disused,7,340,"ce, Channasandra tank",Between Bellary Road and Madras Road,,15.42,"nc ce This breached tank is surrounded by BDA: scheme. BDA has deve- Loped peripherial area, left middle portion as open",cee: See Partly park & open space. Partly transportation i.e 200! Road,Se: ae Tank bed has to be preserved for tree park,Department,40,rau-1986
a2-8,2,city,disused,8,305,Channasandra Tank,Between Bellary Road and Madras Road,,7.48,The tank is surrounded by BDA scheme. It has small catchment area,Partly park & open spaces. partly transporta—,To develop Forest tree park Departin the tank ment bed,,41,rau-1986
a2-9,2,city,disused,9,322,Hudi Tank,Between Madras Road and Hosur Road,,5.32,fank is located north of the village. The bund is breached,Partly Park & open spaces. Partly transportation,To develop Forest tree park in Departthe tank bed. ment,,41,rau-1986
a2-10,2,city,disused,10,322,Giddanakere Hud i,Between Madras Road and Hosur Road,,9.84,The tank is located to the south of Whitefield Road. The atchkat between Whitefield Road and the tank is partly developed for industrial use,Partly park & open spaces.Partly industrial,To develop Forest tree park Departin the menttank bed,,41,rau-1986
a2-11,2,city,disused,11,328,Vijinepurea tank,Between Madras Road and Hosur Road,,,The tank is located by the side of the conpound of IPI factory. The bund is in good condition. But residential developments have come up in Atchkat area & also northern shore area,Park and open spaces,To maintain Forest water sheet Departin the tank ment. & to duvelopplantation along the shore,,41,rau-1986
a2-12,2,city,disused,12,308,K.R.Puram tank,Between Madras Road and Hosur Road,,9.03,"This tank is located south of shandy maidan, Buiddings have come up in the atchenut area",Partly park & open spaces partly residential,To develop = tree park in the tank bed,Forest Department,42,rau-1986
a2-13,2,city,disused,13,299,Konena Agrahnara tank,Between Madras Road and Hosur Road,,6.48,The tank is located towards south of Airport road. The tank is brea ched. Developments have come up in HAL §.5.Pura,Residential,To developtree park in the remaining part of the tank bed,Forest Department,42,rau-1986
a2-14,2,city,disused,14,297,Kodihally tank,Between Madras Road and Hosur Road,,8.05,The tank is located towards north of HAL road end is adjoining HAL IT stage Layout,Partly park and open spaces partly residential,AlLLotted to Space Dept,,42,rau-1986
a2-15,2,city,disused,15,295,Binnamangaha tank,Between Madras Road and Hosur Road,,9.63,The tank is surrounded ty HAL II stage Layout The tank area ié deve- Lloped by B.D.A,Park and. open Spaces,Tree park to be developed,Forest Dept,42,rau-1986
a2-16,2,city,disused,16,298,Chellaghatte Tank,Between Madras Road and Hosur Road,,49.66,The tank is located towards south of HAL road & towards east of Domlur Layout. The bund is breached. The tank is being developed as a Golf Course,Park and open Spaces,The committee has no comments as it is being developed as a Golf Course,,42,rau-1986
a2-17,2,city,disused,17,288,Srinivagilu tank,Between Madras Road and Hosur Road,,21.95,The tank is atutting Koramangala extension The BDA is trying to form sites in the tank bed. The tank is breached,Pek and open spaces,BDA should stop formation of sites Govt. have already direeted BDA. To develop tree park in the tank,Forest Dept,43,rau-1986
a2-18,2,city,disused,18,279,Meistrypalya tank Jakkasandra,Between Madras Road and Hosur Road,,4.53,The tank is breached and is located adjoining Koramangala layout,BDA has formed layout in a major portion,To develop tree park in the remaining portion,Forest Dept,43,rau-1986
a2-19,2,city,disused,19,271,Neinappane Satty Palya Tank,Between Hosur Road and Mysore Road,,0.84,The tank is located towards north-west of the village. The tank is breached and unauthorised deve- Lopments have come up,Part of Layout,Since BDA has got a scheme & the tank is very small the committee concurrs with BDA proposails,,43,rau-1986
a2-20,2,city,disused,20,271,Tank southwest of Nainappana Setty palya,Between Hosur Road and Mysore Road,,2.5,The tank is located towards South-west of village. The pund is in good condition. Some industrial development is coming up in the atchkat area. The tank is small. 3T,Major Road & resident-— ial. Another emall tank is reserved as park,To develop tree park in the small tank,Forest Dept,43,rau-1986
a2-21,2,city,disused,21,297,Thavarekere tank,Between Hosur Road and Mysore Road,,7.10,The tank bund is breached. The atcheut ia developed for residential purpose. The tank is located behind Kempson industries towards east,Park and open spaces,To develop tree park in the beck tank bed,Forest Dept,44,rau-1986
a2-22,2,city,disused,22,276,pyresandrs 10-00,Between Hosur Road and Mysore Road,,,ane tank is located towards west of Bannerghatta road & towards north of 2. Block Jayanager. The atchkat is developed with houses. The BCC has put up barbed wire fencing. The tank bund is in good condition,Partly public & semi-public partly residential,The Committee decided to maintain water sueet & a park around. Forest Dapt.may examine the feasibility of developing the foreshore as a tree park,Forest Dept,44,rau-1986
a2-23,2,city,disused,23,270,Sarakki Tank,Between Hosur Road and Mysore Road,,0.5,The tank is very small and is located in Sarakki Layout,"Developed area,No part of Sarakki scheme",proposal by the Committee,,44,rau-1986
a2-24,2,city,disused,24,714,Wandi Settapra tank,Between Hosur Road and Mysore Road,,1.94,The tank is located at the foot of Shavige Malleswara hillock near the Dayananla Engineering College,Park and open spaces,To develop tree park in the tank bed,Forest Dept,44,rau-1986
a2-25,2,city,disused,25,704,Kerisanira tank,Between Hosur Road and Mysore Road,,0.6,The tank is surrounded by BDA dewelopments,Partly public & Gemi-public and partly park and open spaces,Remaining area to be developed as tree park,Forest Dept,44,rau-1986
