wbcId,miId,objectId,state,district,taluk,village,waterBodyTypeCode,waterBodyType,lat,lon,ruralOrUrban,enumerationDate,khasraNumber,ownership,use,inUse,nature,maxDepthWhenFull,storageCapacity,waterSpreadArea,encroached,photoUrl,remarks,uuid,districtNwic,districtIw,districtCode,subdistrictNwic,subdistrictCode,villageNwic,villageCode,source
2/12/003/251990/026456/001,2867555,1090527,KA,BANGALORE RURAL,NELAMANGALA,NELAMANGALA (TP) - WARD NO.5,02,Tank,13.105,77.3905556,Urban,2021-12-07,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251990026456001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Nelamangala,5601,Visveswarapura,624887,wbc-2017-18
2/12/003/251990/026456/002,2867574,1090528,KA,BANGALORE RURAL,NELAMANGALA,NELAMANGALA (TP) - WARD NO.5,02,Tank,13.1127778,77.3894444,Urban,2021-12-07,2,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251990026456002.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Nelamangala,5601,Basavanahalli,624888,wbc-2017-18
2/12/003/251990/026463/001,2867600,1090526,KA,BANGALORE RURAL,NELAMANGALA,NELAMANGALA (TP) - WARD NO.12,02,Tank,13.1005556,77.3983333,Urban,2021-12-07,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251990026463001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Nelamangala,5601,Nelamangala,251990,wbc-2017-18
2/12/003/251990/026463/002,2867607,1090525,KA,BANGALORE RURAL,NELAMANGALA,NELAMANGALA (TP) - WARD NO.12,02,Tank,13.1008333,77.3980556,Urban,2021-12-07,2,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251990026463002.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Nelamangala,5601,Nelamangala,251990,wbc-2017-18
2/12/003/251993/026509/001,2954383,1090532,KA,BANGALORE RURAL,VIJAYAPURA,VIJAYAPURA (TMC) - WARD NO.8,02,Tank,13.2963889,77.8011111,Urban,2022-04-08,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251993026509001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Devanahalli,5603,Vijayapura,251993,wbc-2017-18
2/12/003/251993/026514/001,2954387,1090529,KA,BANGALORE RURAL,VIJAYAPURA,VIJAYAPURA (TMC) - WARD NO.13,02,Tank,13.295,77.805,Urban,2022-04-08,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251993026514001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Devanahalli,5603,Vijayapura,251993,wbc-2017-18
2/12/003/251993/026515/001,2954388,1090530,KA,BANGALORE RURAL,VIJAYAPURA,VIJAYAPURA (TMC) - WARD NO.14,02,Tank,13.3022222,77.8011111,Urban,2022-04-08,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251993026515001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Devanahalli,5603,Vijayapura,251993,wbc-2017-18
2/12/003/251993/026516/001,2954386,1090531,KA,BANGALORE RURAL,VIJAYAPURA,VIJAYAPURA (TMC) - WARD NO.15,02,Tank,13.2916667,77.8052778,Urban,2022-04-08,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251993026516001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Devanahalli,5603,Vijayapura,251993,wbc-2017-18
2/12/003/251994/065107/001,2812408,1090519,KA,BANGALORE RURAL,DEVANAHALLI,DEVANAHALLI (TMC) - WARD NO.6,02,Tank,13.2491667,77.7069444,Urban,2021-09-21,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251994065107001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Devanahalli,5603,Devanahalli,251994,wbc-2017-18
2/12/003/251994/065108/001,2812341,1090520,KA,BANGALORE RURAL,DEVANAHALLI,DEVANAHALLI (TMC) - WARD NO.7,02,Tank,13.2494444,77.7086111,Urban,2021-09-21,1,Muncipal authority,,No,Natural,1,4,1,No,https://mi6census.mowr.gov.in/mic/getWaterBodyImageByURL/MIC_212003251994065108001.jpeg,,,Bengaluru Rural,Bengaluru Rural,526,Devanahalli,5603,Devanahalli,251994,wbc-2017-18
