qid,labelEn,labelKn,aliasesEn,aliasesKn,description,lat,lon,instanceOf,instanceOfQids,enwiki,knwiki,image,commonsCategory,osmRelation,osmWay,areaM2,inception,geonamesId,heritageStatus,possibleDuplicateOf,source
Q4883488,Bellandur Lake,ಬೆಳ್ಳಂದೊರು ಕೆರೆ,,,lake in the southeast Bengaluru,12.935094,77.668147,lake,Q23397,Bellandur Lake,ಬೆಳ್ಳಂದೊರು ಕೆರೆ,Dying Lake Bellandur.jpg,Bellandur Lake,,,3600000,,,,Q34877508,wikidata-2026-09
Q5695346,Hebbal lake,ಹೆಬ್ಬಾಳ ಕೆರೆ,,,lake in India,13.046667,77.586667,lake,Q23397,"Hebbal Lake, Bengaluru",ಹೆಬ್ಬಾಳ ಕೆರೆ,HebbalLake.jpg,"Hebbal Lake, Bangalore",,,,,,,,wikidata-2026-09
Q5745519,Hesaraghatta Lake,ಹೆಸರಘಟ್ಟ ಕೆರೆ,,,lake in India,13.15,77.49,lake,Q23397,Hesaraghatta Lake,ಹೆಸರಘಟ್ಟ ಕೆರೆ,BangaloreLake.jpg,Hesaraghatta Lake,,,,,,,Q34889795,wikidata-2026-09
Q6365696,Kanva Reservoir,ಕಣ್ವ ಜಲಾಶಯ,,,lake in India,12.729267,77.198181,reservoir,Q131681,Kanva Reservoir,ಕಣ್ವ ಜಲಾಶಯ,,Kanva dam,,,,,7839923,,,wikidata-2026-09
Q7262461,Puttenahalli Lake Birds Conservation Reserve,ಪುಟ್ಟೇನಹಳ್ಳಿ ಸರೋವರ,,,"Lake in Yelahanka, India",13.111111,77.576111,conservation reserve;lake,Q5162999;Q23397,Puttenahalli Lake (Yelahanka),ಪುಟ್ಟೇನಹಳ್ಳಿ ಸರೋವರ,,,,,,,,,,wikidata-2026-09
Q7331115,Sankey tank,,Sankey Tanky,,"Man-made lake/tank in Bangalore, India",13.01,77.57,lake;lagoon,Q23397;Q187223,Sankey tank,,Sankey Tank.jpg,Sankey tank,6030715,,,,6692917,,,wikidata-2026-09
Q7423007,Sarakki lake,,,,lake in India,12.8983,77.5778,lake,Q23397,Sarakki lake,,,,,,,,,,,wikidata-2026-09
Q7784715,Thippagondanahalli Reservoir,,,,reservoir in India,12.973333,77.3425,reservoir,Q131681,Thippagondanahalli Reservoir,,Tippagondanahalli-dam.jpg,Thippagondanahalli Reservoir,,,,,,,,wikidata-2026-09
Q7924608,Vibhutipura Lake,ವಿಭೂತಿಪುರ ಕೆರೆ,,,lake in India,12.967644,77.675567,lake,Q23397,Vibhutipura Lake,ವಿಭೂತಿಪುರ ಕೆರೆ,,Vibhutipura Lake,,,,,,,,wikidata-2026-09
Q17084588,Puttenahalli Lake,ಪುಟ್ಟೇನಹಳ್ಳಿ ಕೆರೆ,,,lake in India,12.890658,77.586672,lake,Q23397,Puttenahalli Lake (JP Nagar),,"Puttenahalli Lake, JP Nagar, Bangalore.jpg",Puttenahalli Lake (JP Nagar),3507925,,,,,,,wikidata-2026-09
Q28154185,Arekere Lake,,,,body of water,12.882988,77.598108,lake,Q23397,Arekere Lake,,,,,,,,,,,wikidata-2026-09
Q28824239,Agara Lake,,,,lake,12.921,77.641,lake,Q23397,Agara Lake,,,Agara Lake,,,,,,,,wikidata-2026-09
Q30587793,Ulsoor Lake,ಹಲಸೂರು ಸರೋವರ,Ulsoor Lake';Halasuru Lake;Ulsoor;Halasuru lake,,"Ulsoor Lake' or Halasuru Lake, one of the biggest lakes in Bangalore, is located on the eastern side of the city",12.981472,77.619214,lake,Q23397,Ulsoor Lake,ಹಲಸೂರು ಸರೋವರ,Ulsoor Lake from a distance.JPG,Ulsoor Lake,,,,,6692872,,,wikidata-2026-09
Q30621418,Madiwala Lake,,,,lake in Bengaluru,12.907778,77.616667,lake,Q23397,Madiwala Lake,,"Sunrise at Madiwala lake, Bengaluru.jpg",Madiwala Lake,,,,,,,,wikidata-2026-09
Q34876865,Bairapur Kere,ಬೈರಾಪುರ ಕೆರೆ,,,lake in India,13.194722,77.521944,reservoir,Q131681,,,,,,,,,10854697,,,wikidata-2026-09
Q34877508,Belandūr Tank,,,,reservoir in India,12.935,77.668889,reservoir,Q131681,,,,,,,,,1276560,,Q4883488,wikidata-2026-09
Q34877685,Bettakote Kere,ಬೆಟ್ಟಕೋಟೆ ಕೆರೆ,,,lake in India,13.210278,77.7275,reservoir,Q131681,,,,,,,,,10854381,,,wikidata-2026-09
