key,ringPixelCount,ringTreePct,ringShrubPct,ringGrassPct,ringCropPct,ringBuiltPct,ringBarePct,ringWaterPct,ringWetlandPct,insidePixelCount,insideWaterPct,insideWetlandPct,insideBuiltPct,source
abbigere-kere,20621,27.9,4.3,1.9,13.3,51.8,0.8,0.0,0.0,1560,0.0,0.0,0.0,esa-worldcover-2021
abbigere-kunte1,10263,26.9,6.0,2.5,7.4,56.6,0.7,0.0,0.0,19,0.0,0.0,10.5,esa-worldcover-2021
acchanakere,14926,12.4,1.0,1.4,2.2,79.8,1.3,1.9,0.0,570,52.3,0.0,0.0,esa-worldcover-2021
achanakere,12553,6.6,0.6,1.7,4.2,81.6,1.1,4.1,0.0,142,76.1,0.0,9.2,esa-worldcover-2021
adarang-lake,13900,69.7,18.2,11.6,0.0,0.1,0.0,0.4,0.0,306,19.6,0.0,0.0,esa-worldcover-2021
adde-lake,18561,16.9,7.2,3.4,60.1,12.2,0.2,0.0,0.0,1257,14.2,0.0,0.6,esa-worldcover-2021
addevishwanathapura-lake,28781,17.9,9.1,1.3,55.0,16.6,0.1,0.0,0.0,2803,0.4,0.0,0.6,esa-worldcover-2021
addiganahalli-lake,11879,5.4,7.6,3.1,68.4,14.5,1.0,0.0,0.0,114,0.0,0.0,0.0,esa-worldcover-2021
addigenakere,12871,24.0,10.3,10.3,39.6,14.1,0.1,1.5,0.0,170,5.3,0.0,0.0,esa-worldcover-2021
adesonatti-lake,16433,12.6,8.9,16.1,56.1,5.1,1.2,0.0,0.0,898,6.5,0.0,0.8,esa-worldcover-2021
adiganahalli-kunte,10560,22.1,11.2,2.2,45.9,18.0,0.6,0.0,0.0,36,0.0,0.0,13.9,esa-worldcover-2021
adigondanahalli-kere,15503,6.4,14.5,11.2,63.8,4.0,0.2,0.0,0.0,502,10.0,0.0,0.0,esa-worldcover-2021
adikamaranahalli-kunte,11258,25.0,12.7,4.2,10.1,43.3,4.7,0.0,0.0,88,0.0,0.0,46.6,esa-worldcover-2021
adikelallanapalya-kere,15952,12.4,7.7,2.1,72.1,4.0,0.5,1.2,0.0,565,46.4,0.0,0.0,esa-worldcover-2021
adkepalya-lake,13133,8.2,37.7,0.2,52.9,0.9,0.0,0.0,0.0,282,10.6,0.0,0.0,esa-worldcover-2021
adugodi-kunte1,10044,32.6,0.2,0.2,1.9,64.1,0.9,0.0,0.0,10,0.0,0.0,100.0,esa-worldcover-2021
adugodi-kunte2,10714,38.5,1.0,0.0,4.3,55.9,0.2,0.0,0.0,48,0.0,0.0,100.0,esa-worldcover-2021
aduru-kunte1,10031,21.3,12.5,5.2,48.8,11.3,1.0,0.0,0.0,11,0.0,0.0,0.0,esa-worldcover-2021
aduru-kunte2,9829,23.2,11.1,5.4,44.4,14.7,1.2,0.0,0.0,6,0.0,0.0,16.7,esa-worldcover-2021
aduru-kunte3,10257,44.4,10.5,3.6,24.1,14.4,3.0,0.0,0.0,18,0.0,0.0,0.0,esa-worldcover-2021
aduru-kunte4,10266,33.6,11.3,4.1,31.6,16.2,3.2,0.0,0.0,21,0.0,0.0,0.0,esa-worldcover-2021
aduru-lake,14297,5.6,1.7,30.7,55.8,4.3,1.9,0.0,0.0,288,3.1,0.0,0.0,esa-worldcover-2021
adurupalya-lake,12828,15.6,2.1,27.5,46.2,8.5,0.1,0.0,0.0,214,0.0,0.0,0.0,esa-worldcover-2021
agara-kere,21813,36.5,35.3,6.7,12.0,6.4,0.6,2.5,0.0,1947,91.9,0.0,0.0,esa-worldcover-2021
agara-kunte-2,10391,61.0,30.5,1.6,0.2,4.9,1.9,0.0,0.0,26,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte-3,10278,59.5,25.6,1.5,0.1,11.7,1.7,0.0,0.0,20,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte-4,10499,11.5,39.0,10.7,34.0,4.6,0.1,0.0,0.0,31,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte-4-2,10691,36.4,15.1,0.1,0.1,48.3,0.0,0.0,0.0,44,0.0,0.0,86.4,esa-worldcover-2021
agara-kunte-5,10040,13.2,30.1,8.8,38.8,4.3,0.4,4.4,0.0,10,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte-6,11079,22.2,18.2,10.4,29.0,19.0,1.2,0.0,0.0,78,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte-7,10042,23.4,16.8,7.6,29.8,21.5,0.9,0.0,0.0,10,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte-8,10412,24.9,12.5,11.1,21.9,15.3,1.4,12.8,0.0,32,0.0,0.0,0.0,esa-worldcover-2021
agara-kunte1,10957,55.9,9.8,3.9,13.9,14.4,0.2,1.9,0.0,66,0.0,0.0,12.1,esa-worldcover-2021
agara-kunte1-2,10466,43.5,4.7,0.3,8.4,42.9,0.2,0.0,0.0,31,0.0,0.0,87.1,esa-worldcover-2021
agara-kunte2,10702,55.9,8.8,3.6,14.5,17.0,0.2,0.1,0.0,44,4.5,0.0,0.0,esa-worldcover-2021
agara-kunte3,10562,59.5,6.6,4.2,9.7,16.1,0.2,3.8,0.0,38,0.0,0.0,0.0,esa-worldcover-2021
agara-lake,25728,23.3,1.9,0.8,4.5,68.1,0.3,1.0,0.0,3726,66.0,0.0,4.6,esa-worldcover-2021
agrahara-kere,13593,7.4,0.0,0.1,1.5,90.5,0.4,0.0,0.0,466,0.0,0.0,74.9,esa-worldcover-2021
agrahara-lake,14947,16.0,8.1,6.6,31.4,35.1,1.9,0.9,0.0,542,63.5,0.0,4.4,esa-worldcover-2021
aiyanapalya-lake,14454,7.8,0.3,19.0,68.6,4.0,0.1,0.1,0.0,344,79.7,0.0,0.0,esa-worldcover-2021
ajjanahalli-kere,12849,13.0,19.7,15.6,43.6,7.5,0.5,0.0,0.0,206,35.9,0.0,0.0,esa-worldcover-2021
ajjegowdana-katte,12234,8.2,7.4,3.4,12.7,67.1,1.3,0.0,0.0,98,26.5,0.0,2.0,esa-worldcover-2021
akkithimmanahalli-kere,13600,17.2,0.1,0.6,0.8,80.5,0.9,0.0,0.0,471,0.0,0.0,88.5,esa-worldcover-2021
alagondahalli-lake,15793,11.0,22.2,3.7,57.8,4.7,0.6,0.0,0.0,686,0.0,0.0,2.6,esa-worldcover-2021
alahalli-kere,16511,21.9,6.6,2.2,5.5,63.0,0.6,0.1,0.0,718,87.7,0.0,0.1,esa-worldcover-2021
alijenahalli-kere,12519,3.6,3.3,0.1,92.3,0.6,0.0,0.2,0.0,178,38.8,0.0,0.0,esa-worldcover-2021
