dataset,stationId,stationCode,stationName,sampleLocation,date,lat,lon,parameter,value,qualifier,belowDetection,detectionLimit,unit,statistic,rawValue,source
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,chloride,156.8,,false,,mg/L,,156 8,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,phosphate,5.11,,false,,mg/L as P,,5.11,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,tss,37,,false,,mg/L,,37,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,dissolvedOxygen,2.2,,false,,mg/L,,2.2,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,cod,19.20,,false,,mg/L,,19.20,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,nitrate,4.45,,false,,mg/L as NO3,,4.45,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,totalHardness,272,,false,,mg/L as CaCO3,,272,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,fluoride,0.32,,false,,mg/L,,0.32,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,ph,7.90,,false,,,,7.90,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,zinc,0.11,,false,,mg/L,,0.11,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,amruthalli-kere-inlet,,Amruthalli kere,Inlet,2011,,,manganese,0.50,,false,,mg/L,,0.50,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,chloride,131.6,,false,,mg/L,,131.6,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,phosphate,2.55,,false,,mg/L as P,,2.55,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,tss,16,,false,,mg/L,,16,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,cod,19.20,,false,,mg/L,,19.20,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,nitrate,10.87,,false,,mg/L as NO3,,10.87,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,totalHardness,172,,false,,mg/L as CaCO3,,172,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,fluoride,0.49,,false,,mg/L,,0.49,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,ph,8.37,,false,,,,8.37,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,zinc,0.17,,false,,mg/L,,0.17,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,amruthalli-kere-middle,,Amruthalli kere,Middle,2011,,,manganese,0.19,,false,,mg/L,,0.19,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,chloride,131.6,,false,,mg/L,,131.6,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,phosphate,2.09,,false,,mg/L as P,,2.09,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,tss,23.5,,false,,mg/L,,23.5,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,cod,19.20,,false,,mg/L,,19.20,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,nitrate,10.97,,false,,mg/L as NO3,,10.97,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,totalHardness,172,,false,,mg/L as CaCO3,,172,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,fluoride,0.52,,false,,mg/L,,0.52,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,ph,8.36,,false,,,,8.36,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,zinc,0.21,,false,,mg/L,,0.21,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,lead,,,true,,mg/L,,Nil,dmg-2011
dmg-2011,amruthalli-kere-outlet,,Amruthalli kere,Outlet,2011,,,copper,,,true,,mg/L,,Nil,dmg-2011
